station,response,mean,sigma_multiseed,raw_rms,mean_plus_3p5sigma,mean_minus_3p5sigma,seed_count,sigma_seed_min,sigma_seed_max
L/4,lateral_common_m,35.98191129077981,8.682329791743639,37.01460239892017,66.37006556188254,5.593757019677078,5,7.57538268264404,9.995883950526496
L/2,lateral_common_m,47.855201816497214,11.945025523637753,49.32346272980067,89.66279114922935,6.047612483765079,5,10.16241104601094,13.869837193819608
3L/4,lateral_common_m,35.981049009383085,8.70947237107802,37.0201404211032,66.46420230815616,5.497895710610017,5,7.4144353389753626,9.91574495896981
L/4,vertical_common_m,-0.17626196552631462,1.1409299291311914,1.1544649772420579,3.8169927864328552,-4.169516717485484,5,0.9934295719540718,1.2929970366825054
L/2,vertical_common_m,-0.24093820452935183,0.9024886446558321,0.934096875133703,2.9177720517660606,-3.3996484608247646,5,0.6910579378835912,1.2011712100474703
3L/4,vertical_common_m,-0.17626575321233368,1.1332319305773497,1.1468584150781553,3.7900460038083903,-4.142577510233058,5,0.9773809653908385,1.2617548566983237
L/4,local_roll_L_deg,5.212310442009492,1.004461394165856,5.30821277232279,8.727925321589987,1.6966955624289959,5,0.9599039015635157,1.0693899592661442
L/2,local_roll_L_deg,3.5983505532921445,0.6489335406932621,3.6563973313378537,5.869617945718562,1.327083160865727,5,0.6326114426201169,0.6579848846679888
3L/4,local_roll_L_deg,5.179830289361798,1.0184409455325933,5.2790021581855076,8.744373598725874,1.615286979997721,5,0.9753887656308954,1.0375040241253837
L/4,local_roll_R_deg,5.212308011320914,1.0044617054818032,5.308210444458621,8.727923980507224,1.696692042134603,5,0.9599049520178345,1.0693901848730347
L/2,local_roll_R_deg,3.5983472292649727,0.6489333874200728,3.6563940328782123,5.869614085235227,1.3270803732947178,5,0.6326117186067297,0.6579841688634134
3L/4,local_roll_R_deg,5.179827875726736,1.0184410909509283,5.278999817947815,8.744371694054985,1.6152840573984868,5,0.9753900342587699,1.0375047175738004
L/4,system_roll_deg,0.4910955698759565,0.3417532727645616,0.5983060740098494,1.687232024551922,-0.7050408848000089,5,0.26893158569968667,0.4413042643798842
L/2,system_roll_deg,0.7244032891670716,0.20460019446851624,0.7527425621901731,1.4405039698068784,0.008302608527264832,5,0.16656732969136948,0.2279460627781266
3L/4,system_roll_deg,0.4921593868003876,0.3447848950483316,0.6009138755838664,1.6989065194695483,-0.7145877458687729,5,0.2705962547860618,0.44043730476544957
