seed,station,response,mean,sigma,raw_rms,mean_plus_3p5sigma,mean_minus_3p5sigma,sample_max,sample_min
20260805,L/4,lateral_common_m,35.98191129077992,12.617145727247939,38.12991353832535,80.1419213361477,-8.178098754587865,65.95194593876917,13.223257926650515
20260805,L/2,lateral_common_m,47.85520181649726,17.734310679730502,51.03553777695387,109.92528919555402,-14.214885562559502,86.0454744531765,15.918277689724402
20260805,3L/4,lateral_common_m,35.98104900938314,12.804231833910697,38.191415798215225,80.79586042807058,-8.833762409304299,65.03688491401883,10.955659110889997
20260805,L/4,vertical_common_m,-0.1762619655262954,1.0884612208763889,1.1026405170511884,3.6333523075410654,-3.9858762385936566,3.0397701542708417,-3.3243898201197566
20260805,L/2,vertical_common_m,-0.24093820452933726,1.4320610313438624,1.4521880098304998,4.7712754051741815,-5.253151814232856,3.7902412290907197,-4.039041389539581
20260805,3L/4,vertical_common_m,-0.17626575321236643,1.0706439818869251,1.0850567504541933,3.5709881833918713,-3.9235196898166045,2.8310060867740523,-3.8581185363989805
20260805,L/4,local_roll_L_deg,5.212310442009644,1.0829265885463706,5.323618143712362,9.002553501921941,1.4220673820973473,9.163796213547055,0.7014504398578714
20260805,L/2,local_roll_L_deg,3.598350553292055,0.7182832173104422,3.669340197453362,6.1123418138786025,1.0843592927055075,5.837544586272044,1.1991494315409446
20260805,3L/4,local_roll_L_deg,5.179830289361819,1.172125355167037,5.310792753894243,9.282269032446449,1.0773915462771892,8.569303359601712,2.0969058376068785
20260805,L/4,local_roll_R_deg,5.212308011320621,1.082927051023583,5.323615857921734,9.002552689903162,1.4220633327380803,9.163811442647575,0.7014590780370282
20260805,L/2,local_roll_R_deg,3.5983472292645,0.7182843778557734,3.6693371649150968,6.112342551759706,1.0843519067692928,5.837542173118708,1.199150707693009
20260805,3L/4,local_roll_R_deg,5.179827875726654,1.1721268207618594,5.310790723244912,9.282271748393162,1.0773840030601463,8.569305547775402,2.096892854297548
20260805,L/4,system_roll_deg,0.4910955698759052,0.5239846506948619,0.7181467627968231,2.3250418473079217,-1.3428507075561114,1.6502910821823022,-0.8856861398766298
20260805,L/2,system_roll_deg,0.7244032891669873,0.27897517717458686,0.7762649514408994,1.7008164092780413,-0.2520098309440667,1.4580021219319619,-0.1866481250523263
20260805,3L/4,system_roll_deg,0.492159386800418,0.5313009661052245,0.724224812195846,2.351712768168704,-1.3673939945678677,1.8307313344643128,-0.978177655591496
20260905,L/4,lateral_common_m,35.98191129077992,14.614443448450949,38.83657937364626,87.13246336035824,-15.168640778798405,65.66826484491855,-0.21924843202818067
20260905,L/2,lateral_common_m,47.85520181649726,20.429914580973676,52.033659785599966,119.35990284990513,-23.649499216910613,91.05617129084754,2.5192083996727277
20260905,3L/4,lateral_common_m,35.98104900938314,14.658415701145643,38.85234920417586,87.2855039633929,-15.323405944626607,68.53256177406578,5.596217378907806
20260905,L/4,vertical_common_m,-0.1762619655262954,1.3606821625177064,1.3720511025049522,4.5861256032856765,-4.938649534338268,4.117102445138817,-3.682559118966743
20260905,L/2,vertical_common_m,-0.24093820452933726,1.6832449399220968,1.7004013485572058,5.650419085198001,-6.132295494256676,3.737738977905587,-4.428415270202627
