station,response,mean,sigma_multiseed,raw_rms,mean_plus_3p5sigma,mean_minus_3p5sigma,seed_count,sigma_seed_min,sigma_seed_max
L/4,lateral_common_m,35.98191129077992,13.0616719885339,38.27930531336229,81.69776325064856,-9.733940669088732,5,9.850846398245936,16.017153660223524
L/2,lateral_common_m,47.85520181649726,18.152768920745178,51.18245168402598,111.38989303910537,-15.679489406110868,5,13.470830986298601,22.344420204419514
3L/4,lateral_common_m,35.98104900938314,13.063419311855496,38.27909105416416,81.70301660087738,-9.740918582111092,5,9.722878755178984,15.894912330780354
L/4,vertical_common_m,-0.1762619655262954,1.536870047115356,1.5469446732871701,5.202783199377451,-5.555307130430042,5,1.0884612208763889,1.803733523971245
L/2,vertical_common_m,-0.24093820452933726,1.2319521839011582,1.2552917596402255,4.070894439124716,-4.552770848183391,5,0.8436791832476025,1.6832449399220968
3L/4,vertical_common_m,-0.17626575321236643,1.535273471499768,1.5453589382555988,5.197191397036822,-5.5497229034615545,5,1.0706439818869251,1.7897534942497013
L/4,local_roll_L_deg,5.212310442009644,1.1283640178749277,5.333046549648486,9.161584504571891,1.2630363794473976,5,1.0537992694618834,1.2687119522114219
L/2,local_roll_L_deg,3.598350553292055,0.6977465487351943,3.6653754174230384,6.040463473865235,1.1562376327188755,5,0.6798694352754203,0.7182832173104422
3L/4,local_roll_L_deg,5.179830289361819,1.1428968849599346,5.304418452218987,9.17996938672159,1.179691192002048,5,1.0875811589718924,1.196032162484643
L/4,local_roll_R_deg,5.212308011320621,1.1283651568130222,5.333044414964759,9.161586060166199,1.2630299624750432,5,1.0538012968289374,1.2687135104546527
L/2,local_roll_R_deg,3.5983472292645,0.6977468514657422,3.665372211806853,6.040461209394598,1.1562332491344018,5,0.6798701305307115,0.7182843778557734
3L/4,local_roll_R_deg,5.179827875726654,1.1428979361670246,5.304416321769036,9.17997065231124,1.179685099142068,5,1.0875835536247065,1.1960330385760505
L/4,system_roll_deg,0.4910955698759052,0.4934141001958253,0.6961553943077623,2.2180449205612938,-1.2358537808094834,5,0.31764269698167646,0.683734135288237
L/2,system_roll_deg,0.7244032891669873,0.24063906709995622,0.7633264609396735,1.5666400240168339,-0.11783344568285947,5,0.18818701886767658,0.27897517717458686
3L/4,system_roll_deg,0.492159386800418,0.4952713965903776,0.6982224704894183,2.2256092748667395,-1.2412905012659037,5,0.31507580516761563,0.6821810867707957
