width,mct_node,global_node_index,global_dof,global_axis,static_wind_reaction_increment_kN,buffeting_reaction_sigma_kN,reaction_sign,direct_support_wind_load
R,157,1281,3845,Z_vertical,-2.2530882872225195,118.38830529842062,support action on structure,0.0
R,447,1571,4714,Y_transverse,-736.7687162914553,235.7753943103381,support action on structure,0.0
R,447,1571,4715,Z_vertical,-2.366296426925113,119.17591606096802,support action on structure,0.0
R,450,1574,4722,X_longitudinal,-4.136600844263737,207.11873337578555,support action on structure,0.0
R,450,1574,4723,Y_transverse,-7.130252708468277e-13,9.145761203585989e-12,support action on structure,0.0
R,450,1574,4724,Z_vertical,-4.48225067350127e-05,6.882742133747126e-05,support action on structure,0.0
R,608,1732,5197,Y_transverse,2.369122888507077e-13,8.540792159559825e-12,support action on structure,0.0
R,608,1732,5198,Z_vertical,2.771548284849835e-12,1.01172039802302e-11,support action on structure,0.0
R,723,1847,5542,Y_transverse,1.3074400132621705e-12,1.5328525898888243e-12,support action on structure,0.0
R,723,1847,5543,Z_vertical,-3.6455894325697036e-12,4.056385564874708e-12,support action on structure,0.0
R,726,1850,5551,Y_transverse,-9.734027486601048e-15,1.9658081152290472e-14,support action on structure,0.0
R,726,1850,5552,Z_vertical,8.164826560958684e-12,5.4516725929336156e-12,support action on structure,0.0
R,728,1852,5556,X_longitudinal,-1.283064451969011e-12,5.492499522407142e-12,support action on structure,0.0
R,728,1852,5557,Y_transverse,1.8843288177769614e-16,6.828405435275335e-16,support action on structure,0.0
R,728,1852,5558,Z_vertical,9.509562197714286e-13,4.016070046365025e-12,support action on structure,0.0
R,729,1853,5559,X_longitudinal,3.1622226191434057,56.03296849305422,support action on structure,0.0
R,729,1853,5560,Y_transverse,-113.32419134523347,36.036176134394466,support action on structure,0.0
R,729,1853,5561,Z_vertical,3.3263143763938907,58.84831222291826,support action on structure,0.0
R,730,1854,5562,X_longitudinal,-3.23107419526751,60.29376905394951,support action on structure,0.0
R,730,1854,5563,Y_transverse,-120.54654021650377,38.58350225307099,support action on structure,0.0
R,730,1854,5564,Z_vertical,3.353691771293831,62.464385350281994,support action on structure,0.0
R,1001,1855,5565,X_longitudinal,1.749937070595214e-12,2.4760230005367965e-12,support action on structure,0.0
R,1001,1855,5566,Y_transverse,-1.0586819642455854e-15,1.2073264336483011e-15,support action on structure,0.0
R,1001,1855,5567,Z_vertical,8.320903069945952e-13,1.1721051915767087e-12,support action on structure,0.0
R,1003,1857,5572,Y_transverse,1.619164664861662e-13,7.307316862978765e-13,support action on structure,0.0
R,1003,1857,5573,Z_vertical,1.078584790668198e-12,1.1495103177816989e-12,support action on structure,0.0
R,1063,1917,5752,Y_transverse,3.3247545469872067e-13,6.889151794155222e-13,support action on structure,0.0
R,1063,1917,5753,Z_vertical,-1.1067077591532016e-12,1.8225908438225262e-12,support action on structure,0.0
R,1066,1920,5760,X_longitudinal,2.717038352151956,93.22274250677079,support action on structure,0.0
R,1066,1920,5761,Y_transverse,-228.27801905777486,78.98070301337438,support action on structure,0.0
R,1066,1920,5762,Z_vertical,-0.16740613196670512,35.3304919163493,support action on structure,0.0
R,1280,2134,6402,X_longitudinal,-2.7300607597327815,94.67137881082138,support action on structure,0.0
R,1280,2134,6403,Y_transverse,-228.24383668305052,79.35043185118013,support action on structure,0.0
R,1280,2134,6404,Z_vertical,-0.17529138210964684,34.15741255914881,support action on structure,0.0
R,1283,2137,6412,Y_transverse,-4.167194387731656e-13,2.7501829986022243e-12,support action on structure,0.0
R,1283,2137,6413,Z_vertical,-7.17933450249494e-13,1.4727171716138307e-12,support action on structure,0.0
R,1347,2201,6604,Y_transverse,-3.582509561176406e-13,2.7866751417037836e-12,support action on structure,0.0
R,1347,2201,6605,Z_vertical,6.02082270940996e-12,6.1769281519761835e-12,support action on structure,0.0
R,1393,2247,6742,Y_transverse,-3.735367291566881e-14,1.259931538178321e-12,support action on structure,0.0
R,1393,2247,6743,Z_vertical,-1.426024773159357e-14,1.4296522772242723e-12,support action on structure,0.0
R,1395,2249,6747,X_longitudinal,1.8633908144029503e-12,2.9977875437553067e-12,support action on structure,0.0
R,1395,2249,6748,Y_transverse,-4.356767928979488e-15,8.386093865697807e-15,support action on structure,0.0
R,1395,2249,6749,Z_vertical,-5.029912338829207e-13,8.091426833110114e-13,support action on structure,0.0
