time_s,mid_lateral_m,mid_vertical_m,mid_local_roll_L_deg,mid_local_roll_R_deg,mid_system_roll_deg
0.0,28.495342591709605,0.9276074898492178,3.625410448696924,3.6254048988273713,1.1078055539868794
0.05,28.595725202635823,0.899133578107799,3.6363821661607805,3.636377092132796,1.1048736567772863
0.1,28.698840724788987,0.869255724290365,3.6509222567608397,3.6509176167337207,1.1013746839967378
0.15000000000000002,28.80487034348387,0.8378896276611821,3.668851709607557,3.668847463427583,1.097347084871225
0.2,28.91399084298309,0.8049561411479057,3.6899125787788196,3.6899086894078708,1.0928354480631126
0.25,29.026372402095323,0.770389149625543,3.713774830085661,3.713771264316442,1.0878894364521592
0.30000000000000004,29.142176792174812,0.7341428497806008,3.7400480142288726,3.7400447425983985,1.0825625575556361
0.35000000000000003,29.26155571040136,0.696197418377284,3.768294993099212,3.7682919890823703,1.076910810756023
0.4,29.384649018539122,0.6565622996777148,3.7980450766094624,3.79804231533318,1.0709912644756414
0.45,29.51158279619393,0.6152767311449169,3.8288049891871294,3.8288024460093997,1.0648606188561822
0.5,29.64246730018084,0.5724075872136924,3.860067593739161,3.860065243055805,1.058573803908129
0.55,29.77739506876201,0.5280450597062846,3.891319607629629,3.891317422198058,1.0521826526004898
0.6000000000000001,29.916439452501795,0.48229701561031324,3.9220500925056516,3.9220480434282488,1.0457346764486268
0.65,30.059653764088903,0.43528300818284216,3.9517610454873964,3.9517591028175834,1.0392719607489114
0.7000000000000001,30.207071045220935,0.38712884129615066,3.9799801400997485,3.9799782738712075,1.032830189571398
0.75,30.358704225931984,0.3379623306237689,4.006274097230086,4.006272278608526,1.0264378076884377
0.8,30.5145462980717,0.28791054816079364,4.030259999838904,4.030258202082384,1.0201153275520551
0.8500000000000001,30.674570119862164,0.23709848358646785,4.051611671869963,4.0516098708580985,1.0138747932668664
0.9,30.838727639972824,0.1856488047446841,4.070059236961955,4.0700574111907475,1.0077194187429668
0.9500000000000001,31.006948635840576,0.13368230864508246,4.085381906329741,4.085380036424358,1.0016434220176282
1.0,31.179139401197187,0.08131872392199874,4.097396270789239,4.097394338715252,0.9956320801619194
1.05,31.355182065586266,0.028677697634899635,4.105944070902711,4.10594205912118,0.9896620275318972
1.1,31.53493527837374,-0.024120020763085476,4.1108839040940115,4.11088179489291,0.9837018133456957
1.1500000000000001,31.718236797940552,-0.07695109229924496,4.112090309665978,4.112088084820211,0.9777127226939218
1.2000000000000002,31.904908132919417,-0.1296877430427034,4.109461392978518,4.109459033773874,0.9716498493944318
1.25,32.09476089986588,-0.18219569411791264,4.10293331894626,4.102930806489376,0.9654633919293263
1.3,32.28760414093847,-0.2343322563349007,4.092497566323162,4.092494881985961,0.9591001279166935
1.35,32.483251621212936,-0.28594518638702004,4.078215635645157,4.078212761478787,0.9525050107668598
1.4000000000000001,32.68152816996359,-0.33687294737707385,4.060226391583849,4.060223310582831,0.9456228259233788
1.4500000000000002,32.88227442544399,-0.38694683235711846,4.038743271237353,4.038739967418244,0.9383998435189324
1.5,33.08534978587658,-0.4359950079384734,4.014041541933428,4.014038000281306,0.9307854081744673
1.55,33.290633809999655,-0.48384801521817067,3.9864386701736887,3.986434876571291,0.9227334131091084
1.6,33.49802660422085,-0.5303447882995727,3.956272716828125,3.956268658095632,0.9142036129649076
1.6500000000000001,33.70744879390034,-0.5753379879618296,3.923883908307722,3.9238795724431568,0.9051627370159046
1.7000000000000002,33.91884150582053,-0.6186975205429297,3.88960311685247,3.8895984934894754,0.895585372241816
1.75,34.132166475692706,-0.6603115412990279,3.8537484505389417,3.8537435315586164,0.885454595533246
1.8,34.3474060776835,-0.7000849305689221,3.816628412033108,3.8166231922097724,0.8747623474427593
1.85,34.56456288801254,-0.7379359858225631,3.778548086810611,3.7785425643590016,0.8635095565764962
1.9000000000000001,34.78365842066019,-0.7737926580012084,3.73981422626363,3.739808403191762,0.8517060420540628
1.9500000000000002,35.00473090101369,-0.8075898755046065,3.700736038138495,3.7007299203830426,0.8393702374881392
2.0,35.22783227827846,-0.8392692460962194,3.6616205684630794,3.661614165866192,0.8265287885898731
2.0500000000000003,35.45302497594612,-0.8687817508268972,3.6227639461947376,3.622757272442786,0.8132160734287165
2.1,35.680379005364024,-0.896093126736325,3.584441567158138,3.584434639820768,0.7994736779145729
2.15,35.909969947458414,-0.9211907444633556,3.5469008620743327,3.546893702848297,0.7853498317288932
2.2,36.14187796488115,-0.9440901953713717,3.510359444945326,3.510352080131408,0.7708987785345905
2.25,36.376187556845764,-0.9648397011453824,3.475009523063642,3.475001984210463,0.7561800285623453
2.3000000000000003,36.61298738021372,-0.9835208936468343,3.4410272064677705,3.4410195310336262,0.7412574314421806
2.35,36.8523692923305,-1.0002453687429118,3.4085836256716924,3.4085758575109253,0.7261980190511845
2.4000000000000004,37.094425912033046,-1.0151474511657304,3.3778541837303635,3.377846373218128,0.7110706028254051
2.45,37.339246424374586,-1.0283745210826754,3.3490230214977217,3.349015225163794,0.6959441609509294
2.5,37.58691094293878,-1.0400767884868478,3.322281548395282,3.3222738280264252,0.6808861055831958
2.5500000000000003,37.837484295026975,-1.0503984182423483,3.2978219940721747,3.2978144153376,0.6659605634138576
2.6,38.09101041392482,-1.0594714250307598,3.275828568832118,3.27582119956224,0.6512268208834142
2.6500000000000004,38.34750848418113,-1.0674129404175754,3.256469377284751,3.25646228557242,0.6367380706146178
2.7,38.606971584011504,-1.0743255616776177,3.2398915260207373,3.2398847783122044,0.6225405496709199
2.75,38.86936792238922,-1.080299788065962,3.226220203385198,3.2262138626937227,0.6086730936702205
