seed,u_target_sigma_mps,u_pre_scale_midspan_sigma_mps,w_target_sigma_mps,w_pre_scale_midspan_sigma_mps,friction_velocity_mps,df_hz,active_bins
20260805,4.249928039283635,3.75623505125568,2.2079202156439286,2.149658869241709,1.8442721501921082,0.0016666666666666668,1200.0
20260905,4.249928039283635,5.7604390191364745,2.2079202156439286,2.1269430490239234,1.8442721501921082,0.0016666666666666668,1200.0
20261005,4.249928039283635,4.775252916771167,2.2079202156439286,2.194028360085856,1.8442721501921082,0.0016666666666666668,1200.0
20261105,4.249928039283635,3.9142152313006133,2.2079202156439286,2.134178884993018,1.8442721501921082,0.0016666666666666668,1200.0
20261205,4.249928039283635,4.184355010559493,2.2079202156439286,2.369247798361916,1.8442721501921082,0.0016666666666666668,1200.0
