group_key,material_id,section_id,component_name,area_mm2,iyy_mm4,izz_mm4,torsion_j_mm4,warping_iw_mm6,description
gate_bottom,61,61,GATE_BOTTOM_E,4997.500000000000,9830899.739583333954,28164706.458333332092,176798.958333333343,66066802083.333335876465,门架下横梁 H175x175，腹板7.5，翼缘11
gate_top_post,62,62,GATE_TOPPOST_E,2496.000000000000,10130432.000000000000,10130432.000000000000,15185664.000000000000,0.000000000000,门架上横梁及立柱 RHS160x160x4
passage_chord152,63,63,PASS_CHORD152_E,2752.035164544659,7345181.854169694707,7345181.854169694707,14690363.708339389414,0.000000000000,横通道主弦杆 PHI152x6
passage_frame102,64,64,PASS_FRAME102_E,1231.504320207199,1480883.945049156668,1480883.945049156668,2961767.890098313335,0.000000000000,横通道端架/横架/接口杆 PHI102x4
passage_brace51,65,65,PASS_BRACE51_E,590.619418874881,164266.025874576299,164266.025874576299,328532.051749152597,0.000000000000,横通道腹杆 PHI51x4
passage_rhs50x30,66,66,PASS_RHS5030_E,576.000000000000,75232.000000000000,176672.000000000000,158935.111111111124,0.000000000000,横通道纵向方矩管 RHS50x30x4
