local_node_index,q_mm,r_mm,z_mm,role
0,0.000000000000,750.000000000000,0.000000000000,LT:N001
1,0.000000000000,0.000000000000,1700.000000000000,LT:N002
2,0.000000000000,1500.000000000000,1700.000000000000,LT:N003
3,150.000000000000,0.000000000000,1700.000000000000,LT:N004
4,150.000000000000,1500.000000000000,1700.000000000000,LT:N005
5,600.000000000000,750.000000000000,0.000000000000,LT:N006
6,600.000000000000,0.000000000000,1700.000000000000,LT:N007
7,600.000000000000,1500.000000000000,1700.000000000000,LT:N008
8,1360.000000000000,750.000000000000,0.000000000000,LT:N009
9,1360.000000000000,0.000000000000,1700.000000000000,LT:N010
10,1360.000000000000,1500.000000000000,1700.000000000000,LT:N011
11,2435.000000000000,0.000000000000,1700.000000000000,LT:N012
12,2435.000000000000,1500.000000000000,1700.000000000000,LT:N013
13,3510.000000000000,750.000000000000,0.000000000000,LT:N014
14,3510.000000000000,0.000000000000,1700.000000000000,LT:N015
15,3510.000000000000,1500.000000000000,1700.000000000000,LT:N016
16,4585.000000000000,0.000000000000,1700.000000000000,LT:N017
17,4585.000000000000,1500.000000000000,1700.000000000000,LT:N018
18,5660.000000000000,750.000000000000,0.000000000000,LT:N019
19,5660.000000000000,0.000000000000,1700.000000000000,LT:N020
20,5660.000000000000,375.000000000000,1700.000000000000,LT:N021
21,5660.000000000000,750.000000000000,1700.000000000000,LT:N022
22,5660.000000000000,1125.000000000000,1700.000000000000,LT:N023
23,5660.000000000000,1500.000000000000,1700.000000000000,LT:N024
24,6430.000000000000,750.000000000000,0.000000000000,LT:N025
25,6430.000000000000,0.000000000000,1700.000000000000,LT:N026
26,6430.000000000000,1500.000000000000,1700.000000000000,LT:N027
27,6700.000000000000,750.000000000000,0.000000000000,LT:N028
28,6700.000000000000,0.000000000000,1700.000000000000,LT:N029
29,6700.000000000000,375.000000000000,1700.000000000000,LT:N030
30,6700.000000000000,750.000000000000,1700.000000000000,LT:N031
31,6700.000000000000,1125.000000000000,1700.000000000000,LT:N032
32,6700.000000000000,1500.000000000000,1700.000000000000,LT:N033
33,6600.000000000000,750.000000000000,0.000000000000,M1:N001
34,6600.000000000000,0.000000000000,1700.000000000000,M1:N002
35,6600.000000000000,375.000000000000,1700.000000000000,M1:N003
36,6600.000000000000,750.000000000000,1700.000000000000,M1:N004
37,6600.000000000000,1125.000000000000,1700.000000000000,M1:N005
38,6600.000000000000,1500.000000000000,1700.000000000000,M1:N006
39,6870.000000000000,750.000000000000,0.000000000000,M1:N007
40,6870.000000000000,0.000000000000,1700.000000000000,M1:N008
41,6870.000000000000,1500.000000000000,1700.000000000000,M1:N009
42,7995.000000000000,750.000000000000,0.000000000000,M1:N010
43,9120.000000000000,0.000000000000,1700.000000000000,M1:N011
