station,response,mean,sigma_multiseed,raw_rms,mean_plus_3p5sigma,mean_minus_3p5sigma,seed_count,sigma_seed_min,sigma_seed_max
L/4,lateral_common_m,35.981911290779756,21.398712349076252,41.86409954048997,110.87740451254663,-38.91358193098713,5,14.592730786289621,27.01850349920962
L/2,lateral_common_m,47.85520181649716,29.900191300507593,56.42820022563738,152.50587136827374,-56.795467735279416,5,20.293071281334832,37.75895544102659
3L/4,lateral_common_m,35.98104900938301,21.379529863941002,41.853556420198835,110.80940353317652,-38.8473055144105,5,14.508989662591983,26.832848729562865
L/4,vertical_common_m,-0.17626196552637557,2.238168803904332,2.2450986337490315,7.6573288481387864,-8.009852779191538,5,1.1704814971535993,2.6992551302426238
L/2,vertical_common_m,-0.24093820452936035,1.5768346329992322,1.5951359434943642,5.277983010967953,-5.7598594200266735,5,1.047377445522801,2.077782634119364
3L/4,vertical_common_m,-0.17626575321228052,2.2397804449502408,2.246705600949308,7.662965804113561,-8.015497310538123,5,1.1518248914264444,2.708678445734398
L/4,local_roll_L_deg,5.212310442009571,1.3896076188033606,5.394366457529406,10.075937107821332,0.34868377619780855,5,1.2112422155095004,1.700392408591314
L/2,local_roll_L_deg,3.598350553292428,0.7779001336578618,3.681474612478652,6.321001021094944,0.8757000854899113,5,0.7323606912463795,0.8209455110424022
3L/4,local_roll_L_deg,5.1798302893616786,1.4026193058057317,5.366375195940705,10.08899785968174,0.270662719041618,5,1.2518169266830745,1.560050332288673
L/4,local_roll_R_deg,5.212308011320927,1.3896099919674931,5.394364720210917,10.075942983207153,0.3486730394347006,5,1.2112458136606457,1.700395879002399
L/2,local_roll_R_deg,3.5983472292647556,0.7779011846313673,3.6814715855766464,6.321001375474541,0.8756930830549701,5,0.7323603713713798,0.8209478745080431
3L/4,local_roll_R_deg,5.179827875726746,1.4026215969623235,5.366373465052631,10.089003465094878,0.2706522863586134,5,1.2518207614402257,1.5600525132988288
L/4,system_roll_deg,0.4910955698760216,0.7883170837469994,0.928772675781985,3.250205362990519,-2.268014223238476,5,0.34440801626016415,1.146657547409904
L/2,system_roll_deg,0.7244032891671552,0.27752697390443876,0.7757456713387114,1.6957476978326909,-0.24694111949838038,5,0.21037639322928206,0.3355466630635919
3L/4,system_roll_deg,0.49215938680033067,0.7892956256217244,0.930165816745201,3.2546940764763663,-2.2703753028757045,5,0.34336299156155886,1.1446402522488284
