mode,eigenvalue,omega,frequency_hz,omega_imaginary,frequency_imaginary_hz
1,-7.717738e-07,0.0,0.0,0.0008785066,0.00013981866792885447
2,-1.072008e-07,0.0,0.0,0.0003274154,5.210977935441015e-05
3,5.074239e-06,0.002252607,0.0003585136,0.0,0.0
4,0.08334129,0.2886889,0.04594627,0.0,0.0
5,1.19854,1.094778,0.1742394,0.0,0.0
6,1.21124,1.100563,0.1751601,0.0,0.0
7,23771.8,154.1811,24.53868,0.0,0.0
8,23771.8,154.1811,24.53868,0.0,0.0
9,170908.6,413.411,65.7964,0.0,0.0
10,170908.6,413.411,65.7964,0.0,0.0
11,701498.2,837.5549,133.301,0.0,0.0
12,701498.3,837.5549,133.301,0.0,0.0
13,2063536.0,1436.501,228.6263,0.0,0.0
14,2063536.0,1436.501,228.6263,0.0,0.0
15,2968871.0,1723.041,274.2305,0.0,0.0
16,4917824.0,2217.617,352.9447,0.0,0.0
17,4917824.0,2217.617,352.9447,0.0,0.0
18,7778020.0,2788.91,443.8688,0.0,0.0
19,10518480.0,3243.22,516.1745,0.0,0.0
20,10518480.0,3243.22,516.1745,0.0,0.0
