      1.,  0.3682600932856850E-01,      1.,         80.,  0.1254383357712096E-16, -0.5283279900809891E-16, -0.2672874643748790E-16,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
      1.,  0.3682600932856850E-01,      2.,      28469., -0.1100394171162733E-05,  0.2119418265370919E-01,  0.1210984084749253E-04,  0.2256980458022005E-08, -0.1356752459480416E-15, -0.2455162034063231E-10
      1.,  0.3682600932856850E-01,      3.,      28660.,  0.2543108231494574E-07,  0.3045203833014101E-01,  0.2760841778499401E-04,  0.1485029089391022E-08,  0.9200019711086820E-18, -0.3747697620453586E-11
      1.,  0.3682600932856850E-01,      4.,        374.,  0.7121967867497506E-06,  0.2167661143894230E-01,  0.1415314156696551E-04,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
      1.,  0.3682600932856850E-01,      5.,      29176., -0.9632006133657075E-17, -0.7906185585134767E-16, -0.2380644027807433E-16,  0.1198044338837437E-20, -0.1616741350384470E-23, -0.7082658952739226E-21
      1.,  0.3682600932856850E-01,      6.,      14098.,  0.1477514346966536E-16, -0.5343533694692721E-16, -0.3460760105076042E-16,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
      1.,  0.3682600932856850E-01,      7.,      51317.,  0.8910131414772015E-06,  0.2119423367211844E-01,  0.8695406240042588E-07,  0.2262304556396661E-08,  0.1386244200824960E-15, -0.2090922469300473E-10
      1.,  0.3682600932856850E-01,      8.,      51508.,  0.1581332797539691E-07,  0.3045207915842044E-01, -0.1950855699668049E-04,  0.1482706868049170E-08,  0.1440070939823569E-17, -0.3392238896631878E-11
      1.,  0.3682600932856850E-01,      9.,      14392., -0.9875164731085890E-06,  0.2167668211032801E-01,  0.3374712003024208E-06,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
      1.,  0.3682600932856850E-01,     10.,      52024., -0.2655991552743940E-16, -0.7917326352539676E-16, -0.6886562070966644E-16,  0.5707613408168371E-21,  0.3261384408926567E-24, -0.2219096321807413E-21
      1.,  0.3682600932856850E-01,     11.,    2000040.,  0.7155341628942627E-17,  0.1224084276596383E-16, -0.1726276286885516E-16, -0.1939448873340422E-20,  0.5843454086269910E-22, -0.7591617903234943E-21
      2.,  0.7152543484115148E-01,      1.,         80., -0.3093394133842610E-16, -0.5910721312787309E-16,  0.5970780935003139E-16,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
      2.,  0.7152543484115148E-01,      2.,      28469.,  0.9242373236832312E-02, -0.1726333002286666E-05,  0.2853845481298676E-01, -0.2814676115877462E-08, -0.7682661648525108E-17,  0.1901026623166078E-09
      2.,  0.7152543484115148E-01,      3.,      28660.,  0.7277275748319175E-02, -0.1094051652848760E-06,  0.5898975522102347E-03, -0.9825650545334415E-10,  0.1023697074282990E-16, -0.4122891797501908E-09
      2.,  0.7152543484115148E-01,      4.,        374.,  0.9247872338794590E-02,  0.1688959912619927E-05, -0.2856230645309179E-01,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
      2.,  0.7152543484115148E-01,      5.,      29176., -0.1343457342418753E-16,  0.3938061835109242E-17, -0.4927764205006380E-16, -0.3538129293060282E-20,  0.3886310992021199E-23,  0.1261144728392207E-20
      2.,  0.7152543484115148E-01,      6.,      14098.,  0.1391541564675768E-16, -0.6398257574140244E-16, -0.3593863165415320E-16,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
      2.,  0.7152543484115148E-01,      7.,      51317.,  0.9246180542089312E-02, -0.4360089849077657E-05,  0.2855373287828369E-01,  0.2722438254974172E-08,  0.4763765615605136E-18, -0.1213273962863214E-08
      2.,  0.7152543484115148E-01,      8.,      51508.,  0.7279044747272341E-02, -0.1604177313170524E-06,  0.5916426192812626E-03,  0.1029813057597207E-10,  0.1104734258576584E-16, -0.9787403783270112E-09
      2.,  0.7152543484115148E-01,      9.,      14392.,  0.9251790974103887E-02,  0.4348060536625967E-05, -0.2857702007732255E-01,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
      2.,  0.7152543484115148E-01,     10.,      52024.,  0.2726264376699640E-17,  0.7062737505341472E-17, -0.9772407650008937E-18, -0.2108717981627391E-20, -0.9459834245559375E-23, -0.1469752061595852E-20
      2.,  0.7152543484115148E-01,     11.,    2000040., -0.7942107035893096E-17, -0.3951269154974755E-16,  0.1721733538333801E-16,  0.1415528209514412E-20, -0.1465840767067479E-21,  0.5093195653173371E-21
      3.,  0.7360416056428197E-01,      1.,         80., -0.1144433234355038E-16,  0.1125439034520825E-15,  0.3021710373609743E-16,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
      3.,  0.7360416056428197E-01,      2.,      28469., -0.1709154490939686E-03, -0.3045691602382559E-01, -0.6152464533743465E-03, -0.3471938740305304E-07,  0.1961687917586466E-15,  0.6643571896248054E-08
      3.,  0.7360416056428197E-01,      3.,      28660., -0.1188000944384823E-03, -0.6174959923007035E-03, -0.1301407397315150E-04, -0.6910299748469130E-09,  0.2737848345589798E-16,  0.1100011785440927E-08
