      1.,  0.2935322434904172E-05,  0.3984090728230322E-06,  0.5133968726106689E-06,  0.4337439599884566E-07,  0.3244324648637168E-08,  0.8238041467591572E-07,  0.1500897196899881E-08,  0.1357292364496369E+00,  0.1749030588618894E+00,  0.1477670578300938E-01,  0.1105270279700323E-02,  0.2806520118414355E-01,  0.5113227695372007E-03,  0.1042305977954000E-05,  0.3550907953279167E+00
      2.,  0.1284245853459405E-03,  0.8582998150481826E-06,  0.3857418310713177E-05,  0.4250751262930275E-05,  0.5049098911594103E-07,  0.3664246285404405E-06,  0.2453004998468756E-06,  0.6683298316565780E-02,  0.3003644746309558E-01,  0.3309920177261947E-01,  0.3931567229119891E-03,  0.2853228044718956E-02,  0.1910074299139091E-02,  0.9628685506194891E-05,  0.7497540661905087E-01
      3.,  0.2547513247999852E-04,  0.2338354230101119E-05,  0.6023537506350331E-05,  0.5056300665702500E-05,  0.6798252888943644E-07,  0.9303697254343642E-06,  0.1920988241904767E-06,  0.9178967889321275E-01,  0.2364477402062437E+00,  0.1984798575501969E+00,  0.2668583919742598E-02,  0.3652070214609609E-01,  0.7540640832439271E-02,  0.1460864348066823E-04,  0.5734472035479313E+00
      4.,  0.3321611662385898E-01,  0.5271019185312128E-03,  0.1133980479656860E-03,  0.1468574909047280E-01,  0.1487890952335865E-03,  0.1684177829838114E-02,  0.5558257023341590E-03,  0.1586886042399664E-01,  0.3413946586526394E-02,  0.4421272136287027E+00,  0.4479424759928498E-02,  0.5070363429024020E-01,  0.1673361484812803E-01,  0.1771504168437556E-01,  0.5333266945375226E+00
      5.,  0.2775157566913650E-01,  0.1584004773741011E-05,  0.8959742115895772E-05,  0.1859782531011483E-04,  0.2151768010512879E-06,  0.1537858148431332E-05,  0.1076705735465755E-05,  0.5707801216860769E-04,  0.3228552577596599E-03,  0.6701538511486438E-03,  0.7753678696182774E-05,  0.5541516513390763E-04,  0.3879800369905472E-04,  0.3197131288469999E-04,  0.1152053968606057E-02
      6.,  0.4199551133262256E-01,  0.2646640288227069E-03,  0.1996552542665471E-03,  0.5067260400360788E-02,  0.5318712324622497E-04,  0.6327820546248613E-03,  0.1921286876606249E-03,  0.6302198030795569E-02,  0.4754204626422842E-02,  0.1206619526602713E+00,  0.1266495431498858E-02,  0.1506784974262974E-01,  0.4574981505496689E-02,  0.6409677548981753E-02,  0.1526276819971150E+00
      7.,  0.2609359061966475E-03,  0.7858814317032701E-05,  0.3597233923373029E-04,  0.1676669915987169E-04,  0.2532718364798659E-06,  0.3360747020627863E-05,  0.6590092845910013E-06,  0.3011779571305956E-01,  0.1378589085651581E+00,  0.6425600602178493E-01,  0.9706285354572635E-03,  0.1287958820851249E-01,  0.2525559989794414E-02,  0.6487088085233342E-04,  0.2486084870337668E+00
      8.,  0.1744643945261871E-03,  0.1326645996716998E-04,  0.1224926910605198E-03,  0.3348527703719639E-05,  0.1523679079659277E-06,  0.9985822334021546E-06,  0.1456535889203775E-06,  0.7604107418708106E-01,  0.7021071055397129E+00,  0.1919318674055883E-01,  0.8733467271630447E-03,  0.5723702169225522E-02,  0.8348614014678785E-03,  0.1404042824616979E-03,  0.8047732767652094E+00
      9.,  0.2307854656802657E-03,  0.1853663886237669E-04,  0.1718721486820971E-03,  0.3323570289133146E-05,  0.1936723319139952E-06,  0.1252234944454497E-05,  0.1504322383147783E-06,  0.8031978447055969E-01,  0.7447269184629322E+00,  0.1440112478199853E-01,  0.8391877336951204E-03,  0.5425969702049458E-02,  0.6518271758204644E-03,  0.1953286973482902E-03,  0.8463648123270555E+00
     10.,  0.4852798446549231E-01,  0.1323261580621805E-05,  0.9713928470664237E-05,  0.5200445304489579E-04,  0.6055565205916394E-06,  0.4258265897554421E-05,  0.3001831276203126E-05,  0.2726801030780006E-04,  0.2001716860417250E-03,  0.1071638429201105E-02,  0.1247850136908620E-04,  0.8774866593897847E-04,  0.6185773650537030E-04,  0.7090729679053101E-04,  0.1461163029364065E-02
     11.,  0.5734934282221745E-01,  0.1553871460090874E-03,  0.1799077979280742E-03,  0.2570505233496789E-02,  0.2730110429824406E-04,  0.3276985301524354E-03,  0.9728066809150913E-04,  0.2709484335169914E-02,  0.3137050732835545E-02,  0.4482187775830904E-01,  0.4760491220078543E-03,  0.5714076465850680E-02,  0.1696282176991609E-02,  0.3358080479976139E-02,  0.5855482059116464E-01
     12.,  0.2914730050640587E+00,  0.1443970138812251E-05,  0.1937351832157171E-04,  0.7763513106237907E-04,  0.8835549744081427E-06,  0.6234912027309528E-05,  0.4513027276214533E-05,  0.4954044160950349E-05,  0.6646762473702799E-04,  0.2663544469420651E-03,  0.3031344100679097E-05,  0.2139104451864846E-04,  0.1548351716215600E-04,  0.1100841138006952E-03,  0.3776820216215269E-03
     13.,  0.2935462564905520E+00,  0.2909813597128125E-03,  0.2011911450065821E-02,  0.4482745914586583E-03,  0.7453345377654574E-05,  0.8555853175596967E-04,  0.1656854857354163E-04,  0.9912623761297325E-03,  0.6853814026174018E-02,  0.1527100351467389E-02,  0.2539070150906341E-04,  0.2914652456442531E-03,  0.5644271799485511E-04,  0.2860747826944458E-02,  0.9745475418919309E-02
     14.,  0.4064701301214360E-03,  0.4389851316084353E-05,  0.2168307020874458E-04,  0.7952359408047519E-04,  0.9230728426420093E-06,  0.6570835324522924E-05,  0.4593572755589796E-05,  0.1079993581514305E-01,  0.5334480593264405E-01,  0.1956443738109783E+00,  0.2270948771478569E-02,  0.1616560440138575E-01,  0.1130113239616754E-01,  0.1176839965280589E-03,  0.2895268011277973E+00
     15.,  0.1846283415701352E-03,  0.1486377624740097E-04,  0.7410232079228647E-04,  0.3799416270870781E-04,  0.5114777765203958E-06,  0.5915828313667294E-05,  0.1468047287382486E-05,  0.8050647111377875E-01,  0.4013594021486513E+00,  0.2057872718001687E+00,  0.2770310192739826E-02,  0.3204182122504758E-01,  0.7951364752008102E-02,  0.1348556131259654E-03,  0.7304166412323945E+00
     16.,  0.8714228305985533E-02,  0.2146426995480445E-03,  0.8695643572832668E-04,  0.3816345278129936E-02,  0.4006923682848326E-04,  0.4789468397144626E-03,  0.1445374753671486E-03,  0.2463129172328582E-01,  0.9978673116539648E-02,  0.4379441465297170E+00,  0.4598139436048622E-02,  0.5496147483139602E-01,  0.1658637693344232E-01,  0.4781497965316402E-02,  0.5487001025704296E+00
     17.,  0.2340096444762506E+00,  0.6471337754790759E-05,  0.2545224332078900E-04,  0.1196995623692710E-03,  0.1399857157352927E-05,  0.9688619858657342E-05,  0.6894653061889633E-05,  0.2765414976495779E-04,  0.1087657877424455E-03,  0.5115155088465560E-03,  0.5982048989844079E-05,  0.4140265193061575E-04,  0.2946311498109799E-04,  0.1696062735227506E-03,  0.7247832622555170E-03
     18.,  0.7762016515176534E-03,  0.5555254149972398E-04,  0.5067152328204047E-03,  0.1146860755425389E-04,  0.6429900011951903E-06,  0.3888697562447171E-05,  0.5321810851267751E-06,  0.7156972855070062E-01,  0.6528139070944509E+00,  0.1477529393531966E-01,  0.8283800993440254E-03,  0.5009906323754748E-02,  0.6856222015068355E-03,  0.5788002505231518E-03,  0.7456828382050769E+00
     19.,  0.2340914059981031E+00,  0.1086128448392322E-03,  0.7173210626987567E-03,  0.1513786561303868E-03,  0.2640009719043213E-05,  0.3134404890119385E-04,  0.5549465126620037E-05,  0.4639762163678589E-03,  0.3064277646760639E-02,  0.6466647311760494E-03,  0.1127768748189161E-04,  0.1338966237036820E-03,  0.2370640264625950E-04,  0.1016846087415233E-02,  0.4343799308136381E-02
     20.,  0.5250669952732248E-03,  0.2834548077167464E-04,  0.1949784936126136E-03,  0.1051794786026796E-04,  0.3978628074574955E-06,  0.4005589982521916E-05,  0.5154253017903312E-06,  0.5398450298123335E-01,  0.3713402201392495E+00,  0.2003163016329911E-01,  0.7577372240859721E-03,  0.7628721703289616E-02,  0.9816372128324761E-03,  0.2387608003363259E-03,  0.4547244494239900E+00
