      1.,  0.3682600932856850E-01,  0.1077852345312127E+04,  0.1461960672480971E-04,  0.4187302787354574E+02,  0.2687408807619923E-04, -0.6615452319566684E+07, -0.4209752774907167E+02,  0.7767006647578268E+08,  0.2137329007881013E-09,  0.1753350463298739E+04,  0.7222166099273137E-09,  0.4376420939246022E+14,  0.1772201842583860E+04,  0.6032639226352500E+16
      2.,  0.7152543484115148E-01,  0.1224179140481005E+04,  0.1547625796769707E+02,  0.2138772531084766E-05,  0.2342560270055630E-02, -0.7485484860603474E+01,  0.2487216965086218E+08,  0.2581446764826268E+04,  0.2395145606827072E+03,  0.4574347939722735E-11,  0.5487588618843108E-05,  0.5603248359832381E+02,  0.6186248231412699E+15,  0.6663867399632005E+07
      3.,  0.7360416056428197E-01,  0.1077412580594346E+04, -0.1432107409348808E-02,  0.2465866442873854E-03,  0.1130210605625334E-04,  0.7108412441199590E+03, -0.2391803217200396E+04,  0.2403978077890280E+08,  0.2050931631911756E-05,  0.6080497314091352E-07,  0.1277376013067985E-09,  0.5052952743420112E+06,  0.5720722629810165E+07,  0.5779110598977045E+15
      4.,  0.8444542076687880E-01,  0.8704425450262731E+03, -0.1413617382786656E-03,  0.3233051642113650E-03, -0.2048845424803711E-03, -0.2125211562574786E+02,  0.2215498338939638E+03, -0.1482254883999336E+06,  0.1998314104916595E-07,  0.1045262292057377E-06,  0.4197767574739098E-07,  0.4516524185701562E+03,  0.4908432889844295E+05,  0.2197079541139886E+11
      5.,  0.1012710626327292E+00,  0.5892598165757222E+03,  0.1489154196388133E-02,  0.6387490426005415E-03,  0.1181155834683684E+02, -0.2518878562947095E+03, -0.2190889886612412E+08,  0.1195954748014067E+04,  0.2217580220620386E-05,  0.4080003394231083E-06,  0.1395129105807310E+03,  0.6344749214874421E+05,  0.4799998495260546E+15,  0.1430307759297392E+07
      6.,  0.1060732784275706E+00,  0.4290375372837760E+03,  0.1724943435804850E-03, -0.8294892664941327E+00,  0.6120088256934707E-03,  0.5241276074090851E+06, -0.8039092924559531E+03, -0.1538909419124095E+07,  0.2975429856726239E-07,  0.6880524432289743E+00,  0.3745548027267009E-06,  0.2747097488483720E+12,  0.6462701504970310E+06,  0.2368242200268859E+13
      7.,  0.1102838809491831E+00,  0.1049513235160555E+04, -0.2208600927895073E-04, -0.1403762811812880E+02,  0.3333462234421562E-03,  0.4482318241728401E+07, -0.6339230087810547E+03, -0.2603938197955545E+08,  0.4877918058698977E-09,  0.1970550031828804E+03,  0.1111197046831479E-06,  0.2009117682013118E+14,  0.4018583810620251E+06,  0.6780494138771969E+15
      8.,  0.1162238159223793E+00,  0.3324268861107421E+03, -0.1500810075881110E-05,  0.2351890210511619E+02,  0.8985931862772783E-07, -0.5118786730401129E+07, -0.3200462960781536E+01,  0.7916169993093856E+08,  0.2252430883866265E-11,  0.5531387562300388E+03,  0.8074697144239514E-14,  0.2620197759133068E+14,  0.1024296316333452E+02,  0.6266574735955958E+16
      9.,  0.1248549236630771E+00,  0.3153423280516977E+03,  0.6340793907796389E-06,  0.2294276110331912E+02, -0.2228194917608813E-05, -0.4292623700620488E+07,  0.9266610782235695E+00,  0.8627169791134940E+07,  0.4020566738114780E-12,  0.5263702870439730E+03,  0.4964852590857746E-11,  0.1842661823512873E+14,  0.8587007538944683E+00,  0.7442805860507130E+14
     10.,  0.1354848229168121E+00,  0.4540728736732343E+03,  0.7602032971338912E+01,  0.6105244799865233E-04,  0.1150248161391956E+02, -0.3169940580935309E+02, -0.3204123644094783E+08,  0.2278787630881543E+03,  0.5779090529732392E+02,  0.3727401406628148E-08,  0.1323070832785575E+03,  0.1004852328666048E+04,  0.1026640832664724E+16,  0.5192873066658716E+05
     11.,  0.1387792337765784E+00,  0.3317355234117099E+03,  0.6508032950308955E-03, -0.7316469391785482E+00,  0.1129444338513881E-02,  0.3866350676283364E+06, -0.3370425067405507E+04, -0.2756820575549746E+07,  0.4235449288230708E-06,  0.5353072436093381E+00,  0.1275644513801059E-05,  0.1494866755199682E+12,  0.1135976513499542E+08,  0.7600059685774433E+13
     12.,  0.1454068989648461E+00,  0.8693680226250950E+03, -0.4929089337960177E-02,  0.4953636329617355E-04,  0.3838597525434097E+02, -0.1990483892695534E+03, -0.7121198128925075E+08,  0.3433836407885333E+03,  0.2429592170159270E-04,  0.2453851288610490E-08,  0.1473483096226877E+04,  0.3962026127080365E+05,  0.5071146279140598E+16,  0.1179123247611885E+06
     13.,  0.1465441184130931E+00,  0.6303857900064105E+03, -0.2532560872994909E-01, -0.1294709746923411E+00,  0.6924951873883155E-02,  0.8678389473039856E+06, -0.5474802040072987E+05, -0.2353604639036615E+06,  0.6413864575424736E-03,  0.1676273328778484E-01,  0.4795495845559783E-04,  0.7531444384576899E+12,  0.2997345737798735E+10,  0.5539454796894673E+11
     14.,  0.1466125019114778E+00,  0.1054668986955934E+04, -0.7338087092146296E+01,  0.4578618131066560E-03, -0.4065059353083273E-01, -0.3018615314801858E+04, -0.1202968823907731E+08, -0.4070936764872795E+05,  0.5384752217192408E+02,  0.2096374399013144E-06,  0.1652470754408980E-02,  0.9112038418756323E+07,  0.1447133991293949E+15,  0.1657252614359298E+10
     15.,  0.1467410606267048E+00,  0.1055595497939647E+04, -0.2513366581235924E-01, -0.4745810566278978E-02, -0.8439101322715545E-03,  0.1544207352639774E+04, -0.4006159451800041E+05,  0.1201994012703441E+08,  0.6317011571673558E-03,  0.2252271793100520E-04,  0.7121843113505926E-06,  0.2384576347946739E+07,  0.1604931355324680E+10,  0.1444789606574920E+15
     16.,  0.1509999586053632E+00,  0.8200611113491196E+03, -0.5517549667336195E-03,  0.1698328695761862E-02,  0.9989623591614963E-03, -0.1353904724349544E+04, -0.2819805032560683E+04, -0.9950974829682221E+06,  0.3044335433152176E-06,  0.2884320358848186E-05,  0.9979257950215022E-06,  0.1833058002616015E+07,  0.7951300421654553E+07,  0.9902190006096912E+12
     17.,  0.1658812857465265E+00,  0.3561562307382409E+03, -0.9244930465625599E+01,  0.3664029877434300E-04,  0.2067318424524947E+02, -0.5768723606321862E+02, -0.9539391892235886E+07, -0.7788579791595541E+01,  0.8546873931425235E+02,  0.1342511494273121E-08,  0.4273805468380307E+03,  0.3327817204613511E+04,  0.9099999767365577E+14,  0.6066197517005043E+02
     18.,  0.1673961471067575E+00,  0.2325813978805838E+03, -0.1633570090104691E-06,  0.1945062876674142E+02, -0.5859809375372982E-06, -0.1529399390862631E+07,  0.2492647669172790E+01,  0.7724895154962426E+08,  0.2668551239284649E-13,  0.3783269594215890E+03,  0.3433736591570909E-12,  0.2339062496770986E+13,  0.6213292402632542E+01,  0.5967400515516197E+16
     19.,  0.1678188641439923E+00,  0.2682510023130582E+03, -0.9925382044780977E-03, -0.3214819672152261E+00,  0.2212179218325520E-02,  0.5099769962289261E+06, -0.1023890609155411E+04,  0.6409335479238882E+05,  0.9851320873486061E-06,  0.1033506552445717E+00,  0.4893736893991308E-05,  0.2600765366826781E+12,  0.1048351979516638E+07,  0.4107958128543031E+10
     20.,  0.1833723911711263E+00,  0.1022379095068426E+04,  0.2071016618125095E-04,  0.8368861951865677E+01, -0.2040896177268693E-02, -0.2768355506215462E+07,  0.3774206454757871E+04,  0.1553451067209828E+08,  0.4289109832550307E-09,  0.7003785036938498E+02,  0.4165257206389965E-05,  0.7663792208793470E+13,  0.1424463436313597E+08,  0.2413210218215354E+15
     21.,  0.1875221062189153E+00,  0.8293146992526158E+03, -0.8600442626015174E-02,  0.6671324456951487E-03,  0.1690578828978092E+02, -0.2671444601258967E+03, -0.3137035422610506E+08,  0.1224476397536638E+04,  0.7396761336337877E-04,  0.4450657000991905E-06,  0.2858056776988935E+03,  0.7136616257595683E+05,  0.9840991242713074E+15,  0.1499342448124303E+07
     22.,  0.1911222318875980E+00,  0.6372975839832795E+03,  0.4629444055450386E-04, -0.5531580043197730E+00,  0.1699235616908568E-02,  0.5288165919192648E+06, -0.3208359846193146E+04, -0.1029237986266686E+07,  0.2143175226254492E-08,  0.3059837777430340E+00,  0.2887401681770641E-05,  0.2796469878891062E+12,  0.1029357290266451E+08,  0.1059330832374302E+13
     23.,  0.1975297463443120E+00,  0.2894057526651655E+03,  0.4495615468806247E+01,  0.1185649927681482E-03,  0.2665788341722161E+02, -0.1328997703341315E+03, -0.9943116182398081E+08,  0.4765468756999834E+03,  0.2021055844337001E+02,  0.1405765751011103E-07,  0.7106427482861789E+03,  0.1766234895486491E+05,  0.9886555941666658E+16,  0.2270969247394155E+06
     24.,  0.2000386312521300E+00,  0.2116128669720273E+03,  0.8856845298186675E-03, -0.5728990224027517E+00,  0.5324768275612695E-02,  0.6282692895625896E+06, -0.1988641605558111E+05, -0.2307602771626089E+07,  0.7844370863601142E-06,  0.3282132898700286E+00,  0.2835315718897139E-04,  0.3947223002074811E+12,  0.3954695435356740E+09,  0.5325030551616407E+13
     25.,  0.2201398481152272E+00,  0.1109789649672979E+03,  0.2965483809542877E-01,  0.1219349760284261E-04, -0.1079346589676110E+00,  0.2324010894905534E+02,  0.2172953081932267E+06, -0.2046619775764823E+05,  0.8794094224660933E-03,  0.1486813837905284E-09,  0.1164989060645449E-01,  0.5401026639639620E+03,  0.4721725096278938E+11,  0.4188652506551656E+09
     26.,  0.2202726365072622E+00,  0.1027866722330324E+04, -0.4293450157111777E-02,  0.1093469399806139E-01,  0.2749611539857438E-03, -0.3986740788979888E+04, -0.7044325127560747E+04, -0.7933015838009893E+07,  0.1843371425160315E-04,  0.1195675328312398E-03,  0.7560363620117192E-07,  0.1589410211851598E+08,  0.4962251650278374E+08,  0.6293274028611580E+14
     27.,  0.2211293029048460E+00,  0.1076742792887916E+04, -0.4949893016744279E+01, -0.2259088529883988E-04, -0.1392408639859772E-01,  0.5508044148187800E+01, -0.7905850103600773E+07,  0.6283949109029058E+04,  0.2450144087721378E+02,  0.5103480985853397E-09,  0.1938801820356140E-03,  0.3033855033838586E+02,  0.6250246586060435E+14,  0.3948801640486709E+08
     28.,  0.2219158570948821E+00,  0.1094405247704155E+03, -0.2546023369481650E-01, -0.1152634004135885E-04, -0.6486234659019163E-01, -0.3376421526232730E+01,  0.1301248903571062E+06,  0.1418045545430653E+04,  0.6482234997946694E-03,  0.1328565147490325E-09,  0.4207124005186145E-02,  0.1140022232280776E+02,  0.1693248709044892E+11,  0.2010853168915719E+07
     29.,  0.2257527944064152E+00,  0.8179439040388647E+03, -0.6061601353715798E-03,  0.3436604113623637E-02,  0.4340103529843998E-04, -0.1498096386637536E+04, -0.1175150231521361E+04, -0.8087104339609109E+06,  0.3674301097136920E-06,  0.1181024783377491E-04,  0.1883649864976433E-08,  0.2244292783656443E+07,  0.1380978066644707E+07,  0.6540125659972448E+12
     30.,  0.2288986842025637E+00,  0.7646771089332532E+02,  0.4691288413269438E-01,  0.2336203231918007E-04,  0.9368528398289500E-01,  0.9129958961651930E+02, -0.3092335511529711E+06,  0.4186467578423538E+03,  0.2200818697647608E-02,  0.5457845540824140E-09,  0.8776932434955682E-02,  0.8335615064144838E+04,  0.9562538915867720E+11,  0.1752651078519145E+06
     31.,  0.2312608143854114E+00,  0.3271065859184021E+03, -0.2474036961072128E+01,  0.2363230644435172E-04,  0.1307255600683275E+01, -0.2187787410064307E+03, -0.9514827646991257E+07, -0.6214384320023231E+03,  0.6120858884751008E+01,  0.5584859078797477E-09,  0.1708917205517789E+01,  0.4786413751635889E+05,  0.9053194515194917E+14,  0.3861857247695060E+06
