          1.,          1.,  0.5000000000000000E-01,  0.2241287929212075E+08,  0.1397703751870589E-24,  0.6236163295458212E-32
          1.,          2.,  0.1000000000000000E+00,  0.4519288747442414E+08,  0.1397703751870589E-24,  0.3092751603140177E-32
          1.,          3.,  0.1500000000000000E+00,  0.6833923408805102E+08,  0.1397703751870589E-24,  0.2045243512781737E-32
          1.,          4.,  0.2000000000000000E+00,  0.9185073784080851E+08,  0.1397703751870589E-24,  0.1521712056677242E-32
          1.,          5.,  0.2500000000000000E+00,  0.1157258324880345E+09,  0.1397703751870589E-24,  0.1207771611420556E-32
          1.,          6.,  0.3000000000000000E+00,  0.1399625571447094E+09,  0.1397703751870589E-24,  0.9986269044980950E-33
          1.,          7.,  0.3500000000000000E+00,  0.1645585422427638E+09,  0.1397703751870589E-24,  0.8493656621050011E-33
          1.,          8.,  0.4000000000000000E+00,  0.1895109893091171E+09,  0.1397703751870589E-24,  0.7375317689839886E-33
          1.,          9.,  0.4500000000000000E+00,  0.2148166473742268E+09,  0.1397703751870589E-24,  0.6506496442222577E-33
          1.,         10.,  0.4999999999999999E+00,  0.2404717854268387E+09,  0.1397703751870589E-24,  0.5812339894219428E-33
          1.,         11.,  0.5499999999999999E+00,  0.2664721654867211E+09,  0.1397703751870589E-24,  0.5245214821283987E-33
          1.,         12.,  0.6000000000000000E+00,  0.2928130173911518E+09,  0.1397703751870589E-24,  0.4773366171776024E-33
          1.,         13.,  0.6500000000000000E+00,  0.3194890161735189E+09,  0.1397703751870589E-24,  0.4374810028246719E-33
          1.,         14.,  0.7000000000000001E+00,  0.3464942712069451E+09,  0.1397703751870589E-24,  0.4033843754478135E-33
          1.,         15.,  0.7500000000000001E+00,  0.3738223273479042E+09,  0.1397703751870589E-24,  0.3738952035815110E-33
          1.,         16.,  0.8000000000000002E+00,  0.4014661867969407E+09,  0.1397703751870589E-24,  0.3481498063440992E-33
          1.,         17.,  0.8500000000000002E+00,  0.4294183562431501E+09,  0.1397703751870589E-24,  0.3254876582591093E-33
          1.,         18.,  0.9000000000000002E+00,  0.4576709274711854E+09,  0.1397703751870589E-24,  0.3053949176089160E-33
          1.,         19.,  0.9500000000000003E+00,  0.4862156947145002E+09,  0.1397703751870589E-24,  0.2874657825867391E-33
          1.,         20.,  0.1000000000000000E+01,  0.5150443141280047E+09,  0.1397703751870589E-24,  0.2713754357694385E-33
