scenario,mean_speed_mps,minimum_frequency_hz,damping_ratio,cross_width_mode,seed_count,mid_lateral_mean_m,mid_lateral_sigma_m,mid_vertical_mean_m,mid_vertical_sigma_m,mid_local_roll_mean_deg,mid_local_roll_sigma_deg,mid_system_roll_mean_deg,mid_system_roll_sigma_deg,main_span_rope_peak_kn,main_span_rope_capacity_ratio
名义：44.9/full/1%/同风,44.9,0.0016666666666666668,0.01,coherent,5,47.85520181649726,18.152768920745174,-0.2409382045293372,1.2319521839011582,3.5983488912782775,0.6977467001004847,0.7244032891669873,0.2406390670999562,760.9877460905528,3.1275142237530784
30.1 m/s,30.1,0.0016666666666666668,0.01,coherent,5,21.50648627624103,6.212563955437475,-0.1082794344698878,0.4355656622478407,1.6171249542350048,0.28267768117002207,0.3255522661188598,0.0878323020057254,715.4873012697185,3.326404250328976
0.1–2 Hz,44.9,0.1,0.01,coherent,5,47.85520181649709,0.7287345100185167,-0.2409382045293665,0.8540468143538291,3.5983488912784027,0.37794197921970074,0.7244032891670796,0.2115027279743223,742.8895364240703,3.2037064507009063
跨宽相干 C=7,44.9,0.0016666666666666668,0.01,davenport,5,47.85520181649735,19.193668150827524,-0.2409382045293587,1.037604636711143,3.59834889127855,1.7276603791820329,0.7244032891671138,1.575045864349342,761.6939616669885,3.1246145036929316
阻尼 0.5%,44.9,0.0016666666666666668,0.005,coherent,5,47.85520181649716,29.900191300507597,-0.2409382045293603,1.5768346329992322,3.598348891278592,0.777900659144792,0.7244032891671552,0.2775269739044387,777.8740896066988,3.0596211286628052
阻尼 2%,44.9,0.0016666666666666668,0.02,coherent,5,47.855201816497214,11.945025523637751,-0.2409382045293518,0.902488644655832,3.5983488912785586,0.648933464056672,0.7244032891670716,0.2046001944685162,748.1161130595003,3.181324340504761
