case_id,display_name,category,c3_layer,c3_claim,c3_stationary_eligible,source_stationarity,U10_mps,U_deck_mps,Iu,duration_s,dt_s,lateral_mean_m,lateral_sigma_m,vertical_mean_m,vertical_sigma_m,roll_mean_deg,roll_sigma_deg,source_interpretation,reconstruction_style,source_commit,source_path,source_file_sha256
site_sutong_100yr_obs,苏通同河段100年一遇观测外延,design_anchor,L0,anchor_design,true,stationary_ok,38.9,47.49242847358203,0.11,600.0,0.05,53.54084544920928,45.17341369166679,-0.26956390699136407,1.3551189301552846,0.8104691460065679,0.8445601572928773,STATIONARY_LINEAR_ROM_RESULT,stationary_statistic_matched,3b135b2c1a1b5c961ce68a101a0414fa0b525d85,catwalk-fem/ccx-results/CW-CCX-GH43-BUF-20260830-I08-double-mct-rom/results/I08_43CASE_MASTER.csv,e5bb379a64a091e8fdb561c7c4689af345d397677aefdd18322bc54db41d1a49
asce7_risk4_fl,ASCE7风险IV类佛罗里达,code_extreme,L3,offsite_reference,true,stationary_ok,58.3,71.17759845783631,0.12,600.0,0.05,120.26053501421677,123.09193013191538,-0.6054797865688686,3.779484593178827,1.8204317151421578,2.063941450184205,STATIONARY_LINEAR_ROM_RESULT,stationary_statistic_matched,3b135b2c1a1b5c961ce68a101a0414fa0b525d85,catwalk-fem/ccx-results/CW-CCX-GH43-BUF-20260830-I08-double-mct-rom/results/I08_43CASE_MASTER.csv,e5bb379a64a091e8fdb561c7c4689af345d397677aefdd18322bc54db41d1a49
haiyan_2013_peak,2013海燕峰值,typhoon_extreme,L3,offsite_envelope,true,stationary_ok,63.9,78.01455474195095,0.12,600.0,0.05,144.47334840945132,150.62648040461207,-0.7273848577964778,4.636951816893795,2.1869507349710084,2.482866024207194,STATIONARY_LINEAR_ROM_RESULT,stationary_statistic_matched,3b135b2c1a1b5c961ce68a101a0414fa0b525d85,catwalk-fem/ccx-results/CW-CCX-GH43-BUF-20260830-I08-double-mct-rom/results/I08_43CASE_MASTER.csv,e5bb379a64a091e8fdb561c7c4689af345d397677aefdd18322bc54db41d1a49
dongfangzhixing_2015_downburst,2015东方之星下击暴流,nonstationary_reference,L4,envelope_only,false,reference_only,30.6,37.35908255248356,0.22,600.0,0.05,33.13056749877521,51.464839685935786,-0.16680358968711134,1.511478127247958,0.501510622818188,1.0495760746999983,REFERENCE_ONLY_STATIONARY_SURROGATE,nonstationary_envelope_illustration,3b135b2c1a1b5c961ce68a101a0414fa0b525d85,catwalk-fem/ccx-results/CW-CCX-GH43-BUF-20260830-I08-double-mct-rom/results/I08_43CASE_MASTER.csv,e5bb379a64a091e8fdb561c7c4689af345d397677aefdd18322bc54db41d1a49
