passage_index,passage_id,span,gate_index,gate_name_cw1,gate_name_cw2,mct_property3_element,mct_bottom_node,mct_gate_node,mct_bottom_x_mm,mct_bottom_y_mm,mct_bottom_z_mm,mct_gate_x_mm,mct_gate_y_mm,mct_gate_z_mm,ansys_passage_center_x_mm,ansys_bottom_station_y_mm,ansys_gate_top_station_y_mm,ansys_gate_centerline_y_mm,ansys_passage_top_chord_reference_z_mm,ansys_gate_top_rope_z_mm,bottom_left_segment_slope_degree,bottom_right_segment_slope_degree,bottom_central_chord_slope_degree,gate_top_bottom_station_mismatch_mm,old_proportional_global_y_mm,authority_bottom_minus_old_y_mm,authority_gate_center_minus_old_y_mm,bottom_mct_combined_weight_kn_per_catwalk,gate_mct_combined_weight_kn_per_catwalk,dedicated_total_weight_kn_per_catwalk,dedicated_total_mass_tonne_per_catwalk,dedicated_total_weight_kn_two_catwalks,dedicated_total_mass_tonne_two_catwalks,cross_passage_half_weight_kn_per_catwalk,cross_passage_full_weight_kn_two_catwalks,cross_passage_full_mass_tonne_two_catwalks,cross_passage_tri_gate_weight_kn_per_catwalk,gate_bottom_beam_weight_kn_per_catwalk,guide_roller_weight_kn_per_catwalk,main_cable_restrainer_weight_kn_per_catwalk,pws_roller_weight_kn_per_catwalk,large_crossbeam_weight_kn_per_catwalk,bottom_component_ids,gate_component_ids,bottom_ansys_nodes_cw1,bottom_ansys_nodes_cw2,gate_ansys_nodes_cw1,gate_ansys_nodes_cw2,bottom_mass21_elements_cw1,bottom_mass21_elements_cw2,gate_mass21_elements_cw1,gate_mass21_elements_cw2,recommended_finite_model_station_rule
11,H11,main_span,35,CW1_GATE_35,CW2_GATE_35,1429,321,1188,2837008.5,-1.55234313972624e-12,117215.765178323,2837008.5,0.0,125275.852353106,0.0,2005917.5,2005917.5,2005917.5,117215.765178323,125275.852353106,2.7252880118060836,3.1710489573216605,2.823955351101044,0.0,2001042.043478261,4875.456521739019,4875.456521739019,67.59,21.556,89.146,9.090964715480318,178.292,18.181929430960636,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,0.0,0.0,cross_passage_half;main_cable_restrainer;gate_bottom_beam,cross_passage_tri_gate;guide_roller,321;1049;1777;2505;3233;3961;4689;5417;6145;6873;7601;8329;9057;9785;10513;11241,14339;15067;15795;16523;17251;17979;18707;19435;20163;20891;21619;22347;23075;23803;24531;25259,11836;12231;12626;13021;13416;13811,25854;26249;26644;27039;27434;27829,500305;500998;501691;502384;503077;503770;504463;505156;505849;506542;507235;507928;508621;509314;510007;510700,511819;512512;513205;513898;514591;515284;515977;516670;517363;518056;518749;519442;520135;520828;521521;522214,511122;511193;511264;511335;511406;511477,522636;522707;522778;522849;522920;522991,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
12,H12,main_span,38,CW1_GATE_38,CW2_GATE_38,1432,342,1203,2994009.3,-1.5525224179435e-12,129591.682718469,2994009.3,0.0,137849.620262182,0.0,2162918.3,2162918.3,2162918.3,129591.682718469,137849.620262182,5.83828998211479,6.281067456447067,6.182278325594333,0.0,2154175.0869565215,8743.213043478318,8743.213043478318,67.59,21.556,89.146,9.090964715480318,178.292,18.181929430960636,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,0.0,0.0,cross_passage_half;main_cable_restrainer;gate_bottom_beam,cross_passage_tri_gate;guide_roller,342;1070;1798;2526;3254;3982;4710;5438;6166;6894;7622;8350;9078;9806;10534;11262,14360;15088;15816;16544;17272;18000;18728;19456;20184;20912;21640;22368;23096;23824;24552;25280,11851;12246;12641;13036;13431;13826,25869;26264;26659;27054;27449;27844,500326;501019;501712;502405;503098;503791;504484;505177;505870;506563;507256;507949;508642;509335;510028;510721,511840;512533;513226;513919;514612;515305;515998;516691;517384;518077;518770;519463;520156;520849;521542;522235,511125;511196;511267;511338;511409;511480,522639;522710;522781;522852;522923;522994,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
13,H13,main_span,41,CW1_GATE_41,CW2_GATE_41,1435,361,1218,3145000.0,-1.55269486341923e-12,149503.224113289,3145009.3,0.0,158014.687301232,0.0,2313909.0,2313918.3,2313913.65,149503.224113289,158014.687301232,8.721042064527323,9.240247581142375,8.980830716211893,9.299999999813735,2307308.1304347827,6600.86956521729,6605.519565217197,70.12,21.556,91.676,9.348970018356109,183.352,18.697940036712218,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,1.21,1.32,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam,cross_passage_tri_gate;guide_roller,361;1089;1817;2545;3273;4001;4729;5457;6185;6913;7641;8369;9097;9825;10553;11281,14379;15107;15835;16563;17291;18019;18747;19475;20203;20931;21659;22387;23115;23843;24571;25299,11866;12261;12656;13051;13446;13841,25884;26279;26674;27069;27464;27859,500345;501038;501731;502424;503117;503810;504503;505196;505889;506582;507275;507968;508661;509354;510047;510740,511859;512552;513245;513938;514631;515324;516017;516710;517403;518096;518789;519482;520175;520868;521561;522254,511128;511199;511270;511341;511412;511483,522642;522713;522784;522855;522926;522997,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
14,H14,main_span,44,CW1_GATE_44,CW2_GATE_44,1438,382,1233,3316000.0,-1.55289021197106e-12,181537.186912644,3316009.3,0.0,190362.459247499,0.0,2484909.0,2484918.3,2484913.65,181537.186912644,190362.459247499,11.971835593266162,12.481554760576177,12.226940837079939,9.299999999813735,2478456.8260869565,6452.173913043458,6456.823913043365,70.12,21.556,91.676,9.348970018356109,183.352,18.697940036712218,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,1.21,1.32,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam,cross_passage_tri_gate;guide_roller,382;1110;1838;2566;3294;4022;4750;5478;6206;6934;7662;8390;9118;9846;10574;11302,14400;15128;15856;16584;17312;18040;18768;19496;20224;20952;21680;22408;23136;23864;24592;25320,11881;12276;12671;13066;13461;13856,25899;26294;26689;27084;27479;27874,500366;501059;501752;502445;503138;503831;504524;505217;505910;506603;507296;507989;508682;509375;510068;510761,511880;512573;513266;513959;514652;515345;516038;516731;517424;518117;518810;519503;520196;520889;521582;522275,511131;511202;511273;511344;511415;511486,522645;522716;522787;522858;522929;523000,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
15,H15,main_span,47,CW1_GATE_47,CW2_GATE_47,1441,403,1248,3487000.0,-1.55308561551582e-12,223648.475809119,3487009.3,0.0,232671.179962876,0.0,2655909.0,2655918.3,2655913.65,223648.475809119,232671.179962876,15.17654740316482,15.67425605526134,15.425699965862602,9.299999999813735,2649605.5217391304,6303.478260869626,6308.128260869533,70.12,21.556,91.676,9.348970018356109,183.352,18.697940036712218,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,1.21,1.32,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam,cross_passage_tri_gate;guide_roller,403;1131;1859;2587;3315;4043;4771;5499;6227;6955;7683;8411;9139;9867;10595;11323,14421;15149;15877;16605;17333;18061;18789;19517;20245;20973;21701;22429;23157;23885;24613;25341,11896;12291;12686;13081;13476;13871,25914;26309;26704;27099;27494;27889,500387;501080;501773;502466;503159;503852;504545;505238;505931;506624;507317;508010;508703;509396;510089;510782,511901;512594;513287;513980;514673;515366;516059;516752;517445;518138;518831;519524;520217;520910;521603;522296,511134;511205;511276;511347;511418;511489,522648;522719;522790;522861;522932;523003,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
16,H16,main_span,50,CW1_GATE_50,CW2_GATE_50,1444,424,1263,3658000.0,-1.55328106918536e-12,275947.786240305,3658009.3,0.0,285033.684432866,0.0,2826909.0,2826918.3,2826913.65,275947.786240305,285033.684432866,18.324181389002536,18.807656265143898,18.56626139616939,9.299999999813735,2820754.2173913047,6154.782608695328,6159.432608695235,70.12,21.556,91.676,9.348970018356109,183.352,18.697940036712218,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,1.21,1.32,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam,cross_passage_tri_gate;guide_roller,424;1152;1880;2608;3336;4064;4792;5520;6248;6976;7704;8432;9160;9888;10616;11344,14442;15170;15898;16626;17354;18082;18810;19538;20266;20994;21722;22450;23178;23906;24634;25362,11911;12306;12701;13096;13491;13886,25929;26324;26719;27114;27509;27904,500408;501101;501794;502487;503180;503873;504566;505259;505952;506645;507338;508031;508724;509417;510110;510803,511922;512615;513308;514001;514694;515387;516080;516773;517466;518159;518852;519545;520238;520931;521624;522317,511137;511208;511279;511350;511421;511492,522651;522722;522793;522864;522935;523006,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
17,H17,south_side,55,CW1_GATE_55,CW2_GATE_55,1449,488,1300,4014500.0,-3.87269870150507e-16,272942.519985505,4014509.3,0.0,281675.671990902,0.0,3183409.0,3183418.3,3183413.65,272942.519985505,281675.671990902,-20.467769331300474,-20.026195495581565,-20.247296239846616,9.299999999813735,3188573.2259414224,-5164.225941422395,-5159.5759414224885,70.12,21.556,91.676,9.348970018356109,183.352,18.697940036712218,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,1.21,1.32,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam,cross_passage_tri_gate;guide_roller,488;1216;1944;2672;3400;4128;4856;5584;6312;7040;7768;8496;9224;9952;10680;11408,14506;15234;15962;16690;17418;18146;18874;19602;20330;21058;21786;22514;23242;23970;24698;25426,11948;12343;12738;13133;13528;13923,25966;26361;26756;27151;27546;27941,500464;501157;501850;502543;503236;503929;504622;505315;506008;506701;507394;508087;508780;509473;510166;510859,511978;512671;513364;514057;514750;515443;516136;516829;517522;518215;518908;519601;520294;520987;521680;522373,511142;511213;511284;511355;511426;511497,522656;522727;522798;522869;522940;523011,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
18,H18,south_side,58,CW1_GATE_58,CW2_GATE_58,1452,528,1315,4194500.0,-4.13271916679804e-16,212497.108361869,4194509.3,0.0,221603.525991369,0.0,3363409.0,3363418.3,3363413.6500000004,212497.108361869,221603.525991369,-17.08078224092773,-16.623095950680696,-16.852215960394865,9.299999999813735,3361547.0,1862.0,1866.6500000003725,70.12,21.556,91.676,9.348970018356109,183.352,18.697940036712218,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,1.21,1.32,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam,cross_passage_tri_gate;guide_roller,528;1256;1984;2712;3440;4168;4896;5624;6352;7080;7808;8536;9264;9992;10720;11448,14546;15274;16002;16730;17458;18186;18914;19642;20370;21098;21826;22554;23282;24010;24738;25466,11963;12358;12753;13148;13543;13938,25981;26376;26771;27166;27561;27956,500504;501197;501890;502583;503276;503969;504662;505355;506048;506741;507434;508127;508820;509513;510206;510899,512018;512711;513404;514097;514790;515483;516176;516869;517562;518255;518948;519641;520334;521027;521720;522413,511145;511216;511287;511358;511429;511500,522659;522730;522801;522872;522943;523014,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
19,H19,south_side,61,CW1_GATE_61,CW2_GATE_61,1455,568,1330,4374500.0,-3.10711742727232e-16,163836.628224247,4374509.3,0.0,172549.260273798,0.0,3543409.0,3543418.3,3543413.6500000004,163836.628224247,172549.260273798,-13.616474890412958,-13.145051449089092,-13.380993844692945,9.299999999813735,3534520.7740585776,8888.225941422395,8892.875941422768,70.12,21.556,91.676,9.348970018356109,183.352,18.697940036712218,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,1.21,1.32,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam,cross_passage_tri_gate;guide_roller,568;1296;2024;2752;3480;4208;4936;5664;6392;7120;7848;8576;9304;10032;10760;11488,14586;15314;16042;16770;17498;18226;18954;19682;20410;21138;21866;22594;23322;24050;24778;25506,11978;12373;12768;13163;13558;13953,25996;26391;26786;27181;27576;27971,500544;501237;501930;502623;503316;504009;504702;505395;506088;506781;507474;508167;508860;509553;510246;510939,512058;512751;513444;514137;514830;515523;516216;516909;517602;518295;518988;519681;520374;521067;521760;522453,511148;511219;511290;511361;511432;511503,522662;522733;522804;522875;522946;523017,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
20,H20,south_aux,66,CW1_GATE_66,CW2_GATE_66,1460,646,1363,4719000.0,-6.63890711999242e-17,90402.4350296035,4719009.3,0.0,98874.2549728832,0.0,3887909.0,3887918.3,3887913.6500000004,90402.4350296035,98874.2549728832,-11.109707382570505,-10.630196358864154,-10.870144525260978,9.299999999813735,3888174.51888668,-265.51888667978346,-260.86888667941093,70.12,21.556,91.676,9.348970018356109,183.352,18.697940036712218,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,1.21,1.32,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam,cross_passage_tri_gate;guide_roller,646;1374;2102;2830;3558;4286;5014;5742;6470;7198;7926;8654;9382;10110;10838;11566,14664;15392;16120;16848;17576;18304;19032;19760;20488;21216;21944;22672;23400;24128;24856;25584,12011;12406;12801;13196;13591;13986,26029;26424;26819;27214;27609;28004,500617;501310;502003;502696;503389;504082;504775;505468;506161;506854;507547;508240;508933;509626;510319;511012,512131;512824;513517;514210;514903;515596;516289;516982;517675;518368;519061;519754;520447;521140;521833;522526,511153;511224;511295;511366;511437;511508,522667;522738;522809;522880;522951;523022,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
21,H21,south_aux,69,CW1_GATE_69,CW2_GATE_69,1463,685,1378,4890000.0,-1.18548277575237e-16,62791.7276232776,4890009.3,0.0,71671.8794209623,0.0,4058909.0,4058918.3,4058913.6500000004,62791.7276232776,71671.8794209623,-7.678030262682998,-7.2444067378655825,-7.461325948438306,9.299999999813735,4057103.48111332,1805.5188866797835,1810.168886680156,68.8,21.556,90.356,9.21435855598613,180.712,18.42871711197226,49.69,99.38,10.134611462369978,12.36,3.18,9.196,14.72,1.21,0.0,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller,cross_passage_tri_gate;guide_roller,685;1413;2141;2869;3597;4325;5053;5781;6509;7237;7965;8693;9421;10149;10877;11605,14703;15431;16159;16887;17615;18343;19071;19799;20527;21255;21983;22711;23439;24167;24895;25623,12026;12421;12816;13211;13606;14001,26044;26439;26834;27229;27624;28019,500656;501349;502042;502735;503428;504121;504814;505507;506200;506893;507586;508279;508972;509665;510358;511051,512170;512863;513556;514249;514942;515635;516328;517021;517714;518407;519100;519793;520486;521179;521872;522565,511156;511227;511298;511369;511440;511511,522670;522741;522812;522883;522954;523025,门架中心线保留gate_centerline_y；底梁/顶梁分别用刚臂连接bottom/gate原索节点；横通道顶弦参考点连接bottom站，不再使用old比例Y。
