  1.,  0.5325422306672562E-06
  2.,  0.1128348127221193E-03
  3.,  0.4060161365048469E-03
  4.,  0.3557142686569876E-03
  5.,  0.2774865567799446E-01
  6.,  0.3054462970802475E-01
  7.,  0.1142297252177757E-03
  8.,  0.1041751305492671E-03
  9.,  0.1325442377553859E-03
 10.,  0.4852260837012384E-01
 11.,  0.5139527092001027E-01
 12.,  0.2915474387930727E+00
 13.,  0.3428559133481030E-03
 14.,  0.2207074243104046E-03
 15.,  0.2941402515850717E+00
 16.,  0.9008232356462100E-03
 17.,  0.2340057713743779E+00
 18.,  0.4966982319826210E-03
 19.,  0.2359950258407614E+00
 20.,  0.4679764963762848E-03
 21.,  0.5681845778218600E-01
 22.,  0.5321270312090268E-01
 23.,  0.2599332062083524E+00
 24.,  0.2579580178817667E+00
 25.,  0.2705248143708239E-03
 26.,  0.1010338583500280E-02
 27.,  0.1205020805964682E-02
 28.,  0.1308242241557588E-02
 29.,  0.9063611300734115E-03
 30.,  0.1770798681708072E-02
 31.,  0.1506042790594533E-02
 32.,  0.1319840071346317E-02
 33.,  0.2249367887331109E-02
 34.,  0.6535239812620453E-03
 35.,  0.1262878848570148E-01
 36.,  0.1198331016885283E-01
 37.,  0.9406823053715508E-03
 38.,  0.2721744420177398E-02
 39.,  0.8821817502172611E+00
 40.,  0.9795501922659736E+00
 41.,  0.9925866720812948E+00
 42.,  0.1802968853755743E-02
 43.,  0.9229182355377563E+00
 44.,  0.1146448253257862E+01
 45.,  0.2775398606578642E-02
 46.,  0.7821517928425562E-02
 47.,  0.4430014706358806E-02
 48.,  0.6608071989213643E-02
 49.,  0.9971795518005859E+00
 50.,  0.1046973355792428E+01
 51.,  0.9812361495949815E+00
 52.,  0.5163621541408523E+00
 53.,  0.6414081769896331E+00
 54.,  0.3676052755170736E-02
 55.,  0.1110967735202909E+01
 56.,  0.1054558705099648E+01
 57.,  0.8540883144827423E-02
 58.,  0.2876686431412871E-01
 59.,  0.1069771344429048E+01
 60.,  0.2813376072954085E-01
 61.,  0.8039856579887004E+00
 62.,  0.9090618711457601E-02
 63.,  0.6427821660250965E-02
 64.,  0.9423842039481815E-02
 65.,  0.1020441409088725E+01
 66.,  0.3455907971032041E-01
 67.,  0.1107447066824874E+01
 68.,  0.1163521111850679E+01
 69.,  0.4550243570953570E+00
 70.,  0.7184171362401020E+00
 71.,  0.3323302143605018E-01
 72.,  0.8753580118942931E+00
 73.,  0.8570635622850398E+00
 74.,  0.1302983862465603E+01
 75.,  0.9860929013330365E+00
 76.,  0.9090327428083276E-02
 77.,  0.9781568427625686E-02
 78.,  0.1179833627373147E+01
 79.,  0.9235578624331949E+00
 80.,  0.6638403565395890E-02
