passage_index,passage_id,span,gate_index,catwalk,subsystem,mct_node,rope_index,ansys_node,ansys_x_mm,ansys_y_mm,ansys_z_mm,node_family,node_source,mct_combined_fz_kn_per_catwalk,applied_fz_n_at_node,combined_weight_kn_at_node,combined_mass_tonne_at_node,mass21_element_id,mass21_real_id,incident_link10_count,incident_beam4_count,incident_total_element_count,component_ids_in_combined_mass
1,H01,north_side,3,1,gate,1018,6,13641,-19240.0,203918.30000000005,121414.541763406,CW1_GANTRY_PHI54_06,MCT node 1018,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,511445,200006,2,0,2,cross_passage_tri_gate;guide_roller
1,H01,north_side,3,2,bottom,42,1,14060,18780.0,203909.0,112301.044092026,CW2_BOTTOM_PHI50_01,MCT node 42,-70.12,-4382.5,4.3825,0.4469202529063838,511548,200013,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam
1,H01,north_side,3,2,bottom,42,2,14788,19040.0,203909.0,112301.044092026,CW2_BOTTOM_PHI50_02,MCT node 42,-70.12,-4382.5,4.3825,0.4469202529063838,512241,200013,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam
1,H01,north_side,3,2,bottom,42,3,15516,19300.0,203909.0,112301.044092026,CW2_BOTTOM_PHI50_03,MCT node 42,-70.12,-4382.5,4.3825,0.4469202529063838,512934,200013,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam
1,H01,north_side,3,2,bottom,42,4,16244,19560.0,203909.0,112301.044092026,CW2_BOTTOM_PHI50_04,MCT node 42,-70.12,-4382.5,4.3825,0.4469202529063838,513627,200013,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam
1,H01,north_side,3,2,bottom,42,5,16972,19820.0,203909.0,112301.044092026,CW2_BOTTOM_PHI50_05,MCT node 42,-70.12,-4382.5,4.3825,0.4469202529063838,514320,200013,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam
1,H01,north_side,3,2,bottom,42,6,17700,20080.0,203909.0,112301.044092026,CW2_BOTTOM_PHI50_06,MCT node 42,-70.12,-4382.5,4.3825,0.4469202529063838,515013,200013,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam
1,H01,north_side,3,2,bottom,42,7,18428,20340.0,203909.0,112301.044092026,CW2_BOTTOM_PHI50_07,MCT node 42,-70.12,-4382.5,4.3825,0.4469202529063838,515706,200013,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam
1,H01,north_side,3,2,bottom,42,8,19156,20600.0,203909.0,112301.044092026,CW2_BOTTOM_PHI50_08,MCT node 42,-70.12,-4382.5,4.3825,0.4469202529063838,516399,200013,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam
1,H01,north_side,3,2,bottom,42,9,19884,22300.0,203909.0,112301.044092026,CW2_BOTTOM_PHI50_09,MCT node 42,-70.12,-4382.5,4.3825,0.4469202529063838,517092,200013,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam
1,H01,north_side,3,2,bottom,42,10,20612,22560.0,203909.0,112301.044092026,CW2_BOTTOM_PHI50_10,MCT node 42,-70.12,-4382.5,4.3825,0.4469202529063838,517785,200013,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam
1,H01,north_side,3,2,bottom,42,11,21340,22820.0,203909.0,112301.044092026,CW2_BOTTOM_PHI50_11,MCT node 42,-70.12,-4382.5,4.3825,0.4469202529063838,518478,200013,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam
1,H01,north_side,3,2,bottom,42,12,22068,23080.0,203909.0,112301.044092026,CW2_BOTTOM_PHI50_12,MCT node 42,-70.12,-4382.5,4.3825,0.4469202529063838,519171,200013,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam
1,H01,north_side,3,2,bottom,42,13,22796,23340.0,203909.0,112301.044092026,CW2_BOTTOM_PHI50_13,MCT node 42,-70.12,-4382.5,4.3825,0.4469202529063838,519864,200013,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam
1,H01,north_side,3,2,bottom,42,14,23524,23600.0,203909.0,112301.044092026,CW2_BOTTOM_PHI50_14,MCT node 42,-70.12,-4382.5,4.3825,0.4469202529063838,520557,200013,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam
1,H01,north_side,3,2,bottom,42,15,24252,23860.0,203909.0,112301.044092026,CW2_BOTTOM_PHI50_15,MCT node 42,-70.12,-4382.5,4.3825,0.4469202529063838,521250,200013,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam
1,H01,north_side,3,2,bottom,42,16,24980,24120.0,203909.0,112301.044092026,CW2_BOTTOM_PHI50_16,MCT node 42,-70.12,-4382.5,4.3825,0.4469202529063838,521943,200013,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam
1,H01,north_side,3,2,gate,1018,1,25684,19240.0,203918.30000000005,121414.541763406,CW2_GANTRY_PHI54_01,MCT node 1018,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,522604,200006,2,0,2,cross_passage_tri_gate;guide_roller
1,H01,north_side,3,2,gate,1018,2,26079,19500.0,203918.30000000005,121414.541763406,CW2_GANTRY_PHI54_02,MCT node 1018,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,522675,200006,2,0,2,cross_passage_tri_gate;guide_roller
1,H01,north_side,3,2,gate,1018,3,26474,19760.0,203918.30000000005,121414.541763406,CW2_GANTRY_PHI54_03,MCT node 1018,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,522746,200006,2,0,2,cross_passage_tri_gate;guide_roller
1,H01,north_side,3,2,gate,1018,4,26869,23140.0,203918.30000000005,121414.541763406,CW2_GANTRY_PHI54_04,MCT node 1018,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,522817,200006,2,0,2,cross_passage_tri_gate;guide_roller
1,H01,north_side,3,2,gate,1018,5,27264,23400.0,203918.30000000005,121414.541763406,CW2_GANTRY_PHI54_05,MCT node 1018,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,522888,200006,2,0,2,cross_passage_tri_gate;guide_roller
1,H01,north_side,3,2,gate,1018,6,27659,23660.0,203918.30000000005,121414.541763406,CW2_GANTRY_PHI54_06,MCT node 1018,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,522959,200006,2,0,2,cross_passage_tri_gate;guide_roller
2,H02,north_side,6,1,bottom,81,1,81,-24120.0,374909.0,181248.47221642,CW1_BOTTOM_PHI50_01,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,500073,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,1,bottom,81,2,809,-23860.0,374909.0,181248.47221642,CW1_BOTTOM_PHI50_02,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,500766,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
