passage_index,passage_id,span,gate_index,catwalk,subsystem,mct_node,component_id,component_name,authority_category,authority,quantity_at_station_per_catwalk,unit_weight_kn,weight_kn_per_catwalk_station,mass_tonne_per_catwalk_station,original_distribution_node_count,original_weight_kn_per_node,original_mass_tonne_per_node,original_ansys_nodes,original_mass21_elements,relocation_note
1,H01,north_side,3,2,gate,1018,cross_passage_tri_gate,横通道三角门架,table_1_3_conload,复核报告表1-3 + 原MCT二期CONLOAD,1,12.36,12.36,1.2604527840097899,6,2.06,0.21007546400163166,25684;26079;26474;26869;27264;27659,522604;522675;522746;522817;522888;522959,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
1,H01,north_side,3,2,gate,1018,guide_roller,门架导轮组,table_1_3_conload,复核报告表1-3 + 原MCT二期CONLOAD,1,9.196,9.196,0.9377931878441771,6,1.5326666666666666,0.15629886464069617,25684;26079;26474;26869;27264;27659,522604;522675;522746;522817;522888;522959,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
2,H02,north_side,6,1,bottom,81,cross_passage_half,横向通道（每幅计1/2）,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,49.69,49.69,5.067305731184989,16,3.105625,0.3167066081990618,81;809;1537;2265;2993;3721;4449;5177;5905;6633;7361;8089;8817;9545;10273;11001,500073;500766;501459;502152;502845;503538;504231;504924;505617;506310;507003;507696;508389;509082;509775;510468,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
2,H02,north_side,6,1,bottom,81,main_cable_restrainer,主缆抑位器,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,14.72,14.72,1.5011217621864166,16,0.92,0.09382011013665104,81;809;1537;2265;2993;3721;4449;5177;5905;6633;7361;8089;8817;9545;10273;11001,500073;500766;501459;502152;502845;503538;504231;504924;505617;506310;507003;507696;508389;509082;509775;510468,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
2,H02,north_side,6,1,bottom,81,gate_bottom_beam,猫道门架下横梁,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,3.18,3.18,0.324291250254946,16,0.19875,0.020268203140934124,81;809;1537;2265;2993;3721;4449;5177;5905;6633;7361;8089;8817;9545;10273;11001,500073;500766;501459;502152;502845;503538;504231;504924;505617;506310;507003;507696;508389;509082;509775;510468,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
2,H02,north_side,6,1,bottom,81,pws_roller,PWS滚筒组,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,1.21,1.21,0.12339384050581277,16,0.075625,0.007712115031613298,81;809;1537;2265;2993;3721;4449;5177;5905;6633;7361;8089;8817;9545;10273;11001,500073;500766;501459;502152;502845;503538;504231;504924;505617;506310;507003;507696;508389;509082;509775;510468,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
2,H02,north_side,6,1,gate,1033,cross_passage_tri_gate,横通道三角门架,table_1_3_conload,复核报告表1-3 + 原MCT二期CONLOAD,1,12.36,12.36,1.2604527840097899,6,2.06,0.21007546400163166,11681;12076;12471;12866;13261;13656,511093;511164;511235;511306;511377;511448,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
2,H02,north_side,6,1,gate,1033,guide_roller,门架导轮组,table_1_3_conload,复核报告表1-3 + 原MCT二期CONLOAD,1,9.196,9.196,0.9377931878441771,6,1.5326666666666666,0.15629886464069617,11681;12076;12471;12866;13261;13656,511093;511164;511235;511306;511377;511448,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
2,H02,north_side,6,2,bottom,81,cross_passage_half,横向通道（每幅计1/2）,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,49.69,49.69,5.067305731184989,16,3.105625,0.3167066081990618,14099;14827;15555;16283;17011;17739;18467;19195;19923;20651;21379;22107;22835;23563;24291;25019,511587;512280;512973;513666;514359;515052;515745;516438;517131;517824;518517;519210;519903;520596;521289;521982,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
2,H02,north_side,6,2,bottom,81,main_cable_restrainer,主缆抑位器,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,14.72,14.72,1.5011217621864166,16,0.92,0.09382011013665104,14099;14827;15555;16283;17011;17739;18467;19195;19923;20651;21379;22107;22835;23563;24291;25019,511587;512280;512973;513666;514359;515052;515745;516438;517131;517824;518517;519210;519903;520596;521289;521982,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
2,H02,north_side,6,2,bottom,81,gate_bottom_beam,猫道门架下横梁,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,3.18,3.18,0.324291250254946,16,0.19875,0.020268203140934124,14099;14827;15555;16283;17011;17739;18467;19195;19923;20651;21379;22107;22835;23563;24291;25019,511587;512280;512973;513666;514359;515052;515745;516438;517131;517824;518517;519210;519903;520596;521289;521982,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
2,H02,north_side,6,2,bottom,81,pws_roller,PWS滚筒组,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,1.21,1.21,0.12339384050581277,16,0.075625,0.007712115031613298,14099;14827;15555;16283;17011;17739;18467;19195;19923;20651;21379;22107;22835;23563;24291;25019,511587;512280;512973;513666;514359;515052;515745;516438;517131;517824;518517;519210;519903;520596;521289;521982,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
2,H02,north_side,6,2,gate,1033,cross_passage_tri_gate,横通道三角门架,table_1_3_conload,复核报告表1-3 + 原MCT二期CONLOAD,1,12.36,12.36,1.2604527840097899,6,2.06,0.21007546400163166,25699;26094;26489;26884;27279;27674,522607;522678;522749;522820;522891;522962,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
2,H02,north_side,6,2,gate,1033,guide_roller,门架导轮组,table_1_3_conload,复核报告表1-3 + 原MCT二期CONLOAD,1,9.196,9.196,0.9377931878441771,6,1.5326666666666666,0.15629886464069617,25699;26094;26489;26884;27279;27674,522607;522678;522749;522820;522891;522962,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
3,H03,north_side,9,1,bottom,120,cross_passage_half,横向通道（每幅计1/2）,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,49.69,49.69,5.067305731184989,16,3.105625,0.3167066081990618,120;848;1576;2304;3032;3760;4488;5216;5944;6672;7400;8128;8856;9584;10312;11040,500112;500805;501498;502191;502884;503577;504270;504963;505656;506349;507042;507735;508428;509121;509814;510507,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
3,H03,north_side,9,1,bottom,120,main_cable_restrainer,主缆抑位器,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,14.72,14.72,1.5011217621864166,16,0.92,0.09382011013665104,120;848;1576;2304;3032;3760;4488;5216;5944;6672;7400;8128;8856;9584;10312;11040,500112;500805;501498;502191;502884;503577;504270;504963;505656;506349;507042;507735;508428;509121;509814;510507,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
3,H03,north_side,9,1,bottom,120,gate_bottom_beam,猫道门架下横梁,table_1_2_conload,复核报告表1-2 + 原MCT二期CONLOAD,1,3.18,3.18,0.324291250254946,16,0.19875,0.020268203140934124,120;848;1576;2304;3032;3760;4488;5216;5944;6672;7400;8128;8856;9584;10312;11040,500112;500805;501498;502191;502884;503577;504270;504963;505656;506349;507042;507735;508428;509121;509814;510507,迁移到精细杆系时只移除此组件份额；同一原MASS21还含本组合其他组件，不能整单元删除后遗漏。
