passage_index,passage_id,span,gate_index,catwalk,gate_name,centerline_node_id,role,x_mm,y_mm,z_mm
1,H01,north_side,3,1,CW1_GATE_03,33,bottom_beam_left,-24525.0,203913.65000000002,112413.544092026
1,H01,north_side,3,1,CW1_GATE_03,34,bottom_beam_right,-18375.0,203913.65000000002,112413.544092026
1,H01,north_side,3,1,CW1_GATE_03,35,top_beam_left,-25140.0,203913.65000000002,121521.541763406
1,H01,north_side,3,1,CW1_GATE_03,36,top_beam_right,-17760.0,203913.65000000002,121521.541763406
1,H01,north_side,3,1,CW1_GATE_03,37,left_post_bottom,-24360.0,203913.65000000002,112501.044092026
1,H01,north_side,3,1,CW1_GATE_03,38,left_post_top,-24360.0,203913.65000000002,121441.541763406
1,H01,north_side,3,1,CW1_GATE_03,39,right_post_bottom,-18540.0,203913.65000000002,112501.044092026
1,H01,north_side,3,1,CW1_GATE_03,40,right_post_top,-18540.0,203913.65000000002,121441.541763406
1,H01,north_side,3,2,CW2_GATE_03,41,bottom_beam_left,18375.0,203913.65000000002,112413.544092026
1,H01,north_side,3,2,CW2_GATE_03,42,bottom_beam_right,24525.0,203913.65000000002,112413.544092026
1,H01,north_side,3,2,CW2_GATE_03,43,top_beam_left,17760.0,203913.65000000002,121521.541763406
1,H01,north_side,3,2,CW2_GATE_03,44,top_beam_right,25140.0,203913.65000000002,121521.541763406
1,H01,north_side,3,2,CW2_GATE_03,45,left_post_bottom,18540.0,203913.65000000002,112501.044092026
1,H01,north_side,3,2,CW2_GATE_03,46,left_post_top,18540.0,203913.65000000002,121441.541763406
1,H01,north_side,3,2,CW2_GATE_03,47,right_post_bottom,24360.0,203913.65000000002,112501.044092026
1,H01,north_side,3,2,CW2_GATE_03,48,right_post_top,24360.0,203913.65000000002,121441.541763406
2,H02,north_side,6,1,CW1_GATE_06,81,bottom_beam_left,-24525.0,374913.6499999999,181360.97221642
2,H02,north_side,6,1,CW1_GATE_06,82,bottom_beam_right,-18375.0,374913.6499999999,181360.97221642
2,H02,north_side,6,1,CW1_GATE_06,83,top_beam_left,-25140.0,374913.6499999999,190425.383196477
2,H02,north_side,6,1,CW1_GATE_06,84,top_beam_right,-17760.0,374913.6499999999,190425.383196477
2,H02,north_side,6,1,CW1_GATE_06,85,left_post_bottom,-24360.0,374913.6499999999,181448.47221642
2,H02,north_side,6,1,CW1_GATE_06,86,left_post_top,-24360.0,374913.6499999999,190345.383196477
2,H02,north_side,6,1,CW1_GATE_06,87,right_post_bottom,-18540.0,374913.6499999999,181448.47221642
