apdl_node_id,x_mm,y_mm,z_mm,mass_tonne,is_generated_node,system,assembly_name,role,component_ids,component_masses_tonne
41,197909.000000000000,24120.000000000000,110100.598080083000,8.41321639812359773e-03,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam,large_crossbeam=8.41321639812359773e-03
42,203909.000000000000,24120.000000000000,112301.044092026001,1.09945441566387928e-01,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;main_cable_restrainer;pws_roller,large_crossbeam=8.41321639812359773e-03;main_cable_restrainer=9.38201101366510359e-02;pws_roller=7.71211503161329821e-03
43,209909.000000000000,24120.000000000000,114554.186452673006,8.41321639812359773e-03,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam,large_crossbeam=8.41321639812359773e-03
44,212909.000000000000,24120.000000000000,115685.111347194994,7.71211503161329821e-03,0,original,ORIGINAL,retained_authoritative_conload_component,pws_roller,pws_roller=7.71211503161329821e-03
45,215909.000000000000,24120.000000000000,116819.052028317004,8.41321639812359773e-03,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam,large_crossbeam=8.41321639812359773e-03
46,221909.000000000000,24120.000000000000,119095.725239477993,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
47,227909.000000000000,24120.000000000000,121384.537615399997,8.41321639812359773e-03,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam,large_crossbeam=8.41321639812359773e-03
48,230909.000000000000,24120.000000000000,122533.306037650997,7.71211503161329821e-03,0,original,ORIGINAL,retained_authoritative_conload_component,pws_roller,pws_roller=7.71211503161329821e-03
49,233909.000000000000,24120.000000000000,123685.095474592003,8.41321639812359773e-03,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam,large_crossbeam=8.41321639812359773e-03
50,239909.000000000000,24120.000000000000,125997.480532709000,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
51,245909.000000000000,24120.000000000000,128322.025832051004,8.41321639812359773e-03,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam,large_crossbeam=8.41321639812359773e-03
52,248909.000000000000,24120.000000000000,129488.669352393001,7.71211503161329821e-03,0,original,ORIGINAL,retained_authoritative_conload_component,pws_roller,pws_roller=7.71211503161329821e-03
53,251909.000000000000,24120.000000000000,130658.339196738001,8.41321639812359773e-03,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam,large_crossbeam=8.41321639812359773e-03
54,257909.000000000000,24120.000000000000,133006.499654315994,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
56,263909.000000000000,24120.000000000000,135367.829344033991,8.41321639812359773e-03,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam,large_crossbeam=8.41321639812359773e-03
