      1.,  0.0000000000000000E+00,  0.2442814596744247E-11, -0.9789487416256698E-14,  0.7906400613343117E-13, -0.4275820915040998E-13, -0.1287044532788669E-07,  0.1855238544370493E-05,  0.1476628380826739E-06,  0.9583406387304825E-28,  0.6251117065867242E-26,  0.1828264449750204E-26,  0.1656483629381204E-15,  0.3441910056517946E-11,  0.2180431375062998E-13
      2.,  0.0000000000000000E+00,  0.1861263312911427E-11,  0.7738790046196009E-13,  0.4410918006476646E-13,  0.7693376029397646E-14, -0.1160587701814400E-07,  0.5567370259909299E-06,  0.1457048777117141E-06,  0.5988887137910243E-26,  0.1945619765985990E-26,  0.5918803472971029E-28,  0.1346963813602831E-15,  0.3099561161092254E-12,  0.2122991138898556E-13
      3.,  0.0000000000000000E+00,  0.2256561965952342E-11,  0.5558269361386398E-13,  0.7043571856703439E-13, -0.1081902400990560E-12, -0.9114278118351997E-08,  0.8834928193391054E-06,  0.1924546665244223E-06,  0.3089435829372676E-26,  0.4961190450054474E-26,  0.1170512805269139E-25,  0.8307006561867002E-16,  0.7805595618237611E-12,  0.3703879866702660E-13
      4.,  0.8384849095317592E-08,  0.1882181809391587E-11, -0.2187562035770100E-13,  0.4004442219792440E-12,  0.6687317680810543E-13, -0.5445996603677349E-07, -0.2920344611424197E-06,  0.8406610940063633E-06,  0.4785427660342623E-27,  0.1603555749165621E-24,  0.4472021776408130E-26,  0.2965887900726522E-14,  0.8528412649474346E-13,  0.7067110749759756E-12
      5.,  0.3682160521615735E-01,  0.1078380051209047E+04,  0.8422890743837223E-06,  0.4187760503811594E+02, -0.4331072472369081E-06, -0.6617317616821499E+07,  0.1292182873736394E+01,  0.7767851360493711E+08,  0.7094508848261876E-12,  0.1753733803728433E+04,  0.1875818876091323E-12,  0.4378889244189616E+14,  0.1669736579177645E+01,  0.6033951475872399E+16
      6.,  0.7153638682589870E-01,  0.1224062108297848E+04, -0.1547207296076778E+02,  0.8034396885283744E-06, -0.1330025876459108E-03, -0.3476464601854218E+01, -0.2487388062504309E+08, -0.2429842962505709E+02,  0.2393850417033214E+03,  0.6455153331025712E-12,  0.1768968832050818E-07,  0.1208580612794541E+02,  0.6187099373488939E+15,  0.5904136822438520E+03
      7.,  0.7337184587631310E-01,  0.1690120067002653E+04, -0.1001077629620330E-03,  0.2404928238415954E-03, -0.2044633744180088E-04,  0.6636114570185046E+03, -0.1351453316083907E+03,  0.1684571528038661E+08,  0.1002156420526258E-07,  0.5783679831930462E-07,  0.4180527147839888E-09,  0.4403801658862225E+06,  0.1826426065554189E+05,  0.2837781233078510E+15
      8.,  0.7380935261727477E-01,  0.1261216732326797E+04,  0.7736604916826921E-04,  0.5825583375333859E-04,  0.2131195372896398E-04,  0.6466078589501577E+03,  0.9668728625497580E+02,  0.1716286232393550E+08,  0.5985505563907048E-08,  0.3393742166296624E-08,  0.4541993717455019E-09,  0.4181017232561071E+06,  0.9348431323351633E+04,  0.2945638431503646E+15
      9.,  0.1012865051963194E+00,  0.5892211037260627E+03,  0.4547547741252107E-03,  0.1318901641369078E-04,  0.1181529309654572E+02, -0.1626714913942551E+02, -0.2191595282824621E+08,  0.2288714822736157E+02,  0.2068019045896714E-06,  0.1739501539606048E-09,  0.1396011509572810E+03,  0.2646201411243119E+03,  0.4803089883699132E+15,  0.5238215539812199E+03
     10.,  0.1034124148707169E+00,  0.4303313490072518E+03, -0.1526534164609695E-04, -0.5886064042907392E+00,  0.2498306361193540E-03,  0.4446615363911107E+06, -0.5512064474184451E+03, -0.1092031747528878E+07,  0.2330306555720619E-09,  0.3464574991720731E+00,  0.6241534674380105E-07,  0.1977238819457031E+12,  0.3038285476756631E+06,  0.1192533337610974E+13
