          1.,          1.,  0.5000000000000000E-01,  0.2354585108241511E+08,  0.1369162764319693E-24,  0.5814879060974919E-32
          1.,          2.,  0.1000000000000000E+00,  0.4732504432671106E+08,  0.1369162764319693E-24,  0.2893104029375233E-32
          1.,          3.,  0.1500000000000000E+00,  0.7132357446864961E+08,  0.1369162764319693E-24,  0.1919649673365025E-32
          1.,          4.,  0.2000000000000000E+00,  0.9553545845418271E+08,  0.1369162764319693E-24,  0.1433146170514606E-32
          1.,          5.,  0.2500000000000000E+00,  0.1199611872125684E+09,  0.1369162764319693E-24,  0.1141338124549875E-32
          1.,          6.,  0.3000000000000000E+00,  0.1445996212015688E+09,  0.1369162764319693E-24,  0.9468646964234500E-33
          1.,          7.,  0.3500000000000000E+00,  0.1694501523708459E+09,  0.1369162764319693E-24,  0.8080032653634008E-33
          1.,          8.,  0.4000000000000000E+00,  0.1945123388205246E+09,  0.1369162764319693E-24,  0.7038950704217335E-33
          1.,          9.,  0.4500000000000000E+00,  0.2197858344547883E+09,  0.1369162764319693E-24,  0.6229531433252312E-33
          1.,         10.,  0.4999999999999999E+00,  0.2452703518241791E+09,  0.1369162764319693E-24,  0.5582259552109136E-33
          1.,         11.,  0.5499999999999999E+00,  0.2709656436218532E+09,  0.1369162764319693E-24,  0.5052901711149886E-33
          1.,         12.,  0.6000000000000000E+00,  0.2968714906845062E+09,  0.1369162764319693E-24,  0.4611971197243527E-33
          1.,         13.,  0.6500000000000000E+00,  0.3229876958306977E+09,  0.1369162764319693E-24,  0.4239055487232475E-33
          1.,         14.,  0.7000000000000001E+00,  0.3493140788669118E+09,  0.1369162764319693E-24,  0.3919575096317093E-33
          1.,         15.,  0.7500000000000001E+00,  0.3758504727682029E+09,  0.1369162764319693E-24,  0.3642839010512811E-33
          1.,         16.,  0.8000000000000002E+00,  0.4025967224684256E+09,  0.1369162764319693E-24,  0.3400829385607012E-33
          1.,         17.,  0.8500000000000002E+00,  0.4295526820379907E+09,  0.1369162764319693E-24,  0.3187415238158379E-33
          1.,         18.,  0.9000000000000002E+00,  0.4567182141353741E+09,  0.1369162764319693E-24,  0.2997828249332452E-33
          1.,         19.,  0.9500000000000003E+00,  0.4840931875740509E+09,  0.1369162764319693E-24,  0.2828304135369090E-33
          1.,         20.,  0.1000000000000000E+01,  0.5116774787131605E+09,  0.1369162764319693E-24,  0.2675831595643135E-33
