      1.,  0.5334705592676443E-06,  0.3805225229287151E-07,  0.3954056987092889E-06,  0.1578650077005124E-07,  0.6348969573080801E-09,  0.4394234277494337E-08,  0.7565566701767076E-09,  0.7132962003584634E-01,  0.7411949766302142E+00,  0.2959207494359794E-01,  0.1190125577275858E-02,  0.8237069883531721E-02,  0.1418178861107760E-02,  0.4550301396771908E-06,  0.8529620459315738E+00
      2.,  0.1128838191935686E-03,  0.1052045791240426E-05,  0.2264750723727039E-05,  0.4515374137032260E-05,  0.8634584164463451E-07,  0.3883643857828222E-06,  0.2598813129440875E-06,  0.9319721805624067E-02,  0.2006266921075318E-01,  0.4000018930338880E-01,  0.7649089325775922E-03,  0.3440390204346918E-02,  0.2302201633508283E-02,  0.8566762192371269E-05,  0.7589008109019883E-01
      3.,  0.4196855241039292E-03,  0.2796661118982472E-04,  0.4531621121249793E-05,  0.9796528857262420E-04,  0.1500838278414344E-04,  0.2080031052229439E-03,  0.2550494843890047E-05,  0.6663706414353045E-01,  0.1079765886832828E-01,  0.2334254648925286E+00,  0.3576102086481978E-01,  0.4956165825996773E+00,  0.6077157055477695E-02,  0.3560255037346761E-03,  0.8483149484243622E+00
      4.,  0.4113825230641501E-03,  0.2681029261336724E-04,  0.1880679432888278E-04,  0.9288343153210143E-04,  0.1411599177936610E-04,  0.1957171812071078E-03,  0.2436520459617937E-05,  0.6517119982072379E-01,  0.4571607512346870E-01,  0.2257836109328772E+00,  0.3431354271986144E-01,  0.4757547300486271E+00,  0.5922761233194127E-02,  0.3507702119204433E-03,  0.8526619198787522E+00
      5.,  0.2774866786482073E-01,  0.2039299198554064E-05,  0.5116850509502915E-05,  0.1896249129887659E-04,  0.2274176409004970E-06,  0.1534631508454351E-05,  0.1095771783991373E-05,  0.7349178737114987E-04,  0.1843998614430773E-03,  0.6833658246678177E-03,  0.8195623732583325E-05,  0.5530469123528377E-04,  0.3948916716757322E-04,  0.2897646194027979E-04,  0.1044246955617485E-02
      6.,  0.3059917987396318E-01,  0.3435584098672514E-04,  0.6939277226951765E-04,  0.1053826435992306E-03,  0.1495302003967115E-04,  0.2030920642156021E-03,  0.2825094537703323E-05,  0.1122769993451965E-02,  0.2267798436276520E-02,  0.3443969545370089E-02,  0.4886738828054234E-03,  0.6637173448835240E-02,  0.9232582537635900E-04,  0.4300014356484499E-03,  0.1405271113211560E-01
      7.,  0.1145395053666961E-03,  0.9762380277196990E-06,  0.1872164078519024E-04,  0.1215847541465389E-05,  0.6831172769870787E-07,  0.5686901934543744E-06,  0.6376164163641334E-07,  0.8523155609885790E-02,  0.1634513849632340E+00,  0.1061509334768713E-01,  0.5964032014981135E-03,  0.4965013526413647E-02,  0.5566781647282452E-03,  0.2161448991716482E-04,  0.1887077288134469E+00
      8.,  0.1043671079845403E-03,  0.2814936212214537E-05,  0.6142730778615909E-04,  0.3378596479862837E-05,  0.1527251844648882E-06,  0.1095147599082225E-05,  0.1429597969932609E-06,  0.2697148811128797E-01,  0.5885696075362957E+00,  0.3237223436682084E-01,  0.1463345946957839E-02,  0.1049322550208488E-01,  0.1369778273576741E-02,  0.6901167305877685E-04,  0.6612396797370241E+00
      9.,  0.1327538696864045E-03,  0.4347310024117726E-05,  0.8728277327218653E-04,  0.4650053571660703E-05,  0.1872064220491756E-06,  0.1275422984635941E-05,  0.1962963888247748E-06,  0.3274714352498412E-01,  0.6574781848421348E+00,  0.3502763107881684E-01,  0.1410176761637162E-02,  0.9607426040753366E-02,  0.1478649091649626E-02,  0.9793906266347484E-04,  0.7377492113399760E+00
     10.,  0.4852288455492251E-01,  0.4354504650783774E-06,  0.4972113112885655E-05,  0.5234071749521074E-04,  0.6360822621910220E-06,  0.4259152828784947E-05,  0.3026253682505281E-05,  0.8974125694969677E-05,  0.1024694462930738E-03,  0.1078681079562920E-02,  0.1310891279497301E-04,  0.8777616722196430E-04,  0.6236755523221003E-04,  0.6566976984665601E-04,  0.1353377286800110E-02
