      1.,  0.3682162957126701E-01,  0.1078381899269799E+04,  0.6588594249426739E-06,  0.4187759570410625E+02, -0.4548062997432276E-06, -0.6617316130256660E+07,  0.1250624954284616E+01,  0.7767849683670737E+08,  0.4340957418357910E-12,  0.1753733021956578E+04,  0.2068487702861266E-12,  0.4378887276775498E+14,  0.1564062776279398E+01,  0.6033948870810357E+16
      2.,  0.7153639052002488E-01,  0.1224061119228025E+04, -0.1547204742060814E+02,  0.7341403819410989E-06, -0.1329218308423254E-03, -0.3458999596915107E+01, -0.2487388126556488E+08, -0.2435196152496445E+02,  0.2393842513855471E+03,  0.5389621003966225E-12,  0.1766821311447577E-07,  0.1196467821145887E+02,  0.6187099692134196E+15,  0.5930180301133488E+03
      3.,  0.7337438929816427E-01,  0.1673210474470300E+04, -0.9871577748200833E-04,  0.2413631715547240E-03, -0.2071040270748240E-04,  0.6708719326504239E+03, -0.1321463738150653E+03,  0.1696011977860607E+08,  0.9744804723877384E-08,  0.5825618058295512E-07,  0.4289207803060943E-09,  0.4500691500181149E+06,  0.1746266411247099E+05,  0.2876456629046648E+15
      4.,  0.7381272082004610E-01,  0.1269861664200457E+04,  0.7727023486250280E-04,  0.5559394305968592E-04,  0.2197851240322499E-04,  0.6390313516907296E+03,  0.9513242017325474E+02,  0.1704980546644439E+08,  0.5970689195706343E-08,  0.3090686504923600E-08,  0.4830550074587145E-09,  0.4083610684436809E+06,  0.9050177368020686E+04,  0.2906958664435971E+15
      5.,  0.1012865079625427E+00,  0.5892211399228121E+03,  0.4545680642931535E-03,  0.1323514742945992E-04,  0.1181529636525941E+02, -0.1620942061040706E+02, -0.2191595889294047E+08,  0.2299394138162274E+02,  0.2066321250752245E-06,  0.1751691274795395E-09,  0.1396012281989122E+03,  0.2627453165250891E+03,  0.4803092541970566E+15,  0.5287213402615029E+03
      6.,  0.1034255865354788E+00,  0.4303212815105273E+03, -0.2606349188660764E-04, -0.5913852440612817E+00,  0.2467883937126159E-03,  0.4454249692187883E+06, -0.5472213045640444E+03, -0.1097184991947318E+07,  0.6793056093232622E-09,  0.3497365068934217E+00,  0.6090451127125312E-07,  0.1984034032035585E+12,  0.2994511561687747E+06,  0.1203814906554436E+13
      7.,  0.1102736588057754E+00,  0.1053055092575891E+04, -0.2653398806346179E-05, -0.1405243955425056E+02,  0.2933634639137422E-05,  0.4492887721379610E+07, -0.2508118796934318E+01, -0.2606683326989676E+08,  0.7040525225519327E-11,  0.1974710574258657E+03,  0.8606212195946952E-11,  0.2018604007692366E+14,  0.6290659899535251E+01,  0.6794797967205965E+15
      8.,  0.1162482896587514E+00,  0.3350015396058013E+03,  0.8081705334688140E-05,  0.2351986487839519E+02,  0.1644800931227613E-05, -0.5119330304813174E+07, -0.2865291687343645E+01,  0.7916397418013281E+08,  0.6531396111672674E-10,  0.5531840438979677E+03,  0.2705370103367224E-11,  0.2620754276977854E+14,  0.8209896453560591E+01,  0.6266934807992734E+16
      9.,  0.1248877868654843E+00,  0.3182422380682585E+03,  0.1019629414050888E-04,  0.2294545279557542E+02, -0.6805384411970745E-05, -0.4293810317746102E+07,  0.4497843695004791E+01,  0.8628663194897417E+07,  0.1039644141997757E-09,  0.5264938039939799E+03,  0.4631325699469440E-10,  0.1843680704478288E+14,  0.2023059790469435E+02,  0.7445382853097730E+14
     10.,  0.1354858989579622E+00,  0.4541869220230564E+03,  0.7602548719600330E+01, -0.1516370586703861E-04,  0.1150230421475110E+02,  0.6608223110450134E+01, -0.3204053839719359E+08, -0.5334239952085193E+02,  0.5779874703389662E+02,  0.2299379756220612E-09,  0.1323030022486809E+03,  0.4366861267748725E+02,  0.1026596100782037E+16,  0.2845411586642184E+04
     11.,  0.1379061071591021E+00,  0.3354439294553724E+03, -0.7479284652645395E-04,  0.7826728634765908E+00,  0.1719963311601321E-03, -0.3889810912333313E+06, -0.5113486902318926E+03,  0.2951190658627003E+07,  0.5593969891529695E-08,  0.6125768112226462E+00,  0.2958273793254584E-07,  0.1513062893370732E+12,  0.2614774830018721E+06,  0.8709526303567286E+13
     12.,  0.1454033380315063E+00,  0.8704630130090267E+03, -0.3302151130600282E-01,  0.3511833972103572E-04,  0.3839343521496993E+02, -0.2416437618885537E+03, -0.7127184946978371E+08,  0.3713282148633844E+02,  0.1090420208932472E-02,  0.1233297784762075E-08,  0.1474055867606093E+04,  0.5839170765965203E+05,  0.5079676526843508E+16,  0.1378846431536278E+04
     13.,  0.1466344075523734E+00,  0.1049468254368938E+04,  0.7334568622378942E+01, -0.2486286891252087E-03,  0.1840949282514877E+00,  0.1679361508035527E+04,  0.1176215064034844E+08,  0.6937191541229155E+03,  0.5379589687638573E+02,  0.6181622505611968E-07,  0.3389094260792039E-01,  0.2820255074671360E+07,  0.1383481876862491E+15,  0.4812462647970134E+06
