      1.,  0.5335842661605956E-06,  0.3806437827173526E-07,  0.3955229958270122E-06,  0.1579747354554471E-07,  0.6337817050092791E-09,  0.4378637252414931E-08,  0.7568300002606007E-09,  0.7133714520037746E-01,  0.7412568565280176E+00,  0.2960633314624397E-01,  0.1187781846660611E-02,  0.8206083893592675E-02,  0.1418388899857129E-02,  0.4551540966019770E-06,  0.8530125895147496E+00
      2.,  0.1128827029990094E-03,  0.1089182677049507E-05,  0.2267155240074314E-05,  0.4512707872708212E-05,  0.8053070016672180E-07,  0.3835910669470612E-06,  0.2599075189615546E-06,  0.9648800463779332E-02,  0.2008416860902248E-01,  0.3997696505148191E-01,  0.7134015932222005E-03,  0.3398138570002414E-02,  0.2302456550529582E-02,  0.8593075075907372E-05,  0.7612393083803794E-01
      3.,  0.4060314546578663E-03,  0.2679183235663213E-04,  0.5065232769896211E-05,  0.9311447391138765E-04,  0.1427136226449806E-04,  0.1975859163318454E-03,  0.2426818243775233E-05,  0.6598462274113147E-01,  0.1247497629011112E-01,  0.2293282277597153E+00,  0.3514841547565204E-01,  0.4866271173457163E+00,  0.5976921777698576E-02,  0.3392556358780346E-03,  0.8355402813900247E+00
      4.,  0.3521002871244758E-03,  0.2267694604262734E-04,  0.1830980787780718E-04,  0.7774829952049013E-04,  0.1180955291350308E-04,  0.1635593622869060E-03,  0.2044248158616993E-05,  0.6440479281577666E-01,  0.5200168402968167E-01,  0.2208129398457555E+00,  0.3354031037562921E-01,  0.4645249330032040E+00,  0.5805869047457786E-02,  0.2961482167999508E-03,  0.8410905291175048E+00
      5.,  0.2774872374698802E-01,  0.2062780708874139E-05,  0.5118478425989576E-05,  0.1896295537078903E-04,  0.2250763723878708E-06,  0.1532397846991396E-05,  0.1095977629413027E-05,  0.7433785883929320E-04,  0.1844581564420655E-03,  0.6833811725430203E-03,  0.8111233310768091E-05,  0.5522408385206292E-04,  0.3949650583594821E-04,  0.2899766635444504E-04,  0.1045009010823158E-02
      6.,  0.3054153079108711E-01,  0.3030340846397727E-04,  0.6939266854095625E-04,  0.9082586259771125E-04,  0.1287437714246956E-04,  0.1745313211815524E-03,  0.2435458207004524E-05,  0.9922033270454362E-03,  0.2272075653824366E-02,  0.2973847749118614E-02,  0.4215367340469610E-03,  0.5714557085412549E-02,  0.7974250615215595E-04,  0.3803630961336712E-03,  0.1245396305560008E-01
      7.,  0.1142313981798593E-03,  0.9699402853500992E-06,  0.1871880803498163E-04,  0.1192676241178084E-05,  0.6494413982655267E-07,  0.5211502449051764E-06,  0.6315432854122696E-07,  0.8491012985964786E-02,  0.1638674509219309E+00,  0.1044087930448155E-01,  0.5685314270976272E-03,  0.4562232916773167E-02,  0.5528631317441235E-03,  0.2153067327478277E-04,  0.1884829706879922E+00
      8.,  0.1043511239203994E-03,  0.2811227686308093E-05,  0.6140954188605202E-04,  0.3369835729045830E-05,  0.1510901204155102E-06,  0.1075112126124885E-05,  0.1426971158537958E-06,  0.2694008057309034E-01,  0.5884895109792603E+00,  0.3229323846685535E-01,  0.1447901227501527E-02,  0.1030283226220924E-01,  0.1367470809060450E-02,  0.6895950466380014E-04,  0.6608410343179774E+00
      9.,  0.1327919176723934E-03,  0.4347659943918359E-05,  0.8729766329619934E-04,  0.4651004886354389E-05,  0.1865484102062456E-06,  0.1269163702652377E-05,  0.1962834890502103E-06,  0.3274039580213255E-01,  0.6574019324848411E+00,  0.3502475879464842E-01,  0.1404817503023589E-02,  0.9557537272588299E-02,  0.1478128281379706E-02,  0.9794832372838093E-04,  0.7376075701386137E+00
     10.,  0.4852270670156093E-01,  0.4793230849266846E-06,  0.4971528915346488E-05,  0.5234258525513729E-04,  0.6520803622067639E-06,  0.4268080543107754E-05,  0.3026558135950375E-05,  0.9878325376091710E-05,  0.1024577822074909E-03,  0.1078723525813812E-02,  0.1343866421585643E-04,  0.8796047939696763E-04,  0.6237405828502582E-04,  0.6574015629667535E-04,  0.1354832835295244E-02
     11.,  0.5139114092892124E-01,  0.6819406865899366E-04,  0.8665598002561374E-04,  0.2233974754838608E-03,  0.3261781312489248E-04,  0.4477637765889306E-03,  0.5952011340635936E-05,  0.1326961562369523E-02,  0.1686204634870183E-02,  0.4347003616690286E-02,  0.6346971975190426E-03,  0.8712859230119640E-02,  0.1158178478440112E-03,  0.8645811252229272E-03,  0.1682354408941268E-01
     12.,  0.2915472833679392E+00,  0.1236644619830914E-05,  0.9676367651961955E-05,  0.7715704474217735E-04,  0.8286323778647944E-06,  0.6146622151195818E-05,  0.4490841849225373E-05,  0.4241660582617196E-05,  0.3318970267937693E-04,  0.2646467627853127E-03,  0.2842188643613742E-05,  0.2108276256321224E-04,  0.1540347691581070E-04,  0.9953615339225620E-04,  0.3414065541699435E-03
     13.,  0.3433756972072370E-03,  0.4322128571625832E-05,  0.1220550591026836E-04,  0.8059541538652876E-04,  0.9823644477912317E-06,  0.6574617173096266E-05,  0.4651383589100880E-05,  0.1258717086497040E-01,  0.3554563124163674E-01,  0.2347149668483589E+00,  0.2860902666615765E-02,  0.1914700785923210E-01,  0.1354604774575423E-01,  0.1093314150784113E-03,  0.3184017272265681E+00
     14.,  0.2470384366338392E-03,  0.3091845299616462E-05,  0.3794816718279213E-04,  0.6245496217702599E-05,  0.7054288730650751E-06,  0.8695945235042870E-05,  0.2375087172013474E-06,  0.1251564469782976E-01,  0.1536124001587614E+00,  0.2528147563919247E-01,  0.2855542978158751E-02,  0.3520077828185100E-01,  0.9614241428890809E-03,  0.5692439152542048E-04,  0.2304272658986825E+00
     15.,  0.2941055587717410E+00,  0.8503440386133394E-04,  0.6549414617939562E-03,  0.2021955221881196E-03,  0.2802212320700964E-04,  0.3855111185891845E-03,  0.5247592996697752E-05,  0.2891288563754424E-03,  0.2226892495773140E-02,  0.6874930315242566E-03,  0.9527913489305370E-04,  0.1310791676971956E-02,  0.1784254952069938E-04,  0.1360952222636302E-02,  0.4627427745058548E-02
     16.,  0.8967736310832848E-03,  0.5598753247814523E-04,  0.3401021984703223E-04,  0.1791065598847196E-03,  0.2564077735128830E-04,  0.3498057447100091E-03,  0.4850768647868671E-05,  0.6243217969122643E-01,  0.3792508908401840E-01,  0.1997232675857813E+00,  0.2859225167037388E-01,  0.3900713988294355E+00,  0.5409133899275159E-02,  0.6494016029190632E-03,  0.7241533207601107E+00
     17.,  0.2340058034085636E+00,  0.1572122287645652E-05,  0.1305318520949380E-04,  0.1184056587948267E-03,  0.1317815905219066E-05,  0.9589038529012398E-05,  0.6837240428200775E-05,  0.6718304694780571E-05,  0.5578145934570489E-04,  0.5059945397512032E-03,  0.5631552235130762E-05,  0.4097778084704321E-04,  0.2921825155021160E-04,  0.1507750611543984E-03,  0.6443218884240742E-03
     18.,  0.4975068460548642E-03,  0.1089578244844909E-04,  0.2528328272588722E-03,  0.1426098184778682E-04,  0.6198146251402072E-06,  0.4120447218094860E-05,  0.6211215914191229E-06,  0.2190076887353530E-01,  0.5081996946650865E+00,  0.2866489569113214E-01,  0.1245841399078667E-02,  0.8282191995485555E-02,  0.1248468430825627E-02,  0.2833509749897623E-03,  0.5695418610551438E+00
     19.,  0.2359903117133285E+00,  0.1155842853986044E-03,  0.2687998988909286E-03,  0.3456272131961702E-03,  0.5002497788852284E-04,  0.6898200798774829E-03,  0.9088724147275976E-05,  0.4897840278248862E-03,  0.1139029381924186E-02,  0.1464582213934376E-02,  0.2119789474632805E-03,  0.2923086438885036E-02,  0.3851312404009446E-04,  0.1478945179398985E-02,  0.6266974134071860E-02
     20.,  0.4682380080751570E-03,  0.4950432094107833E-05,  0.1069975300202113E-03,  0.6956778201998358E-05,  0.4162374009346759E-06,  0.3174865809711110E-05,  0.3911188576995379E-06,  0.1057246957473226E-01,  0.2285109883754612E+00,  0.1485735476835047E-01,  0.8889440706570441E-03,  0.6780453006714295E-02,  0.8352992515651556E-03,  0.1228869623846628E-03,  0.2624455090474804E+00
     21.,  0.5681906469692418E-01,  0.6037449906061637E-05,  0.2256323795816322E-04,  0.2174708751214297E-03,  0.2400845426530084E-05,  0.1758326868965594E-04,  0.1259652639913839E-04,  0.1062574672474055E-03,  0.3971068175535217E-03,  0.3827427929013449E-02,  0.4225422293267791E-04,  0.3094607203312129E-03,  0.2216954197737838E-03,  0.2786522035009790E-03,  0.4904202576852051E-02
     22.,  0.5320867231961351E-01,  0.6867478789444301E-04,  0.2022844735004599E-03,  0.1944206313255689E-03,  0.2640056436302267E-04,  0.3554018227081309E-03,  0.5329549683088099E-05,  0.1290669075182476E-02,  0.3801719995668730E-02,  0.3653927505608941E-02,  0.4961703273564116E-03,  0.6679396557262423E-02,  0.1001631773684296E-03,  0.8525118294747135E-03,  0.1602204663844741E-01
     23.,  0.2599333649593377E+00,  0.8655437387657972E-06,  0.2001157067891836E-04,  0.2557576371971577E-03,  0.2739364657349322E-05,  0.2047062849049540E-04,  0.1484607119774106E-04,  0.3329867787081498E-05,  0.7698731050570918E-04,  0.9839353914306722E-03,  0.1053871886657510E-04,  0.7875337009428436E-04,  0.5711491173925859E-04,  0.3146908159604276E-03,  0.1210659570423581E-02
     24.,  0.2579516087015915E+00,  0.7500624259859880E-04,  0.6038204330238831E-03,  0.1792807726130052E-03,  0.2461795539320660E-04,  0.3387157286649910E-03,  0.4727992887028180E-05,  0.2907764094829467E-03,  0.2340828328473060E-02,  0.6950170751615830E-03,  0.9543633209779909E-04,  0.1313097950309086E-02,  0.1832899166951003E-04,  0.1226169125180713E-02,  0.4753485087193985E-02
     25.,  0.2711470801745924E-03,  0.1062195208021712E-04,  0.2248856061769192E-03,  0.1541681536160510E-04,  0.1056004595310336E-05,  0.9246093497348619E-05,  0.8091864161175331E-06,  0.3917413410233891E-01,  0.8293860514083896E+00,  0.5685775908661148E-01,  0.3894582212098216E-02,  0.3409991909702672E-01,  0.2984308057444305E-02,  0.2620356581275179E-03,  0.9663967539639091E+00
     26.,  0.1011551025006113E-02,  0.1188125912679794E-04,  0.3968599160222337E-04,  0.4193851913667326E-03,  0.4705972444132384E-05,  0.3400628493531433E-04,  0.2427348775036395E-04,  0.1174558557411984E-01,  0.3923281240507222E-01,  0.4145961805181286E+00,  0.4652234368606312E-02,  0.3361796300400052E-01,  0.2399630582176242E-01,  0.5339381872255646E-03,  0.5278410816916900E+00
     27.,  0.1201151417649562E-02,  0.6615128268169218E-04,  0.5977517883089584E-04,  0.1959072427937929E-03,  0.2595644752737719E-04,  0.3459195113726335E-03,  0.5554905897865926E-05,  0.5507322533168912E-01,  0.4976489887333699E-01,  0.1630995392547163E+00,  0.2160963817381933E-01,  0.2879899289046637E+00,  0.4624650827733176E-02,  0.6992645691042574E-03,  0.5821618813659585E+00
