dof,B_UX,B_UY,B_UZ,T_UX,T_UY,T_UZ
B_UX,2.813874767283e-02,-4.060704086003e-18,2.648352722150e+01,-2.813874767278e-02,5.081966041464e-18,-2.648352722150e+01
B_UY,-4.060704086003e-18,5.860004100324e-34,-3.821839139768e-15,4.060704085995e-18,-7.333787739752e-34,3.821839139768e-15
B_UZ,2.648352722150e+01,-3.821839139768e-15,2.492567267906e+04,-2.648352722144e+01,4.783026862555e-15,-2.492567267906e+04
T_UX,-2.813874767278e-02,4.060704085995e-18,-2.648352722144e+01,2.813874767272e-02,-5.081966041454e-18,2.648352722144e+01
T_UY,5.081966041464e-18,-7.333787739752e-34,4.783026862555e-15,-5.081966041454e-18,9.178226105466e-34,-4.783026862555e-15
T_UZ,-2.648352722150e+01,3.821839139768e-15,-2.492567267906e+04,2.648352722144e+01,-4.783026862555e-15,2.492567267906e+04
