dof,B_UX,B_UY,B_UZ,T_UX,T_UY,T_UZ
B_UX,2.813874767283e+01,-4.060704086003e-15,2.648352722150e+04,-2.813874767278e+01,5.081966041464e-15,-2.648352722150e+04
B_UY,-4.060704086003e-15,5.860004100324e-31,-3.821839139768e-12,4.060704085995e-15,-7.333787739752e-31,3.821839139768e-12
B_UZ,2.648352722150e+04,-3.821839139768e-12,2.492567267906e+07,-2.648352722144e+04,4.783026862555e-12,-2.492567267906e+07
T_UX,-2.813874767278e+01,4.060704085995e-15,-2.648352722144e+04,2.813874767272e+01,-5.081966041454e-15,2.648352722144e+04
T_UY,5.081966041464e-15,-7.333787739752e-31,4.783026862555e-12,-5.081966041454e-15,9.178226105466e-31,-4.783026862555e-12
T_UZ,-2.648352722150e+04,3.821839139768e-12,-2.492567267906e+07,2.648352722144e+04,-4.783026862555e-12,2.492567267906e+07
