      1.,  0.3305559802191945E-05,  0.2136272770453276E-05,  0.4542903006647073E-07,  0.1123858001672218E-05,  0.5018544086549135E-07,  0.5115977569747277E-06,  0.1123858001672218E-05,  0.6462665624856325E+00,  0.1374321833062780E-01,  0.3399902191837456E+00,  0.1518213067336218E-01,  0.1547688705058317E+00,  0.3399902191837457E+00
      2.,  0.1286947881473565E-03,  0.1135409749068000E-03,  0.5254753974703651E-05,  0.9899059265853355E-05,  0.8000639756405935E-06,  0.3854699220239270E-05,  0.9899059265853355E-05,  0.8822499849550605E+00,  0.4083113271601114E-01,  0.7691888232893206E-01,  0.6216755061786295E-02,  0.2995225584291424E-01,  0.7691888232893206E-01
      3.,  0.4568907983653132E-03,  0.8345031331361542E-04,  0.5993630427943926E-05,  0.3674468546237538E-03,  0.2946834712308085E-04,  0.1121036148746434E-04,  0.3674468546237538E-03,  0.1826482687158247E+00,  0.1311829971053967E-01,  0.8042334315736354E+00,  0.6449757191108724E-01,  0.2453619448580127E-01,  0.8042334315736354E+00
      4.,  0.3518411187395127E-03,  0.5293131602421864E-04,  0.4023080535888788E-05,  0.2948867221794050E-03,  0.2145108196141297E-04,  0.3411949824462359E-04,  0.2948867221794050E-03,  0.1504409610049205E+00,  0.1143436716635527E-01,  0.8381246718287236E+00,  0.6096809275238347E-01,  0.9697416369882605E-01,  0.8381246718287236E+00
      5.,  0.2775192645072129E-01,  0.2770562350337125E-01,  0.1405170594747121E-04,  0.3225124140255684E-04,  0.1471224094350988E-05,  0.8956496751354684E-05,  0.3225124140255684E-04,  0.9983315411478816E+00,  0.5063326314453386E-03,  0.1162126220672461E-02,  0.5301340420325126E-04,  0.3227342349461257E-03,  0.1162126220672461E-02
      6.,  0.3072793445689782E-01,  0.3023102100964126E-01,  0.1702085117858618E-04,  0.4798925960780301E-03,  0.3664701324867725E-04,  0.1614753737756540E-03,  0.4798925960780301E-03,  0.9838286088525220E+00,  0.5539210975101950E-03,  0.1561747004996959E-01,  0.1192628593375912E-02,  0.5255002545067130E-02,  0.1561747004996958E-01
      7.,  0.1396040349645384E-03,  0.9541390575179079E-04,  0.4207734556311129E-06,  0.4376935575711666E-04,  0.2028677847474890E-05,  0.3431773654994201E-04,  0.4376935575711668E-04,  0.6834609456383365E+00,  0.3014049384303226E-02,  0.3135250049773616E+00,  0.1453165625184262E-01,  0.2458219532025650E+00,  0.3135250049773618E+00
      8.,  0.1725329087161736E-03,  0.3409381872462722E-04,  0.7640873635055262E-07,  0.1383626812551958E-03,  0.7440564046357723E-05,  0.1260891828302477E-03,  0.1383626812551959E-03,  0.1976076273119205E+00,  0.4428647086466810E-03,  0.8019495079794329E+00,  0.4312547734645727E-01,  0.7308123636730169E+00,  0.8019495079794335E+00
      9.,  0.2281343342724630E-03,  0.3358591983043397E-04,  0.1397333688468248E-06,  0.1944086810731822E-03,  0.1105899554064554E-04,  0.1770838435107775E-03,  0.1944086810731821E-03,  0.1472199260910986E+00,  0.6125047739633086E-03,  0.8521675691349383E+00,  0.4847580516941249E-01,  0.7762261830316370E+00,  0.8521675691349377E+00
     10.,  0.4852635462647582E-01,  0.4845588257545119E-01,  0.2295676438253416E-07,  0.7044909426052410E-04,  0.3592672115577781E-06,  0.9676908549983017E-05,  0.7044909426052407E-04,  0.9985477571606796E+00,  0.4730782800241300E-06,  0.1451769761046244E-02,  0.7403548325918617E-05,  0.1994155263561324E-03,  0.1451769761046243E-02
     11.,  0.5133098710606655E-01,  0.5037577515454006E-01,  0.6847963365435972E-05,  0.9483639881612949E-03,  0.7457315843879727E-04,  0.1663226209715906E-03,  0.9483639881612950E-03,  0.9813911244380961E+00,  0.1334079812508933E-03,  0.1847546758065778E-01,  0.1452790266524679E-02,  0.3240199153542748E-02,  0.1847546758065778E-01
     12.,  0.2914723433528801E+00,  0.2913489439936363E+00,  0.1414091732414467E-04,  0.1092584419191178E-03,  0.7664727695941916E-06,  0.1933700285100731E-04,  0.1092584419191178E-03,  0.9995766344146949E+00,  0.4851546860836990E-04,  0.3748501166947446E-03,  0.2629658652266151E-05,  0.6634249626763511E-04,  0.3748501166947447E-03
     13.,  0.2921003381464108E+00,  0.2892430425913801E+00,  0.1924302534134744E-04,  0.2838052529686314E-02,  0.1894712510793081E-03,  0.2010110099929698E-02,  0.2838052529686312E-02,  0.9902181025425637E+00,  0.6587813442277555E-04,  0.9716019323003261E-02,  0.6486512555296619E-03,  0.6881574025847794E-02,  0.9716019323003255E-02
     14.,  0.4026747032345374E-03,  0.2639832329000399E-03,  0.2098583761032799E-04,  0.1177056327241697E-03,  0.3175604575589141E-05,  0.2161457398264079E-04,  0.1177056327241696E-03,  0.6555744147311960E+00,  0.5211610623105075E-01,  0.2923094790377536E+00,  0.7886277807075241E-02,  0.5367750645625087E-01,  0.2923094790377536E+00
     15.,  0.1398703809543897E-03,  0.3778811174117375E-04,  0.1450202269465623E-05,  0.1006320669437506E-03,  0.5814082287920190E-05,  0.6975009340425117E-04,  0.1006320669437506E-03,  0.2701652164191651E+00,  0.1036818702837822E-01,  0.7194665965524587E+00,  0.4156764461674058E-01,  0.4986766528289930E+00,  0.7194665965524588E+00
     16.,  0.9850135236540831E-03,  0.2770181501202090E-03,  0.2577646769283941E-04,  0.6822189058410367E-03,  0.5630554176844656E-04,  0.6459556545814279E-04,  0.6822189058410366E-03,  0.2812328394158091E+00,  0.2616864344889095E-01,  0.6925985171353021E+00,  0.5716220175289688E-01,  0.6557835390778601E-01,  0.6925985171353020E+00
     17.,  0.2340069104141166E+00,  0.2338437324654379E+00,  0.7397169068871773E-07,  0.1631039769880600E-03,  0.1140051334073067E-05,  0.2518791864762019E-04,  0.1631039769880600E-03,  0.9993026789320454E+00,  0.3161090010453612E-06,  0.6970049589536424E-03,  0.4871870373637877E-05,  0.1076374992646401E-03,  0.6970049589536424E-03
