width,tower_top_mct_node,tower_top_z_deck_m,tower_top_z_source_m,midspan_mct_node,midspan_x_m,midspan_z_deck_m,midspan_z_source_m,tower_minus_midspan_m,max_abs_coord_diff_vs_source_m
L,1063,350.312000000003,350.312000000003,301,1845.909,113.343046628001,113.343046628001,236.96895337200203,0.0
R,1063,350.312000000003,350.312000000003,301,1845.909,113.343046628001,113.343046628001,236.96895337200203,0.0
