station,response,mean,sigma_multiseed,raw_rms,mean_plus_3p5sigma,mean_minus_3p5sigma,seed_count,sigma_seed_min,sigma_seed_max
L/4,lateral_common_m,35.981911290779685,0.5159091408620524,35.98560965690541,37.787593283796866,34.176229297762504,5,0.38093306000861593,0.5647000283443023
L/2,lateral_common_m,47.85520181649709,0.7287345100185167,47.86075004514408,50.4057726015619,45.30463103143229,5,0.5118120661990775,0.8347727635545544
3L/4,lateral_common_m,35.98104900938294,0.5250804844459994,35.984880121111466,37.81883070494394,34.143267313821944,5,0.3864168968379492,0.5935019209435047
L/4,vertical_common_m,-0.17626196552636306,0.35192254315649835,0.39359593096595175,1.055466935521381,-1.4079908665741072,5,0.31842114835577234,0.3971910827592487
L/2,vertical_common_m,-0.2409382045293665,0.8540468143538291,0.8873822059911719,2.7482256457090353,-3.2301020547677686,5,0.5669005249231575,1.2190489580998252
3L/4,vertical_common_m,-0.17626575321230795,0.35796859138952003,0.3990126917491465,1.076624316651012,-1.429155823075628,5,0.32729779015355115,0.40009184848307366
L/4,local_roll_L_deg,5.2123104420098,0.6055020966637922,5.247362473943328,7.3315677803330725,3.093053103686527,5,0.5367174087625172,0.705258203695621
L/2,local_roll_L_deg,3.5983505532921862,0.3779411834996088,3.6181440328659207,4.921144695540817,2.2755564110435555,5,0.340364437519606,0.42597804901182734
3L/4,local_roll_L_deg,5.179830289361842,0.566390609563971,5.2107043812897915,7.162197422835741,3.1974631558879434,5,0.5096282439653382,0.6172060693349926
L/4,local_roll_R_deg,5.212308011320992,0.6055056850774514,5.247360473565935,7.331577909092072,3.0930381135499125,5,0.53671983818171,0.705262954979387
L/2,local_roll_R_deg,3.598347229264619,0.3779427749381173,3.6181408932605548,4.921146941548029,2.2755475169812085,5,0.34036620163957293,0.4259797267956057
3L/4,local_roll_R_deg,5.1798278757265495,0.5663933161468784,5.210702276155267,7.1622044822406234,3.197451269212475,5,0.5096306068011681,0.6172078088335264
L/4,system_roll_deg,0.4910955698760281,0.09049553499417835,0.4993638959774158,0.8078299423556523,0.17436119739640388,5,0.0823194496489288,0.1002467024166906
L/2,system_roll_deg,0.7244032891670796,0.2115027279743223,0.7546479505681201,1.4646628370772077,-0.015856258743048413,5,0.15130881271435448,0.2800365455077205
3L/4,system_roll_deg,0.4921593868002809,0.08883960854322945,0.5001133252191374,0.803098016701584,0.18122075689897782,5,0.08063304796420583,0.0998619543307764
