cluster,modes,i,j,fi,fj,fmin,fmax,df,cos_ij,angle_deg_from_collinear,note
M3-M4,"M3,M4",3,4,0.07335932292814104,0.0737995837805134,0.07335932292814104,0.0737995837805134,0.000440260852372365,0.5585009627451617,56.04780740459103,"probe vec (uL,uV,dUZ)x5; GAUGE=1; no LA/TA/TS2/VS2/LA2 labels"
M13-M15,"M13,M14,M15",13,14,0.1466344413291045,0.1467079911685052,0.1466344413291045,0.1467200923182837,8.565098917920344e-05,0.07925829431870202,85.45406624578823,"probe vec (uL,uV,dUZ)x5; GAUGE=1; no LA/TA/TS2/VS2/LA2 labels"
M13-M15,"M13,M14,M15",13,15,0.1466344413291045,0.1467200923182837,0.1466344413291045,0.1467200923182837,8.565098917920344e-05,0.13456037780048621,82.2668005565284,"probe vec (uL,uV,dUZ)x5; GAUGE=1; no LA/TA/TS2/VS2/LA2 labels"
M13-M15,"M13,M14,M15",14,15,0.1467079911685052,0.1467200923182837,0.1466344413291045,0.1467200923182837,8.565098917920344e-05,0.6040007379542208,52.84303002895581,"probe vec (uL,uV,dUZ)x5; GAUGE=1; no LA/TA/TS2/VS2/LA2 labels"
