      1.,  0.3682163198030444E-01,      1.,         80., -0.4091303118257811E-17, -0.3535424085909641E-16,  0.8172220162444125E-17
      1.,  0.3682163198030444E-01,      2.,      28469., -0.9258609288697685E-06,  0.2119110565611426E-01,  0.9022805993831228E-05
      1.,  0.3682163198030444E-01,      3.,      28660., -0.2489185936956876E-08,  0.3044438943151160E-01,  0.2907368604453123E-04
      1.,  0.3682163198030444E-01,      4.,        374.,  0.6428999896401418E-06,  0.2167311480348610E-01,  0.1061413389988385E-04
      1.,  0.3682163198030444E-01,      5.,      29176., -0.5207660759236408E-18, -0.7158826685767578E-17, -0.4234001300138280E-18
      1.,  0.3682163198030444E-01,      6.,      14098.,  0.1889377012854298E-17, -0.3735073111367319E-16, -0.1970610625297951E-17
      1.,  0.3682163198030444E-01,      7.,      51317.,  0.1487021607482996E-05,  0.2119113772372255E-01, -0.2377706130522401E-05
      1.,  0.3682163198030444E-01,      8.,      51508.,  0.6994678502819822E-08,  0.3044442791069659E-01, -0.2175720759146152E-04
      1.,  0.3682163198030444E-01,      9.,      14392., -0.1423452035539174E-05,  0.2167315419355388E-01, -0.2761728788652822E-05
      1.,  0.3682163198030444E-01,     10.,      52024., -0.3082144396769555E-17, -0.5038014875015285E-17, -0.1141153057644287E-16
      2.,  0.7153640906546660E-01,      1.,         80.,  0.6408707062045815E-17,  0.7638911591173036E-16, -0.1675213503883476E-16
      2.,  0.7153640906546660E-01,      2.,      28469., -0.9238134409200158E-02, -0.1617867599816809E-05, -0.2853840833332525E-01
      2.,  0.7153640906546660E-01,      3.,      28660., -0.7272161035753964E-02, -0.4511635848934344E-07, -0.5890283752769766E-03
      2.,  0.7153640906546660E-01,      4.,        374., -0.9242915188351155E-02,  0.1614885697360765E-05,  0.2856432454593971E-01
      2.,  0.7153640906546660E-01,      5.,      29176., -0.3189978594886227E-18,  0.9535421910147887E-16, -0.5478242057709808E-17
      2.,  0.7153640906546660E-01,      6.,      14098., -0.3909836434786544E-17,  0.7337441546033665E-16,  0.5845847202765041E-17
      2.,  0.7153640906546660E-01,      7.,      51317., -0.9245247276558731E-02,  0.1618872241312671E-05, -0.2855466263052130E-01
      2.,  0.7153640906546660E-01,      8.,      51508., -0.7278851594996879E-02,  0.1547216185858449E-07, -0.5891666809873492E-03
      2.,  0.7153640906546660E-01,      9.,      14392., -0.9250086144973821E-02, -0.1647640977665410E-05,  0.2858076730053733E-01
      2.,  0.7153640906546660E-01,     10.,      52024., -0.4605583976336319E-17,  0.9511495134850029E-16, -0.8339150692630011E-17
      3.,  0.7335932292814104E-01,      1.,         80., -0.1248013292517937E-16, -0.9019224109749026E-16,  0.2894698826772313E-16
      3.,  0.7335932292814104E-01,      2.,      28469.,  0.7717930140464508E-02,  0.2221797477072078E-01,  0.2378458714593951E-01
      3.,  0.7335932292814104E-01,      3.,      28660.,  0.6067151055985959E-02,  0.4488569701753794E-03,  0.4863038161517765E-03
      3.,  0.7335932292814104E-01,      4.,        374.,  0.7719426348015093E-02, -0.2222186401956180E-01, -0.2380153309826350E-01
      3.,  0.7335932292814104E-01,      5.,      29176., -0.2583441491009004E-16, -0.2149945346923668E-16, -0.5585358005745452E-16
      3.,  0.7335932292814104E-01,      6.,      14098.,  0.1215310724879343E-16, -0.8797174188113759E-16, -0.1775960531142465E-16
      3.,  0.7335932292814104E-01,      7.,      51317., -0.5982178347566753E-02,  0.2224495959663921E-01, -0.1856198850018011E-01
      3.,  0.7335932292814104E-01,      8.,      51508., -0.4717550965037970E-02,  0.4494633814207902E-03, -0.3793596225527794E-03
      3.,  0.7335932292814104E-01,      9.,      14392., -0.5984308078504531E-02, -0.2224826835252521E-01,  0.1858330200452697E-01
      3.,  0.7335932292814104E-01,     10.,      52024., -0.1460797428629492E-17, -0.1653759741480954E-16, -0.1076030581212620E-16
      4.,  0.7379958378051341E-01,      1.,         80., -0.1119825571821883E-16,  0.1201838435425005E-15,  0.2697232157643964E-16
