mode,freq,station,x_mm,nid_plus,nid_minus,uY_L,uY_R,uZ_L,uZ_R,u_L,u_V,u_T,dUZ
16,0.1496722928109748,2,1272409.0,28469,51317,-0.0001394813696468786,-0.0001384021474978266,0.001161606418918685,-0.0009070328503146199,-0.0001389417585723526,0.00012728678430203255,4.8107889982169885e-08,0.002068639269233305
16,0.1496722928109748,3,1847909.0,28660,51508,8.322598532990593e-05,8.158090049860671e-05,-0.001354079996584231,0.001056131648850517,8.240344291425631e-05,-0.00014897417386685696,-5.6051433614761583e-08,-0.002410211645434748
16,0.1496722928109748,4,2423409.0,374,14392,-2.74576644781671e-05,-2.480384652060885e-05,0.001964496921193745,-0.001530654519695462,-2.6130755499387973e-05,0.0002169212007491415,8.128259164858622e-08,0.0034951514408892072
16,0.1496722928109748,5,3361547.0,29176,52024,2.364722814728417e-16,2.238935742354279e-16,4.221291863395941e-16,-1.116955475127913e-17,2.301829278541348e-16,2.0547981579415749e-16,1.0076714909090076e-20,4.3329874109087324e-16
17,0.1658844741072497,1,372853.0,80,14098,1.628727932527429e-05,-1.813419264685071e-05,0.05240072521711499,0.05259556787259311,-9.234566607882104e-07,0.052498146544854046,-4.531224546002879e-09,-0.0001948426554781238
17,0.1658844741072497,2,1272409.0,28469,51317,-8.377849683707093e-17,-1.058783270104149e-16,-7.379532848665114e-17,-1.776647126862209e-16,-9.482841192374292e-17,-1.25730020586436e-16,2.415567074408599e-21,1.0386938419956976e-16
17,0.1658844741072497,3,1847909.0,28660,51508,-3.874698673922977e-17,-4.061576372797354e-17,-2.090821052079291e-16,-4.787946217360542e-17,-3.9681375233601655e-17,-1.2848078369076727e-16,-3.74889867521683e-21,-1.6120264303432367e-16
17,0.1658844741072497,4,2423409.0,374,14392,4.395575193054529e-17,5.278534889608906e-17,7.746810257929297e-17,-1.836261657105011e-16,4.837055041331717e-17,-5.307903156560406e-17,6.071959727669629e-21,2.6109426828979407e-16
17,0.1658844741072497,5,3361547.0,29176,52024,1.742166768850492e-16,1.428776030239868e-16,3.09721006176456e-17,-3.147662162012839e-18,1.58547139954518e-16,1.391221922781638e-17,7.934828553408941e-22,3.4119762779658445e-17
18,0.1674678547659484,1,372853.0,80,14098,-1.19219202571048e-16,-1.166412493901331e-16,-3.555354728615276e-15,3.259250417189114e-15,-1.1793022598059055e-16,-1.4805215571308087e-16,-1.584791894373114e-19,-6.81460514580439e-15
18,0.1674678547659484,2,1272409.0,28469,51317,3.817563229207671e-16,4.477753064685375e-16,3.620655618580242e-16,3.756398472511694e-16,4.1476581469465225e-16,3.688527045545968e-16,-3.1568105565453976e-22,-1.357428539314521e-17
18,0.1674678547659484,3,1847909.0,28660,51508,-4.382821557641103e-16,-5.939872931487027e-16,-1.140759956037276e-15,-8.005819465286823e-16,-5.161347244564065e-16,-9.706709512829792e-16,-7.911116500199854e-21,-3.401780095085937e-16
18,0.1674678547659484,4,2423409.0,374,14392,1.776275899423884e-16,1.205788214976157e-16,-2.171163631985001e-16,4.64834109760697e-16,1.4910320572000204e-16,1.2385887328109848e-16,-1.585931332463249e-20,-6.819504729591971e-16
18,0.1674678547659484,5,3361547.0,29176,52024,0.0001014860360217156,0.0001030027144108864,0.001326039592266653,-0.001031564853743923,0.000102244375216301,0.00014723736926136502,5.482801037233897e-08,0.002357604446010576
19,0.168030832661081,1,372853.0,80,14098,0.004202596947510772,0.004269542926190993,0.05874812978955352,-0.04571031328969503,0.004236069936850883,0.006518908249929248,2.4292661181220595e-06,0.10445844307924855
19,0.168030832661081,2,1272409.0,28469,51317,9.958554506030845e-17,8.245783374206163e-17,1.467185827459569e-17,-4.66439099376034e-17,9.102168940118504e-17,-1.5986025831503853e-17,1.4259480979581181e-21,6.131576821219908e-17
