reference_id,reference_hz,matched_mode,matched_hz,half_wave_fingerprint,family_fraction,dominant_span,relative_error_percent,rom_locked_err,rom_upgraded_err
LS1,0.0365,1,0.03717922,1.0,0.9999282139248976,,1.8608767123287704,0.7467843600522661,0.891510721709321
VA1,0.07,2,0.0727918,2.0,0.9999999999945416,,3.9882857142857095,2.065119010486227,1.6312810267824496
LA1,0.0726,3,0.0740562,2.0,0.9761507623982192,,2.0057851239669486,1.2419472554285882,0.7527789175822974
TA1,0.0996,4,0.08112811,2.0,0.9441695899503064,,-18.546074297188746,-28.221972258387407,-28.6210557704418
VS1,0.1028,5,0.1029565,3.0,0.9999999999582074,,0.15223735408560685,-1.578960578578159,-1.1420398033873955
LS2,0.1087,7,0.1113595,3.0,0.9846361323958934,,2.4466421343146227,1.2987147438622504,1.0106639774847048
TS1,0.1147,6,0.1048126,3.0,0.95652115335885,,-8.620226678291186,-11.960377731740769,-11.826220918478835
SIDE1,0.1149,8,0.1167773,,,SOUTH_AUX,1.6338555265448202,1.1153698256852085,5.267012539294957
SIDE2,0.1239,9,0.1255105,,,NORTH,1.299838579499597,0.7386902716745913,1.3677835932008442
VA2,0.1438,15,0.1501876,4.0,0.9999999998830452,,4.442002781641163,1.839359620949521,1.5714675328666994
LA2,0.1449,14,0.1481082,4.0,0.9635810653571693,,2.2140786749482366,1.1585317423574937,-0.0246264431561393
SIDE3,0.1557,19,0.1674786,,,NORTH,7.564932562620423,5.844113855378152,6.556152696061579
TS2,0.1571,12,0.1446548,1.0,0.8813179243606182,,-7.921833227243788,-8.457280200799078,-9.030243493251088
VS2,0.1744,13,0.1471651,1.0,0.9999999999651998,,-15.61634174311927,-16.666351161793823,-17.18835392065168
