      1.,  0.7991638949111219E-06,  0.7229294198386601E-07,  0.5842051979430149E-09,  0.7262867477293152E-06,  0.6291881389849497E-07,  0.6446322738230197E-06,  0.7262867477293158E-06,  0.9046072081610491E-01,  0.7310205098892595E-03,  0.9088082586740087E+00,  0.7873080140274907E-01,  0.8066333801212475E+00,  0.9088082586740095E+00
      2.,  0.1142395320504287E-03,  0.1042602019249458E-03,  0.5156377578227841E-07,  0.9927766349700321E-05,  0.8059433726031588E-06,  0.3880485602275571E-05,  0.9927766349700317E-05,  0.9126455619489259E+00,  0.4513654324101802E-03,  0.8690307261866155E-01,  0.7054855338932861E-02,  0.3396797529389921E-01,  0.8690307261866152E-01
      3.,  0.4196272679064218E-03,  0.6575753833903489E-04,  0.2539257439903279E-05,  0.3513304721274835E-03,  0.2753677295117166E-04,  0.1015104328465120E-04,  0.3513304721274837E-03,  0.1567046361574840E+00,  0.6051221248256777E-02,  0.8372441425942588E+00,  0.6562198183296432E-01,  0.2419061882059323E-01,  0.8372441425942594E+00
      4.,  0.3613989509971002E-03,  0.5278054056498085E-04,  0.1998568585308777E-05,  0.3066198418468107E-03,  0.2323941750738173E-04,  0.3507264812742952E-04,  0.3066198418468108E-03,  0.1460450851319830E+00,  0.5530089613693463E-02,  0.8484248252543241E+00,  0.6430405357642612E-01,  0.9704690074684511E-01,  0.8484248252543243E+00
      5.,  0.2775104354318432E-01,  0.2771853097072907E-01,  0.1043870511245863E-06,  0.3240818540413277E-04,  0.1495526982255407E-05,  0.9086033973239202E-05,  0.3240818540413277E-04,  0.9988284198248383E+00,  0.3761554082178790E-05,  0.1167818621080008E-02,  0.5389083765185868E-04,  0.3274123352911080E-03,  0.1167818621080008E-02
      6.,  0.3070366476322000E-01,  0.3022375165370073E-01,  0.2675778310277878E-05,  0.4772373312093235E-03,  0.3666977814534208E-04,  0.1601721758323618E-03,  0.4772373312093236E-03,  0.9843695170195397E+00,  0.8714849940269021E-04,  0.1554333448106844E-01,  0.1194312745013713E-02,  0.5216711981047697E-02,  0.1554333448106844E-01
      7.,  0.1282388755521603E-03,  0.8794669280826279E-04,  0.1533712838033060E-07,  0.4027684561551744E-04,  0.2219864625874231E-05,  0.3621436586372560E-04,  0.4027684561551744E-04,  0.6858036802770550E+00,  0.1195981196364462E-03,  0.3140767216033105E+00,  0.1731038748052119E-01,  0.2823977183813940E+00,  0.3140767216033105E+00
      8.,  0.1725328992295277E-03,  0.3409381796648021E-04,  0.7640873098279234E-07,  0.1383626725320649E-03,  0.7440563578123040E-05,  0.1260891749903469E-03,  0.1383626725320649E-03,  0.1976076337830722E+00,  0.4428647018858857E-03,  0.8019495015150430E+00,  0.4312547700380638E-01,  0.7308123584163809E+00,  0.8019495015150433E+00
      9.,  0.2281343357359540E-03,  0.3358592047054791E-04,  0.1397333696934281E-06,  0.1944086818957127E-03,  0.1105899560717557E-04,  0.1770838443936856E-03,  0.1944086818957129E-03,  0.1472199279525409E+00,  0.6125047737450513E-03,  0.8521675672737145E+00,  0.4847580515006482E-01,  0.7762261819222382E+00,  0.8521675672737150E+00
     10.,  0.4852635459876808E-01,  0.4845588254931088E-01,  0.2295676307772834E-07,  0.7044909269433610E-04,  0.3592672928341232E-06,  0.9676908535257681E-05,  0.7044909269433610E-04,  0.9985477571921508E+00,  0.4730782534056482E-06,  0.1451769729600182E-02,  0.7403550005036723E-05,  0.1994155261665451E-03,  0.1451769729600182E-02
     11.,  0.5133098706144072E-01,  0.5037577525166337E-01,  0.6847965247649372E-05,  0.9483638445298594E-03,  0.7457315587967811E-04,  0.1663226187773993E-03,  0.9483638445298595E-03,  0.9813911271833911E+00,  0.1334080180350455E-03,  0.1847546479857700E-01,  0.1452790217932448E-02,  0.3240199113613755E-02,  0.1847546479857700E-01
     12.,  0.2915418635416476E+00,  0.2914325352229170E+00,  0.5193756495575082E-07,  0.1092763811707991E-03,  0.7761986681103776E-06,  0.1937072582263236E-04,  0.1092763811707990E-03,  0.9996249995887300E+00,  0.1781478801185319E-06,  0.3748222634077683E-03,  0.2662391804323140E-05,  0.6644234754939474E-04,  0.3748222634077682E-03
     13.,  0.2922092383799564E+00,  0.2893668070314916E+00,  0.5670966204309586E-05,  0.2836760382261345E-02,  0.1889019275970609E-03,  0.2012579606430667E-02,  0.2836760382261347E-02,  0.9902726164161560E+00,  0.1940721051719690E-04,  0.9707976373329912E-02,  0.6464611750277172E-03,  0.6887460566232107E-02,  0.9707976373329917E-02
     14.,  0.3510409282499860E-03,  0.2330188917212094E-03,  0.2257780310731882E-06,  0.1177962584977022E-03,  0.3188411638181826E-05,  0.2169202589136792E-04,  0.1177962584977022E-03,  0.6637940848745425E+00,  0.6431672574441385E-03,  0.3355627478680099E+00,  0.9082734751405594E-02,  0.6179343815978181E-01,  0.3355627478680098E+00
     15.,  0.9971057367843809E-04,  0.6720796001464314E-05,  0.1386462208738470E-06,  0.9285113145609993E-04,  0.5308115554890310E-05,  0.7256961241068910E-04,  0.9285113145609991E-04,  0.6740304216018819E-01,  0.1390486643081350E-02,  0.9312064711967305E+00,  0.5323523232359221E-01,  0.7278025763318009E+00,  0.9312064711967302E+00
     16.,  0.9283338801626262E-03,  0.2427297857568023E-03,  0.5200505358853992E-05,  0.6804035890469694E-03,  0.5668934474323828E-04,  0.6426584108622949E-04,  0.6804035890469694E-03,  0.2614681968886891E+00,  0.5601977338091941E-02,  0.7329298257732184E+00,  0.6106568547655225E-01,  0.6922707708887169E-01,  0.7329298257732184E+00
     17.,  0.2340069103990526E+00,  0.2338437324533942E+00,  0.7397168778253217E-07,  0.1631039739707261E-03,  0.1140051829093805E-05,  0.2518791872910324E-04,  0.1631039739707261E-03,  0.9993026789449073E+00,  0.3161089886464808E-06,  0.6970049461043026E-03,  0.4871872489362263E-05,  0.1076374996197771E-03,  0.6970049461043027E-03
     18.,  0.7767875320791877E-03,  0.2018462631274441E-03,  0.1850957247870136E-06,  0.5747561732269565E-03,  0.3078354596945341E-04,  0.5235145662248681E-03,  0.5747561732269563E-03,  0.2598474547952288E+00,  0.2382835938310921E-03,  0.7399142616109400E+00,  0.3962929977397636E-01,  0.6739482092659279E+00,  0.7399142616109396E+00
     19.,  0.2350202034427837E+00,  0.2330318450540148E+00,  0.1036876661360980E-04,  0.1977989622156133E-02,  0.1488864098164599E-03,  0.7370207034091251E-03,  0.1977989622156134E-02,  0.9915396278292602E+00,  0.4411861815162670E-04,  0.8416253552591620E-02,  0.6335047269785329E-03,  0.3135988704854282E-02,  0.8416253552591622E-02
     20.,  0.5516798906765761E-03,  0.3199707725644752E-03,  0.8506171584045213E-07,  0.2316240563962599E-03,  0.1174030554560365E-04,  0.2086371300973971E-03,  0.2316240563962599E-03,  0.5799935396812551E+00,  0.1541867254507557E-03,  0.4198522735932931E+00,  0.2128101049905123E-01,  0.3781851280486698E+00,  0.4198522735932931E+00
     21.,  0.5683323773016261E-01,  0.5653537021506505E-01,  0.3148551702933038E-06,  0.2975526599267620E-03,  0.4561821854002041E-05,  0.4188219241055577E-04,  0.2975526599267620E-03,  0.9947589205367500E+00,  0.5539982990027743E-05,  0.5235539480251086E-02,  0.8026679520989150E-04,  0.7369313113816846E-03,  0.5235539480251087E-02
     22.,  0.5207506471114742E-01,  0.5045581645103692E-01,  0.5899958907353774E-05,  0.1613348301202921E-02,  0.1165743222040930E-03,  0.8996478828848161E-03,  0.1613348301202921E-02,  0.9689054969188761E+00,  0.1132971978062814E-03,  0.3098120588331330E-01,  0.2238582378163394E-02,  0.1727598204390197E-01,  0.3098120588331330E-01
     23.,  0.2599379855340856E+00,  0.2595996293023086E+00,  0.2488550022748309E-07,  0.3383313462762504E-03,  0.5527987334371448E-06,  0.4108677060647020E-04,  0.3383313462762504E-03,  0.9986983194046002E+00,  0.9573629716469376E-07,  0.1301584859100499E-02,  0.2126656218795142E-05,  0.1580637417115110E-03,  0.1301584859100499E-02
     24.,  0.2556723610778959E+00,  0.2524057815734078E+00,  0.5960646518047548E-05,  0.3260618857970796E-02,  0.2007089632008607E-03,  0.2480134250720766E-02,  0.3260618857970795E-02,  0.9872235720329077E+00,  0.2331361314503413E-04,  0.1275311435394998E-01,  0.7850240923762210E-03,  0.9700439422801519E-02,  0.1275311435394997E-01
     25.,  0.5420888538416170E-03,  0.1016941955404757E-04,  0.2379928594294752E-06,  0.5316814414281399E-03,  0.2696618480608895E-04,  0.4762061673930770E-03,  0.5316814414281397E-03,  0.1875969129780112E-01,  0.4390292435324818E-03,  0.9808012794586662E+00,  0.4974495346102006E-01,  0.8784651520103214E+00,  0.9808012794586659E+00
