      1.,  0.3682119593414085E-01,      1.,         80., -0.8122706393883616E-17,  0.7851870225629868E-16,  0.1749414675485326E-16,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
      1.,  0.3682119593414085E-01,      2.,      28469., -0.6210638410677648E-06,  0.2119494621409540E-01,  0.1009283601045638E-04,  0.1907120235336099E-08,  0.5814318082858388E-15, -0.2293154048214672E-09
      1.,  0.3682119593414085E-01,      3.,      28660.,  0.4254526299100009E-08,  0.3044853225633805E-01,  0.2876891225170487E-04,  0.1497456956273366E-08,  0.2356097450739908E-16, -0.2671927564804071E-11
      1.,  0.3682119593414085E-01,      4.,        374.,  0.2591399706026651E-06,  0.2167696912091133E-01,  0.1211766636968862E-04,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
      1.,  0.3682119593414085E-01,      5.,      29176.,  0.8634416744925269E-17,  0.1736162402694984E-15,  0.2461215784027653E-16,  0.1812352618425118E-21, -0.6167192014840448E-25, -0.2289932076676232E-22
      1.,  0.3682119593414085E-01,      6.,      14098.,  0.1081751839556531E-16,  0.7844124927650106E-16, -0.2457128896771052E-16,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
      1.,  0.3682119593414085E-01,      7.,      51317.,  0.1865779819957163E-05,  0.2119499518097935E-01,  0.7492806481088223E-07,  0.1909021062745626E-08,  0.8931127456001949E-16, -0.2349774516374787E-09
      1.,  0.3682119593414085E-01,      8.,      51508.,  0.1267556318405006E-07,  0.3044857415859706E-01, -0.2079067864578817E-04,  0.1492982300738110E-08,  0.3846047578328811E-16, -0.2459869306030861E-11
      1.,  0.3682119593414085E-01,      9.,      14392., -0.1892514391229553E-05,  0.2167702992243823E-01,  0.1955540129263470E-06,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
      1.,  0.3682119593414085E-01,     10.,      52024.,  0.7238310718274899E-17,  0.1735919869954629E-15,  0.1989602991076889E-16,  0.2409039303822031E-21, -0.3140239261202226E-25, -0.1562243023936469E-21
