      1.,  0.7991638949111219E-06,  0.6291881389849497E-07,  0.6446322738230197E-06,  0.1381136668825760E-07,  0.7100614727278378E-09,  0.3539339177604427E-08,  0.6748926692113268E-09,  0.7873080140274907E-01,  0.8066333801212475E+00,  0.1728227060332050E-01,  0.8885054458157253E-03,  0.4428802652549827E-02,  0.8444984483269031E-03,  0.7262867477293158E-06,  0.9088082586740095E+00
      2.,  0.1142395320504287E-03,  0.8059433726031588E-06,  0.3880485602275571E-05,  0.4512537815346931E-05,  0.8130987894330080E-07,  0.3874471233495339E-06,  0.2600425571818234E-06,  0.7054855338932861E-02,  0.3396797529389921E-01,  0.3950066788924663E-01,  0.7117490546740702E-03,  0.3391532829270547E-02,  0.2276292212638204E-02,  0.9927766349700317E-05,  0.8690307261866152E-01
      3.,  0.4196272679064218E-03,  0.2753677295117166E-04,  0.1015104328465120E-04,  0.9503380059205235E-04,  0.1456919102727478E-04,  0.2015647680335592E-03,  0.2474896238774483E-05,  0.6562198183296432E-01,  0.2419061882059323E-01,  0.2264719379800771E+00,  0.3471936201849436E-01,  0.4803423977645532E+00,  0.5897844177577116E-02,  0.3513304721274837E-03,  0.8372441425942594E+00
      4.,  0.3613989509971002E-03,  0.2323941750738173E-04,  0.3507264812742952E-04,  0.7574271652166333E-04,  0.1151103497508687E-04,  0.1590667952833511E-03,  0.1987229431898223E-05,  0.6430405357642612E-01,  0.9704690074684511E-01,  0.2095820043547140E+00,  0.3185132370563865E-01,  0.4401418289800943E+00,  0.5498713890606088E-02,  0.3066198418468108E-03,  0.8484248252543243E+00
      5.,  0.2775104354318432E-01,  0.1495526982255407E-05,  0.9086033973239202E-05,  0.1895360898569776E-04,  0.2282783761006524E-06,  0.1548729476283390E-05,  0.1096007610556355E-05,  0.5389083765185868E-04,  0.3274123352911080E-03,  0.6829872525767696E-03,  0.8225938449681033E-05,  0.5580797254969390E-04,  0.3949428456089663E-04,  0.3240818540413277E-04,  0.1167818621080008E-02
      6.,  0.3070366476322000E-01,  0.3666977814534208E-04,  0.1601721758323618E-03,  0.9078342359504846E-04,  0.1291198251791772E-04,  0.1742854178618066E-03,  0.2414553256847000E-05,  0.1194312745013713E-02,  0.5216711981047697E-02,  0.2956761816387410E-02,  0.4205355490131920E-03,  0.5676371833976756E-02,  0.7864055562967846E-04,  0.4772373312093236E-03,  0.1554333448106844E-01
      7.,  0.1282388755521603E-03,  0.2219864625874231E-05,  0.3621436586372560E-04,  0.1202646689236320E-05,  0.7613777324186826E-07,  0.5033380662939498E-06,  0.6049259714546333E-07,  0.1731038748052119E-01,  0.2823977183813940E+00,  0.9378175565389698E-02,  0.5937183472175699E-03,  0.3925003741078659E-02,  0.4717180877093574E-03,  0.4027684561551744E-04,  0.3140767216033105E+00
      8.,  0.1725328992295277E-03,  0.7440563578123040E-05,  0.1260891749903469E-03,  0.3432027163052844E-05,  0.1942197353909124E-06,  0.1070861677101745E-05,  0.1358253880494504E-06,  0.4312547700380638E-01,  0.7308123584163809E+00,  0.1989201583222151E-01,  0.1125696816423016E-02,  0.6206710035499566E-02,  0.7872434107118103E-03,  0.1383626725320649E-03,  0.8019495015150433E+00
      9.,  0.2281343357359540E-03,  0.1105899560717557E-04,  0.1770838443936856E-03,  0.4605023451688048E-05,  0.2391604825941959E-06,  0.1237726553417976E-05,  0.1839314071514463E-06,  0.4847580515006482E-01,  0.7762261819222382E+00,  0.2018557810174602E-01,  0.1048331816526749E-02,  0.5425428616105113E-02,  0.8062416670339845E-03,  0.1944086818957129E-03,  0.8521675672737150E+00
     10.,  0.4852635459876808E-01,  0.3592672928341232E-06,  0.9676908535257681E-05,  0.5239739940270842E-04,  0.6630965080456179E-06,  0.4320504090825640E-05,  0.3031916864664613E-05,  0.7403550005036723E-05,  0.1994155261665451E-03,  0.1079772009167954E-02,  0.1366466765386188E-04,  0.8903417795441249E-04,  0.6247979865237154E-04,  0.7044909269433610E-04,  0.1451769729600182E-02
     11.,  0.5133098706144072E-01,  0.7457315587967811E-04,  0.1663226187773993E-03,  0.2223702595495133E-03,  0.3258595714903181E-04,  0.4465912500791465E-03,  0.5920603095090331E-05,  0.1452790217932448E-02,  0.3240199113613755E-02,  0.4332086177952254E-02,  0.6348203885116800E-03,  0.8700227204760319E-02,  0.1153416958065438E-03,  0.9483638445298595E-03,  0.1847546479857700E-01
     12.,  0.2915418635416476E+00,  0.7761986681103776E-06,  0.1937072582263236E-04,  0.7752620214588369E-04,  0.8468108816022418E-06,  0.6237220194861889E-05,  0.4519223457708475E-05,  0.2662391804323140E-05,  0.6644234754939474E-04,  0.2659179069657310E-03,  0.2904594459660756E-05,  0.2139390933120960E-04,  0.1550111329744893E-04,  0.1092763811707990E-03,  0.3748222634077682E-03
     13.,  0.2922092383799564E+00,  0.1889019275970609E-03,  0.2012579606430667E-02,  0.2141919748259689E-03,  0.2898396630854685E-04,  0.3866280478688451E-03,  0.5474859230258011E-05,  0.6464611750277172E-03,  0.6887460566232107E-02,  0.7330089083202000E-03,  0.9918908269032661E-04,  0.1323120548865457E-02,  0.1873609219411165E-04,  0.2836760382261347E-02,  0.9707976373329917E-02
     14.,  0.3510409282499860E-03,  0.3188411638181826E-05,  0.2169202589136792E-04,  0.8061557626743977E-04,  0.9961978116882423E-06,  0.6648715825312231E-05,  0.4655331063712208E-05,  0.9082734751405594E-02,  0.6179343815978181E-01,  0.2296472285135686E+00,  0.2837839498244552E-02,  0.1894000183527744E-01,  0.1326150510973187E-01,  0.1177962584977022E-03,  0.3355627478680098E+00
     15.,  0.9971057367843809E-04,  0.5308115554890310E-05,  0.7256961241068910E-04,  0.5983235406519699E-05,  0.6827464944668623E-06,  0.8081009251141531E-05,  0.2264123383924081E-06,  0.5323523232359221E-01,  0.7278025763318009E+00,  0.6000602730273473E-01,  0.6847282783355430E-02,  0.8104465708122796E-01,  0.2270695374018980E-02,  0.9285113145609991E-04,  0.9312064711967302E+00
     16.,  0.9283338801626262E-03,  0.5668934474323828E-04,  0.6426584108622949E-04,  0.1792396343844036E-03,  0.2567692098239660E-04,  0.3496872230758897E-03,  0.4844624774811662E-05,  0.6106568547655225E-01,  0.6922707708887169E-01,  0.1930766917103190E+00,  0.2765914455034055E-01,  0.3766826036927912E+00,  0.5218623254343553E-02,  0.6804035890469694E-03,  0.7329298257732184E+00
     17.,  0.2340069103990526E+00,  0.1140051829093805E-05,  0.2518791872910324E-04,  0.1188405035430111E-03,  0.1344937833892487E-05,  0.9720396954448433E-05,  0.6870165081176993E-05,  0.4871872489362263E-05,  0.1076374996197771E-03,  0.5078504021114252E-03,  0.5747427849882557E-05,  0.4153893121306637E-04,  0.2935881282078927E-04,  0.1631039739707261E-03,  0.6970049461043027E-03
     18.,  0.7767875320791877E-03,  0.3078354596945341E-04,  0.5235145662248681E-03,  0.1492297701452875E-04,  0.8227068451900419E-06,  0.4109364359378683E-05,  0.6030128135373075E-06,  0.3962929977397636E-01,  0.6739482092659279E+00,  0.1921114384339457E-01,  0.1059114379691374E-02,  0.5290203806926916E-02,  0.7762905410225288E-03,  0.5747561732269563E-03,  0.7399142616109396E+00
     19.,  0.2350202034427837E+00,  0.1488864098164599E-03,  0.7370207034091251E-03,  0.3450742770954029E-03,  0.4998734869506721E-04,  0.6879095803642367E-03,  0.9111302775841740E-05,  0.6335047269785329E-03,  0.3135988704854282E-02,  0.1468274948453154E-02,  0.2126938363715474E-03,  0.2927023167741025E-02,  0.3876816819308009E-04,  0.1977989622156134E-02,  0.8416253552591622E-02
     20.,  0.5516798906765761E-03,  0.1174030554560365E-04,  0.2086371300973971E-03,  0.7185884117960584E-05,  0.4908994089853486E-06,  0.3188052413439634E-05,  0.3817848128735788E-06,  0.2128101049905123E-01,  0.3781851280486698E+00,  0.1302545958154804E-01,  0.8898265412272200E-03,  0.5778808449098679E-02,  0.6920404736981817E-03,  0.2316240563962599E-03,  0.4198522735932931E+00
     21.,  0.5683323773016261E-01,  0.4561821854002041E-05,  0.4188219241055577E-04,  0.2181942770620576E-03,  0.2445861516060864E-05,  0.1781589935440389E-04,  0.1265260772968183E-04,  0.8026679520989150E-04,  0.7369313113816846E-03,  0.3839201949007688E-02,  0.4303575889294783E-04,  0.3134767622951844E-03,  0.2226269034636896E-03,  0.2975526599267620E-03,  0.5235539480251087E-02
     22.,  0.5207506471114742E-01,  0.1165743222040930E-03,  0.8996478828848161E-03,  0.2076771332356082E-03,  0.2708611230018646E-04,  0.3566964485639476E-03,  0.5666402014269946E-05,  0.2238582378163394E-02,  0.1727598204390197E-01,  0.3988034088628831E-02,  0.5201359316676622E-03,  0.6849659247520659E-02,  0.1088121934307836E-03,  0.1613348301202921E-02,  0.3098120588331330E-01
     23.,  0.2599379855340856E+00,  0.5527987334371448E-06,  0.4108677060647020E-04,  0.2580501575317862E-03,  0.2806817930938420E-05,  0.2082594835985091E-04,  0.1500885311376751E-04,  0.2126656218795142E-05,  0.1580637417115110E-03,  0.9927373908110407E-03,  0.1079802909594512E-04,  0.8011891112051419E-04,  0.5774013014269283E-04,  0.3383313462762504E-03,  0.1301584859100499E-02
     24.,  0.2556723610778959E+00,  0.2007089632008607E-03,  0.2480134250720766E-02,  0.2038844024875898E-03,  0.2610710985168768E-04,  0.3445336871451673E-03,  0.5250444564722755E-05,  0.7850240923762210E-03,  0.9700439422801519E-02,  0.7974440476398313E-03,  0.1021115843011815E-03,  0.1347559375180949E-02,  0.2053583165027016E-04,  0.3260618857970795E-02,  0.1275311435394997E-01
