
 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   03:43:44  JUL 13, 2026 Elapsed Time=     94.817

 Attachment 2-3 Finite Gate and Passage Modal Model V2.0                       


 
  ***** POST1 ELEMENT TABLE LISTING *****                                      
 
    STAT     CURRENT 
    ELEM     BEAM_AXI
 2004338  -1105.3     
 2004339  -738.82     
 2004340   1888.3     
 2004341   467.57     
 2004342  -5300.1     
 2004343  -4171.6     
 2004344   8218.3     
 2004345   10563.     
 2004346  -7992.2     
 2004347  -9627.4     
 2004348   14852.     
 2004349   16155.     
 2004350  -18786.     
 2004351  -21317.     
 2004352   5823.5     
 2004353   9122.1     
 2004354   15468.     
 2004355   14818.     
 2004356  -2206.5     
 2004357  -2229.1     
 2004358   8740.2     
 2004359   8798.9     
 2004360   10393.     
 2004361   10543.     
 2004362   20545.     
 2004363   5690.0     
 2004364   5735.7     
 2004365   21560.     
 2004409   16359.     
 2004410   25395.     
 2004411  -15430.     
 2004412  -23415.     
 2004413   12749.     
 2004414   20637.     
 2004415  -12702.     
 2004416  -19516.     
 2004417   11291.     
 2004418   17689.     
 2004419  -11125.     
 2004420  -16458.     
 2004421   9742.9     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   03:43:44  JUL 13, 2026 Elapsed Time=     94.817

 Attachment 2-3 Finite Gate and Passage Modal Model V2.0                       


 
  ***** POST1 ELEMENT TABLE LISTING *****                                      
 
    STAT     CURRENT 
    ELEM     BEAM_AXI
 2004422   15703.     
 2004423  -9384.6     
 2004424  -15571.     
 2004425  -14805.     
 2004426  -14694.     
 2004427  -13986.     
 2004428  -12956.     
 2004429   9409.7     
 2004430   10481.     
 2004431   10940.     
 2004432   10755.     
 2004433  -12190.     
 2004434  -12025.     
 2004435  -11381.     
 2004436  -10584.     
 2004437   6040.4     
 2004438   7043.1     
 2004439   7406.3     
 2004440   7083.8     
 2004441   1627.1     
 2004442   1674.8     
 2004443   1708.2     
 2004444   1752.4     
