node_id,X_mm,Y_mm,Z_mm,family,component_class
2000110,146913.650000000023,19500.000000000000,100859.026597492993,CW1_GATE_02::gantry_rope_master_05,gate
2000111,146913.650000000023,19240.000000000000,100859.026597492993,CW1_GATE_02::gantry_rope_master_06,gate
2000112,146913.650000000023,18540.000000000000,100859.026597492993,CW1_GATE_02::right_post_top_weld_projection,gate
2000113,146913.650000000023,17760.000000000000,100859.026597492993,CW1_GATE_02::top_beam_endpoint_end,gate
2000123,146913.650000000023,24360.000000000000,92073.649977522393,CW1_GATE_02::left_post_physical_bottom,gate
2000124,146913.650000000023,24360.000000000000,100779.026597492993,CW1_GATE_02::left_post_physical_top,gate
2000126,146913.650000000023,18540.000000000000,92073.649977522393,CW1_GATE_02::right_post_physical_bottom,gate
2000127,146913.650000000023,18540.000000000000,100779.026597492993,CW1_GATE_02::right_post_physical_top,gate
2000129,203913.650000000023,24525.000000000000,112413.544092026001,CW1_GATE_03::bottom_beam_endpoint_start,gate
2000130,203913.650000000023,24360.000000000000,112413.544092026001,CW1_GATE_03::left_post_bottom_weld_projection,gate
2000131,203913.650000000023,24120.000000000000,112413.544092026001,CW1_GATE_03::bottom_rope_master_01,gate
2000132,203913.650000000023,23860.000000000000,112413.544092026001,CW1_GATE_03::bottom_rope_master_02,gate
2000133,203913.650000000023,23600.000000000000,112413.544092026001,CW1_GATE_03::bottom_rope_master_03,gate
2000134,203913.650000000023,23340.000000000000,112413.544092026001,CW1_GATE_03::bottom_rope_master_04,gate
2000135,203913.650000000023,23080.000000000000,112413.544092026001,CW1_GATE_03::bottom_rope_master_05,gate
2000136,203913.650000000023,22820.000000000000,112413.544092026001,CW1_GATE_03::bottom_rope_master_06,gate
2000137,203913.650000000023,22560.000000000000,112413.544092026001,CW1_GATE_03::bottom_rope_master_07,gate
2000138,203913.650000000023,22300.000000000000,112413.544092026001,CW1_GATE_03::bottom_rope_master_08,gate
2000139,203913.650000000023,20600.000000000000,112413.544092026001,CW1_GATE_03::bottom_rope_master_09,gate
2000140,203913.650000000023,20340.000000000000,112413.544092026001,CW1_GATE_03::bottom_rope_master_10,gate
2000141,203913.650000000023,20080.000000000000,112413.544092026001,CW1_GATE_03::bottom_rope_master_11,gate
2000142,203913.650000000023,19820.000000000000,112413.544092026001,CW1_GATE_03::bottom_rope_master_12,gate
2000143,203913.650000000023,19560.000000000000,112413.544092026001,CW1_GATE_03::bottom_rope_master_13,gate
2000144,203913.650000000023,19300.000000000000,112413.544092026001,CW1_GATE_03::bottom_rope_master_14,gate
2000145,203913.650000000023,19040.000000000000,112413.544092026001,CW1_GATE_03::bottom_rope_master_15,gate
2000146,203913.650000000023,18780.000000000000,112413.544092026001,CW1_GATE_03::bottom_rope_master_16,gate
2000147,203913.650000000023,18540.000000000000,112413.544092026001,CW1_GATE_03::right_post_bottom_weld_projection,gate
2000148,203913.650000000023,18375.000000000000,112413.544092026001,CW1_GATE_03::bottom_beam_endpoint_end,gate
2000168,203913.650000000023,25140.000000000000,121521.541763406000,CW1_GATE_03::top_beam_endpoint_start,gate
2000169,203913.650000000023,24360.000000000000,121521.541763406000,CW1_GATE_03::left_post_top_weld_projection,gate
2000170,203913.650000000023,23660.000000000000,121521.541763406000,CW1_GATE_03::gantry_rope_master_01,gate
2000171,203913.650000000023,23400.000000000000,121521.541763406000,CW1_GATE_03::gantry_rope_master_02,gate
2000172,203913.650000000023,23140.000000000000,121521.541763406000,CW1_GATE_03::gantry_rope_master_03,gate
2000173,203913.650000000023,19760.000000000000,121521.541763406000,CW1_GATE_03::gantry_rope_master_04,gate
2000174,203913.650000000023,19500.000000000000,121521.541763406000,CW1_GATE_03::gantry_rope_master_05,gate
2000175,203913.650000000023,19240.000000000000,121521.541763406000,CW1_GATE_03::gantry_rope_master_06,gate
2000176,203913.650000000023,18540.000000000000,121521.541763406000,CW1_GATE_03::right_post_top_weld_projection,gate
2000177,203913.650000000023,17760.000000000000,121521.541763406000,CW1_GATE_03::top_beam_endpoint_end,gate
2000187,203913.650000000023,24360.000000000000,112501.044092026001,CW1_GATE_03::left_post_physical_bottom,gate
2000188,203913.650000000023,24360.000000000000,121441.541763406000,CW1_GATE_03::left_post_physical_top,gate
2000190,203913.650000000023,18540.000000000000,112501.044092026001,CW1_GATE_03::right_post_physical_bottom,gate
2000191,203913.650000000023,18540.000000000000,121441.541763406000,CW1_GATE_03::right_post_physical_top,gate
2000193,260913.649999999907,24525.000000000000,134297.853827214014,CW1_GATE_04::bottom_beam_endpoint_start,gate
2000194,260913.649999999907,24360.000000000000,134297.853827214014,CW1_GATE_04::left_post_bottom_weld_projection,gate
2000195,260913.649999999907,24120.000000000000,134297.853827214014,CW1_GATE_04::bottom_rope_master_01,gate
2000196,260913.649999999907,23860.000000000000,134297.853827214014,CW1_GATE_04::bottom_rope_master_02,gate
