      1.,  0.3289657403809734E-05,  0.2113560386122694E-05,  0.4565351295574966E-07,  0.1130443504731275E-05,  0.7228461605047891E-07,  0.5070203852103854E-06,  0.1130443504731274E-05,  0.6424864740246176E+00,  0.1387789284771070E-01,  0.3436356331276668E+00,  0.2197329605410171E-01,  0.1541255890729557E+00,  0.3436356331276665E+00
      2.,  0.1287012039064115E-03,  0.1135427679816395E-03,  0.5254866813715489E-05,  0.9903569111055584E-05,  0.8043478761740608E-06,  0.3854722478851016E-05,  0.9903569111055584E-05,  0.8822199368407236E+00,  0.4082997403456073E-01,  0.7695008912470799E-01,  0.6249730785416456E-02,  0.2995094343992367E-01,  0.7695008912470799E-01
      3.,  0.3849361233119659E-03,  0.9025577545760176E-04,  0.6137506465800546E-05,  0.2885428413885635E-03,  0.8155685067579306E-04,  0.1422591003268940E-04,  0.2885428413885635E-03,  0.2344694872516687E+00,  0.1594422059689756E-01,  0.7495862921514336E+00,  0.2118711280564763E+00,  0.3695654725851804E-01,  0.7495862921514336E+00
      4.,  0.2234473951757017E-03,  0.4345394002147783E-04,  0.2987847860649102E-05,  0.1770056072935747E-03,  0.4184741927902947E-04,  0.3084595993746944E-04,  0.1770056072935747E-03,  0.1944705597812363E+00,  0.1337159405371314E-01,  0.7921578461650500E+00,  0.1872808552819508E+00,  0.1380457351638159E+00,  0.7921578461650503E+00
      5.,  0.2775194035518129E-01,  0.2770562121233122E-01,  0.1405180463637147E-04,  0.3226733821390624E-04,  0.1475051801717020E-05,  0.8956023390515843E-05,  0.3226733821390625E-04,  0.9983309584030069E+00,  0.5063359338673413E-03,  0.1162705663133278E-02,  0.5315130339856137E-04,  0.3227170163921080E-03,  0.1162705663133278E-02
      6.,  0.3057573078856818E-01,  0.3017684882311067E-01,  0.1650432846585347E-04,  0.3823776369915544E-03,  0.7526659353214530E-04,  0.1604343844167537E-03,  0.3823776369915543E-03,  0.9869542949532166E+00,  0.5397852492874578E-03,  0.1250591979749245E-01,  0.2461644957977141E-02,  0.5247115286504871E-02,  0.1250591979749245E-01
      7.,  0.1392607660810707E-03,  0.9489867412163397E-04,  0.4245799879858340E-06,  0.4393751197145028E-04,  0.2600835003702693E-05,  0.3407361946460890E-04,  0.4393751197145025E-04,  0.6814458715988153E+00,  0.3048812669453969E-02,  0.3155053157317262E+00,  0.1867600672387954E-01,  0.2446749391337753E+00,  0.3155053157317260E+00
      8.,  0.1733635775315608E-03,  0.3420669113004751E-04,  0.7762134410676736E-07,  0.1390792650574061E-03,  0.8987798087395469E-05,  0.1253176609161252E-03,  0.1390792650574059E-03,  0.1973118668701919E+00,  0.4477373229831764E-03,  0.8022403958068227E+00,  0.5184363529738099E-01,  0.7228603764438999E+00,  0.8022403958068217E+00
      9.,  0.2292020318582216E-03,  0.3366061128328140E-04,  0.1424735308613991E-06,  0.1953989470440787E-03,  0.1298392125457350E-04,  0.1760849493576782E-03,  0.1953989470440788E-03,  0.1468600038594028E+00,  0.6216067532487213E-03,  0.8525183893873481E+00,  0.5664836890540752E-01,  0.7682521307952442E+00,  0.8525183893873485E+00
     10.,  0.4852638512672108E-01,  0.4845586543370273E-01,  0.2323395311739469E-07,  0.7049645906504463E-04,  0.3654129104969235E-06,  0.9674782342451282E-05,  0.7049645906504463E-04,  0.9985467762984157E+00,  0.4787901067990516E-06,  0.1452744911473443E-02,  0.7530190215955499E-05,  0.1993715855237661E-03,  0.1452744911473443E-02
     11.,  0.5109856603512408E-01,  0.5039045272606857E-01,  0.5419775730923976E-05,  0.7026935333244164E-03,  0.1712189678524420E-03,  0.1651802409871361E-03,  0.7026935333244165E-03,  0.9861422078152101E+00,  0.1060651237688067E-03,  0.1375172706101771E-01,  0.3350758761698903E-02,  0.3232580751357968E-02,  0.1375172706101772E-01
     12.,  0.2914723169744077E+00,  0.2913488475749269E+00,  0.1414093042588807E-04,  0.1093284690506576E-03,  0.7785380230460698E-06,  0.1933663224266030E-04,  0.1093284690506575E-03,  0.9995763940783040E+00,  0.4851551794927301E-04,  0.3750904037320877E-03,  0.2671053056179014E-05,  0.6634123076723654E-04,  0.3750904037320875E-03
     13.,  0.2919116832297124E+00,  0.2892324560130870E+00,  0.1839338823709747E-04,  0.2660833828383950E-02,  0.2862401362803292E-03,  0.2008903720221438E-02,  0.2660833828383950E-02,  0.9908217883334356E+00,  0.6301011331096079E-04,  0.9115201553238536E-02,  0.9805710176220659E-03,  0.6881888720570950E-02,  0.9115201553238535E-02
