          1.,          1.,  0.5000000000000000E-01,  0.2242310191261961E+08,  0.1364902915431499E-24,  0.6087038808236155E-32
          1.,          2.,  0.1000000000000000E+00,  0.4524456156484441E+08,  0.1364902915431499E-24,  0.3016722603169274E-32
          1.,          3.,  0.1500000000000000E+00,  0.6845131484545948E+08,  0.1364902915431499E-24,  0.1993976183675946E-32
          1.,          4.,  0.2000000000000000E+00,  0.9203430573217790E+08,  0.1364902915431499E-24,  0.1483037118140925E-32
          1.,          5.,  0.2500000000000000E+00,  0.1159916216916150E+09,  0.1364902915431499E-24,  0.1176725435445970E-32
          1.,          6.,  0.3000000000000000E+00,  0.1403197855281618E+09,  0.1364902915431499E-24,  0.9727088095909092E-33
          1.,          7.,  0.3500000000000000E+00,  0.1650156351035505E+09,  0.1364902915431499E-24,  0.8271355102654342E-33
          1.,          8.,  0.4000000000000000E+00,  0.1900758390814158E+09,  0.1364902915431499E-24,  0.7180833303315659E-33
          1.,          9.,  0.4500000000000000E+00,  0.2154967635594961E+09,  0.1364902915431499E-24,  0.6333751342185079E-33
          1.,         10.,  0.4999999999999999E+00,  0.2412743859519167E+09,  0.1364902915431499E-24,  0.5657056840271098E-33
          1.,         11.,  0.5499999999999999E+00,  0.2674042337719061E+09,  0.1364902915431499E-24,  0.5104268156785248E-33
          1.,         12.,  0.6000000000000000E+00,  0.2938813427023841E+09,  0.1364902915431499E-24,  0.4644401386221196E-33
          1.,         13.,  0.6500000000000000E+00,  0.3207002235293460E+09,  0.1364902915431499E-24,  0.4256008618923217E-33
          1.,         14.,  0.7000000000000001E+00,  0.3478548405753575E+09,  0.1364902915431499E-24,  0.3923771516802606E-33
          1.,         15.,  0.7500000000000001E+00,  0.3753386135338047E+09,  0.1364902915431499E-24,  0.3636457497886958E-33
          1.,         16.,  0.8000000000000002E+00,  0.4031444311549121E+09,  0.1364902915431499E-24,  0.3385642489272094E-33
          1.,         17.,  0.8500000000000002E+00,  0.4312646968042265E+09,  0.1364902915431499E-24,  0.3164884409843311E-33
          1.,         18.,  0.9000000000000002E+00,  0.4596914103533006E+09,  0.1364902915431499E-24,  0.2969172111313737E-33
          1.,         19.,  0.9500000000000003E+00,  0.4884162792363592E+09,  0.1364902915431499E-24,  0.2794548366744717E-33
          1.,         20.,  0.1000000000000000E+01,  0.5174308800493650E+09,  0.1364902915431499E-24,  0.2637845880596229E-33
