      1.,  0.3682629273831039E-01,      1.,         80., -0.1634319853181138E-18,  0.2908931951767021E-16,  0.1152803088899094E-17,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
      1.,  0.3682629273831039E-01,      2.,      28469., -0.1667443048098473E-05,  0.2119379390775280E-01,  0.1229618449006524E-04,  0.2134137768863293E-08, -0.4891602901919944E-16, -0.9271739393789499E-10
      1.,  0.3682629273831039E-01,      3.,      28660.,  0.4882041033787916E-07,  0.3045241514726111E-01,  0.3502821696028178E-04,  0.1767860750738740E-08, -0.4906680847977131E-17, -0.3666545829513000E-11
      1.,  0.3682629273831039E-01,      4.,        374.,  0.1331161429862085E-05,  0.2167627560768786E-01,  0.1449510643197474E-04,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
      1.,  0.3682629273831039E-01,      5.,      29176., -0.7153935999566030E-17, -0.1736704715218900E-15, -0.2396025703496771E-16, -0.7091596242906015E-21,  0.7694340617603094E-24,  0.1846322279471654E-21
      1.,  0.3682629273831039E-01,      6.,      14098.,  0.4452440305840171E-17,  0.2973652763591079E-16, -0.1029826810178148E-16,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
      1.,  0.3682629273831039E-01,      7.,      51317.,  0.2170978690498312E-05,  0.2119384653438874E-01, -0.8198214747359569E-06,  0.2134564099193280E-08, -0.2187015160992654E-15, -0.1230878987103556E-09
      1.,  0.3682629273831039E-01,      8.,      51508., -0.1728744895267083E-08,  0.3045246560358558E-01, -0.2538020861739816E-04,  0.1764557393600283E-08, -0.2006901750796119E-14, -0.3481748858858770E-11
      1.,  0.3682629273831039E-01,      9.,      14392., -0.2227434584051575E-05,  0.2167634778717640E-01, -0.7434505139138463E-06,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00
      1.,  0.3682629273831039E-01,     10.,      52024.,  0.2534252944931124E-17, -0.1731918689382056E-15,  0.6963403202952160E-17, -0.1423535951019334E-20,  0.1867001003062325E-24,  0.1779408630184389E-21
