      1.,  0.3682629273831039E-01,  0.1077779049495681E+04,  0.2064020907797662E-04,  0.4187284563967414E+02,  0.2360996569106015E-04, -0.6615330410563069E+07, -0.3093318441202441E+02,  0.7766972435599448E+08,  0.4260182307825885E-09,  0.1753335201963978E+04,  0.5574304799330376E-09,  0.4376259644092055E+14,  0.9568618978683099E+03,  0.6032586081536162E+16
      2.,  0.7152531261152290E-01,  0.1223865626150099E+04,  0.1547705510235065E+02, -0.1850401417814200E-05,  0.2349337448492606E-02,  0.5424599731667837E+01,  0.2487204780519648E+08,  0.3156239153741213E+04,  0.2395392346411981E+03,  0.3423985407048800E-11,  0.5519386446889747E-05,  0.2942628224881077E+02,  0.6186187620239790E+15,  0.9961845595609050E+07
      3.,  0.7332505793975658E-01,  0.1360042471136327E+04,  0.2762775377674673E-02, -0.2421786026755988E-03, -0.5935641168543136E-05, -0.4236809273819921E+03,  0.4601252532118385E+04, -0.1431768157444554E+08,  0.7632927787485433E-05,  0.5865047559390557E-07,  0.3523183608170412E-10,  0.1795055282272649E+06,  0.2117152486432585E+08,  0.2049960056672174E+15
      4.,  0.7375595661642424E-01,  0.1135120606371630E+04, -0.1876816044957782E-03,  0.1243065645541542E-03,  0.1932707058700894E-04,  0.5746197100237944E+03, -0.3108875103630028E+03,  0.1931138543530034E+08,  0.3522438466610972E-07,  0.1545212199125612E-07,  0.3735356574752263E-09,  0.3301878111478295E+06,  0.9665104409970620E+05,  0.3729296074307301E+15
      5.,  0.1012710726235331E+00,  0.5892500319776494E+03,  0.1489640816216856E-02,  0.7123668380452565E-03,  0.1181173825852467E+02, -0.3013931703562743E+03, -0.2190923628890841E+08,  0.1322490711174383E+04,  0.2219029761339220E-05,  0.5074665119465968E-06,  0.1395171606878955E+03,  0.9083784313740619E+05,  0.4800146347632214E+15,  0.1748981681142525E+07
      6.,  0.1033450533166489E+00,  0.4301703867002535E+03, -0.6297602256262529E-04, -0.5266496131357753E+00,  0.1975995096180798E-02,  0.4246050611009424E+06, -0.3774382940181922E+04, -0.9771773820581998E+06,  0.3965979417808289E-08,  0.2773598150160618E+00,  0.3904556620130560E-05,  0.1802894579125350E+12,  0.1424596657913633E+08,  0.9548756360061171E+12
      7.,  0.1102799024762718E+00,  0.1065435819418550E+04, -0.2378559790195771E-04, -0.1405221780630032E+02,  0.3785308943201644E-03,  0.4492457827798262E+07, -0.7012268124479771E+03, -0.2606644988729542E+08,  0.5657546675536153E-09,  0.1974648252757039E+03,  0.1432856379548235E-06,  0.2018217733454588E+14,  0.4917190424959504E+06,  0.6794598097268835E+15
      8.,  0.1162243114890276E+00,  0.3324059687585221E+03,  0.8157923182820501E-05,  0.2351803818389987E+02,  0.2107321333782829E-05, -0.5118352035401292E+07, -0.4036694222474077E+01,  0.7915835603410114E+08,  0.6655171065680018E-10,  0.5530981200193723E+03,  0.4440803203816239E-11,  0.2619752755829655E+14,  0.1629490024575560E+02,  0.6266045330021517E+16
      9.,  0.1248563027328964E+00,  0.3154390018494381E+03,  0.9485519876695847E-05,  0.2294288673726468E+02, -0.7564829746803612E-05, -0.4292592511058124E+07,  0.4705889922573579E+01,  0.8627234977744844E+07,  0.8997508733119201E-10,  0.5263760518389557E+03,  0.5722664909812481E-10,  0.1842635046599229E+14,  0.2214539996337957E+02,  0.7442918336122408E+14
     10.,  0.1354848513372677E+00,  0.4540743057126298E+03,  0.7602555847664726E+01, -0.3923264907630702E-04,  0.1150230185871503E+02,  0.1917932222182407E+02, -0.3204053971876232E+08, -0.1429978053570581E+03,  0.5779885541686112E+02,  0.1539200753544654E-08,  0.1323029480489992E+03,  0.3678464008885544E+03,  0.1026596185469586E+16,  0.2044837233693507E+05
