  1.,1.,  0.5325422306672562E-06,  0.3764589432149632E-07,  0.7069090891501199E-01
  1.,2.,  0.5325422306672562E-06,  0.3951117318407299E-06,  0.7419350224031419E+00
  1.,3.,  0.5325422306672562E-06,  0.1548563151781253E-07,  0.2907869202862953E-01
  1.,4.,  0.5325422306672562E-06,  0.6363279930535094E-09,  0.1194887384341733E-02
  1.,5.,  0.5325422306672562E-06,  0.4414899314508308E-08,  0.8290233262771665E-02
  1.,6.,  0.5325422306672562E-06,  0.7804703221348140E-09,  0.1465555738475262E-02
  2.,1.,  0.1128348127221193E-03,  0.1069878318762782E-05,  0.9481810559632816E-02
  2.,2.,  0.1128348127221193E-03,  0.2246264800993382E-05,  0.1990755110770030E-01
  2.,3.,  0.1128348127221193E-03,  0.4501860320374752E-05,  0.3989779582885982E-01
  2.,4.,  0.1128348127221193E-03,  0.8364757373636473E-07,  0.7413277136584200E-03
  2.,5.,  0.1128348127221193E-03,  0.3845419960322785E-06,  0.3408008457277260E-02
  2.,6.,  0.1128348127221193E-03,  0.2623101577995096E-06,  0.2324727196078274E-02
  3.,1.,  0.4060161365048469E-03,  0.2150135393696136E-04,  0.5295689506839263E-01
  3.,2.,  0.4060161365048469E-03,  0.5003099999270409E-05,  0.1232241664663661E-01
  3.,3.,  0.4060161365048469E-03,  0.8471182040367578E-04,  0.2086415114751591E+00
  3.,4.,  0.4060161365048469E-03,  0.1361570255706227E-04,  0.3353488034803692E-01
  3.,5.,  0.4060161365048469E-03,  0.2119032774282937E-03,  0.5219085114509089E+00
  3.,6.,  0.4060161365048469E-03,  0.2658512526145508E-05,  0.6547800166345780E-02
  4.,1.,  0.3557142686569876E-03,  0.1852460995287004E-04,  0.5207721923219551E-01
  4.,2.,  0.3557142686569876E-03,  0.1833428064513570E-04,  0.5154215689563833E-01
  4.,3.,  0.3557142686569876E-03,  0.7152028708194659E-04,  0.2010610576628654E+00
  4.,4.,  0.3557142686569876E-03,  0.1139002609369004E-04,  0.3202015521247854E-01
  4.,5.,  0.3557142686569876E-03,  0.1772682214366464E-03,  0.4983444215097952E+00
  4.,6.,  0.3557142686569876E-03,  0.2261009233595656E-05,  0.6356251162294334E-02
  5.,1.,  0.2774865567799446E-01,  0.2028674744644940E-05,  0.7310893789545781E-04
  5.,2.,  0.2774865567799446E-01,  0.5068909998469497E-05,  0.1826722727504705E-03
  5.,3.,  0.2774865567799446E-01,  0.1893135103573064E-04,  0.6822438987825918E-03
  5.,4.,  0.2774865567799446E-01,  0.2237872823664024E-06,  0.8064797263093097E-05
  5.,5.,  0.2774865567799446E-01,  0.1531109617994748E-05,  0.5517779440425163E-04
  5.,6.,  0.2774865567799446E-01,  0.1105575654722509E-05,  0.3984249426538038E-04
  6.,1.,  0.3054462970802475E-01,  0.2548799138931935E-04,  0.8344508227128088E-03
  6.,2.,  0.3054462970802475E-01,  0.6924988377360924E-04,  0.2267170511987440E-02
  6.,3.,  0.3054462970802475E-01,  0.8387732534360665E-04,  0.2746058018885403E-02
  6.,4.,  0.3054462970802475E-01,  0.1239430366490940E-04,  0.4057768512300262E-03
  6.,5.,  0.3054462970802475E-01,  0.1896413527296572E-03,  0.6208664323071961E-02
  6.,6.,  0.3054462970802475E-01,  0.2675936838709742E-05,  0.8760744079365002E-04
  7.,1.,  0.1142297252177757E-03,  0.9552388267258763E-06,  0.8362436527836702E-02
  7.,2.,  0.1142297252177757E-03,  0.1869300475569737E-04,  0.1636439615000360E+00
  7.,3.,  0.1142297252177757E-03,  0.1158892532418163E-05,  0.1014527987534565E-01
  7.,4.,  0.1142297252177757E-03,  0.6451647804344329E-07,  0.5647958788349049E-03
  7.,5.,  0.1142297252177757E-03,  0.5462597427144088E-06,  0.4782115527923931E-02
  7.,6.,  0.1142297252177757E-03,  0.6538534807583660E-07,  0.5724022179969473E-03
  8.,1.,  0.1041751305492671E-03,  0.2771589669509337E-05,  0.2660509907591219E-01
  8.,2.,  0.1041751305492671E-03,  0.6130449754532294E-04,  0.5884753608859695E+00
  8.,3.,  0.1041751305492671E-03,  0.3296915691707305E-05,  0.3164781915150190E-01
  8.,4.,  0.1041751305492671E-03,  0.1514837328761523E-06,  0.1454125683140006E-02
  8.,5.,  0.1041751305492671E-03,  0.1100492656260736E-05,  0.1056387115099687E-01
  8.,6.,  0.1041751305492671E-03,  0.1473264605387021E-06,  0.1414219111240063E-02
  9.,1.,  0.1325442377553859E-03,  0.4294559408154322E-05,  0.3240095141729248E-01
  9.,2.,  0.1325442377553859E-03,  0.8714785286576312E-04,  0.6575001248005735E+00
  9.,3.,  0.1325442377553859E-03,  0.4565965452588746E-05,  0.3444861526923081E-01
  9.,4.,  0.1325442377553859E-03,  0.1873913500144778E-06,  0.1413802313762698E-02
  9.,5.,  0.1325442377553859E-03,  0.1287820465422805E-05,  0.9716155807538865E-02
  9.,6.,  0.1325442377553859E-03,  0.2026087152406843E-06,  0.1528612021705571E-02
 10.,1.,  0.4852260837012384E-01,  0.4739899297603548E-06,  0.9768434667502296E-05
 10.,2.,  0.4852260837012384E-01,  0.4914279618668512E-05,  0.1012781419577253E-03
