
 LIST CONSTRAINTS FOR SELECTED NODES         1 TO  2029626 BY        1
 CURRENTLY SELECTED DOF SET= UX   UY   UZ   ROTX ROTY ROTZ

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.408

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
     22476  UZ     0.00000000      0.00000000    
     22634  UY     0.00000000      0.00000000    
     22634  UZ     0.00000000      0.00000000    
     22749  UY     0.00000000      0.00000000    
     22749  UZ     0.00000000      0.00000000    
     22752  UY     0.00000000      0.00000000    
     22752  UZ     0.00000000      0.00000000    
     22754  UX     0.00000000      0.00000000    
     22754  UY     0.00000000      0.00000000    
     22754  UZ     0.00000000      0.00000000    
     22755  UX     0.00000000      0.00000000    
     22755  UY     0.00000000      0.00000000    
     22755  UZ     0.00000000      0.00000000    
     22757  UY     0.00000000      0.00000000    
     22757  UZ     0.00000000      0.00000000    
     22760  UY     0.00000000      0.00000000    
     22760  UZ     0.00000000      0.00000000    
     22908  UX     0.00000000      0.00000000    
     22908  UY     0.00000000      0.00000000    
     22908  UZ     0.00000000      0.00000000    
     22911  UY     0.00000000      0.00000000    
     22911  UZ     0.00000000      0.00000000    
     23201  UY     0.00000000      0.00000000    
     23201  UZ     0.00000000      0.00000000    
     23204  UX     0.00000000      0.00000000    
     23204  UY     0.00000000      0.00000000    
     23204  UZ     0.00000000      0.00000000    
     23362  UY     0.00000000      0.00000000    
     23362  UZ     0.00000000      0.00000000    
     23477  UY     0.00000000      0.00000000    
     23477  UZ     0.00000000      0.00000000    
     23480  UY     0.00000000      0.00000000    
     23480  UZ     0.00000000      0.00000000    
     23482  UX     0.00000000      0.00000000    
     23482  UY     0.00000000      0.00000000    
     23482  UZ     0.00000000      0.00000000    
     23483  UX     0.00000000      0.00000000    
     23483  UY     0.00000000      0.00000000    
     23483  UZ     0.00000000      0.00000000    
     23485  UY     0.00000000      0.00000000    
     23485  UZ     0.00000000      0.00000000    
     23488  UY     0.00000000      0.00000000    
     23488  UZ     0.00000000      0.00000000    
     23636  UX     0.00000000      0.00000000    
     23636  UY     0.00000000      0.00000000    
     23636  UZ     0.00000000      0.00000000    
     23639  UY     0.00000000      0.00000000    
     23639  UZ     0.00000000      0.00000000    
     23929  UY     0.00000000      0.00000000    
     23929  UZ     0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.413

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
     23932  UX     0.00000000      0.00000000    
     23932  UY     0.00000000      0.00000000    
     23932  UZ     0.00000000      0.00000000    
     24090  UY     0.00000000      0.00000000    
     24090  UZ     0.00000000      0.00000000    
     24205  UY     0.00000000      0.00000000    
     24205  UZ     0.00000000      0.00000000    
     24208  UY     0.00000000      0.00000000    
     24208  UZ     0.00000000      0.00000000    
     24210  UX     0.00000000      0.00000000    
     24210  UY     0.00000000      0.00000000    
     24210  UZ     0.00000000      0.00000000    
     24211  UX     0.00000000      0.00000000    
     24211  UY     0.00000000      0.00000000    
     24211  UZ     0.00000000      0.00000000    
     24213  UY     0.00000000      0.00000000    
     24213  UZ     0.00000000      0.00000000    
     24216  UY     0.00000000      0.00000000    
     24216  UZ     0.00000000      0.00000000    
     24364  UX     0.00000000      0.00000000    
     24364  UY     0.00000000      0.00000000    
     24364  UZ     0.00000000      0.00000000    
     24367  UY     0.00000000      0.00000000    
     24367  UZ     0.00000000      0.00000000    
     24657  UY     0.00000000      0.00000000    
     24657  UZ     0.00000000      0.00000000    
     24660  UX     0.00000000      0.00000000    
     24660  UY     0.00000000      0.00000000    
     24660  UZ     0.00000000      0.00000000    
     24818  UY     0.00000000      0.00000000    
     24818  UZ     0.00000000      0.00000000    
     24933  UY     0.00000000      0.00000000    
     24933  UZ     0.00000000      0.00000000    
     24936  UY     0.00000000      0.00000000    
     24936  UZ     0.00000000      0.00000000    
     24938  UX     0.00000000      0.00000000    
     24938  UY     0.00000000      0.00000000    
     24938  UZ     0.00000000      0.00000000    
     24939  UX     0.00000000      0.00000000    
     24939  UY     0.00000000      0.00000000    
     24939  UZ     0.00000000      0.00000000    
     24941  UY     0.00000000      0.00000000    
     24941  UZ     0.00000000      0.00000000    
     24944  UY     0.00000000      0.00000000    
     24944  UZ     0.00000000      0.00000000    
     25092  UX     0.00000000      0.00000000    
     25092  UY     0.00000000      0.00000000    
     25092  UZ     0.00000000      0.00000000    
     25095  UY     0.00000000      0.00000000    
     25095  UZ     0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.414

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
     25385  UY     0.00000000      0.00000000    
     25385  UZ     0.00000000      0.00000000    
     25388  UX     0.00000000      0.00000000    
     25388  UY     0.00000000      0.00000000    
     25388  UZ     0.00000000      0.00000000    
     25546  UY     0.00000000      0.00000000    
     25546  UZ     0.00000000      0.00000000    
     25661  UY     0.00000000      0.00000000    
     25661  UZ     0.00000000      0.00000000    
     25664  UY     0.00000000      0.00000000    
     25664  UZ     0.00000000      0.00000000    
     25666  UX     0.00000000      0.00000000    
     25666  UY     0.00000000      0.00000000    
     25666  UZ     0.00000000      0.00000000    
     25667  UX     0.00000000      0.00000000    
     25667  UY     0.00000000      0.00000000    
     25667  UZ     0.00000000      0.00000000    
     25669  UY     0.00000000      0.00000000    
     25669  UZ     0.00000000      0.00000000    
     25729  UY     0.00000000      0.00000000    
     25729  UZ     0.00000000      0.00000000    
     25732  UX     0.00000000      0.00000000    
     25732  UY     0.00000000      0.00000000    
     25732  UZ     0.00000000      0.00000000    
     25946  UX     0.00000000      0.00000000    
     25946  UY     0.00000000      0.00000000    
     25946  UZ     0.00000000      0.00000000    
     25949  UY     0.00000000      0.00000000    
     25949  UZ     0.00000000      0.00000000    
     26013  UY     0.00000000      0.00000000    
     26013  UZ     0.00000000      0.00000000    
     26059  UY     0.00000000      0.00000000    
     26059  UZ     0.00000000      0.00000000    
     26061  UX     0.00000000      0.00000000    
     26061  UY     0.00000000      0.00000000    
     26061  UZ     0.00000000      0.00000000    
     26062  UX     0.00000000      0.00000000    
     26062  UY     0.00000000      0.00000000    
     26062  UZ     0.00000000      0.00000000    
     26064  UY     0.00000000      0.00000000    
     26064  UZ     0.00000000      0.00000000    
     26124  UY     0.00000000      0.00000000    
     26124  UZ     0.00000000      0.00000000    
     26127  UX     0.00000000      0.00000000    
     26127  UY     0.00000000      0.00000000    
     26127  UZ     0.00000000      0.00000000    
     26341  UX     0.00000000      0.00000000    
     26341  UY     0.00000000      0.00000000    
     26341  UZ     0.00000000      0.00000000    
     26344  UY     0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.414

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
     26344  UZ     0.00000000      0.00000000    
     26408  UY     0.00000000      0.00000000    
     26408  UZ     0.00000000      0.00000000    
     26454  UY     0.00000000      0.00000000    
     26454  UZ     0.00000000      0.00000000    
     26456  UX     0.00000000      0.00000000    
     26456  UY     0.00000000      0.00000000    
     26456  UZ     0.00000000      0.00000000    
     26457  UX     0.00000000      0.00000000    
     26457  UY     0.00000000      0.00000000    
     26457  UZ     0.00000000      0.00000000    
     26459  UY     0.00000000      0.00000000    
     26459  UZ     0.00000000      0.00000000    
     26519  UY     0.00000000      0.00000000    
     26519  UZ     0.00000000      0.00000000    
     26522  UX     0.00000000      0.00000000    
     26522  UY     0.00000000      0.00000000    
     26522  UZ     0.00000000      0.00000000    
     26736  UX     0.00000000      0.00000000    
     26736  UY     0.00000000      0.00000000    
     26736  UZ     0.00000000      0.00000000    
     26739  UY     0.00000000      0.00000000    
     26739  UZ     0.00000000      0.00000000    
     26803  UY     0.00000000      0.00000000    
     26803  UZ     0.00000000      0.00000000    
     26849  UY     0.00000000      0.00000000    
     26849  UZ     0.00000000      0.00000000    
     26851  UX     0.00000000      0.00000000    
     26851  UY     0.00000000      0.00000000    
     26851  UZ     0.00000000      0.00000000    
     26852  UX     0.00000000      0.00000000    
     26852  UY     0.00000000      0.00000000    
     26852  UZ     0.00000000      0.00000000    
     26854  UY     0.00000000      0.00000000    
     26854  UZ     0.00000000      0.00000000    
     26914  UY     0.00000000      0.00000000    
     26914  UZ     0.00000000      0.00000000    
     26917  UX     0.00000000      0.00000000    
     26917  UY     0.00000000      0.00000000    
     26917  UZ     0.00000000      0.00000000    
     27131  UX     0.00000000      0.00000000    
     27131  UY     0.00000000      0.00000000    
     27131  UZ     0.00000000      0.00000000    
     27134  UY     0.00000000      0.00000000    
     27134  UZ     0.00000000      0.00000000    
     27198  UY     0.00000000      0.00000000    
     27198  UZ     0.00000000      0.00000000    
     27244  UY     0.00000000      0.00000000    
     27244  UZ     0.00000000      0.00000000    
     27246  UX     0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.414

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
     27246  UY     0.00000000      0.00000000    
     27246  UZ     0.00000000      0.00000000    
     27247  UX     0.00000000      0.00000000    
     27247  UY     0.00000000      0.00000000    
     27247  UZ     0.00000000      0.00000000    
     27249  UY     0.00000000      0.00000000    
     27249  UZ     0.00000000      0.00000000    
     27309  UY     0.00000000      0.00000000    
     27309  UZ     0.00000000      0.00000000    
     27312  UX     0.00000000      0.00000000    
     27312  UY     0.00000000      0.00000000    
     27312  UZ     0.00000000      0.00000000    
     27526  UX     0.00000000      0.00000000    
     27526  UY     0.00000000      0.00000000    
     27526  UZ     0.00000000      0.00000000    
     27529  UY     0.00000000      0.00000000    
     27529  UZ     0.00000000      0.00000000    
     27593  UY     0.00000000      0.00000000    
     27593  UZ     0.00000000      0.00000000    
     27639  UY     0.00000000      0.00000000    
     27639  UZ     0.00000000      0.00000000    
     27641  UX     0.00000000      0.00000000    
     27641  UY     0.00000000      0.00000000    
     27641  UZ     0.00000000      0.00000000    
     27642  UX     0.00000000      0.00000000    
     27642  UY     0.00000000      0.00000000    
     27642  UZ     0.00000000      0.00000000    
     27644  UY     0.00000000      0.00000000    
     27644  UZ     0.00000000      0.00000000    
     27704  UY     0.00000000      0.00000000    
     27704  UZ     0.00000000      0.00000000    
     27707  UX     0.00000000      0.00000000    
     27707  UY     0.00000000      0.00000000    
     27707  UZ     0.00000000      0.00000000    
     27921  UX     0.00000000      0.00000000    
     27921  UY     0.00000000      0.00000000    
     27921  UZ     0.00000000      0.00000000    
     27924  UY     0.00000000      0.00000000    
     27924  UZ     0.00000000      0.00000000    
     27988  UY     0.00000000      0.00000000    
     27988  UZ     0.00000000      0.00000000    
     28034  UY     0.00000000      0.00000000    
     28034  UZ     0.00000000      0.00000000    
     28036  UX     0.00000000      0.00000000    
     28036  UY     0.00000000      0.00000000    
     28036  UZ     0.00000000      0.00000000    
     73733  ROTY   0.00000000      0.00000000    
     73735  ROTY   0.00000000      0.00000000    
     73737  ROTY   0.00000000      0.00000000    
     73739  ROTY   0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.421

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
     73741  ROTY   0.00000000      0.00000000    
     73743  ROTY   0.00000000      0.00000000    
     73745  ROTY   0.00000000      0.00000000    
     73747  ROTY   0.00000000      0.00000000    
     73749  ROTY   0.00000000      0.00000000    
     73751  ROTY   0.00000000      0.00000000    
     73753  ROTY   0.00000000      0.00000000    
     73755  ROTY   0.00000000      0.00000000    
     73757  ROTY   0.00000000      0.00000000    
     73759  ROTY   0.00000000      0.00000000    
     73761  ROTY   0.00000000      0.00000000    
     73763  ROTY   0.00000000      0.00000000    
     73765  ROTY   0.00000000      0.00000000    
     73767  ROTY   0.00000000      0.00000000    
     73769  ROTY   0.00000000      0.00000000    
     73771  ROTY   0.00000000      0.00000000    
     73773  ROTY   0.00000000      0.00000000    
     73775  ROTY   0.00000000      0.00000000    
     73777  ROTY   0.00000000      0.00000000    
     73779  ROTY   0.00000000      0.00000000    
     73781  ROTY   0.00000000      0.00000000    
     73783  ROTY   0.00000000      0.00000000    
     73785  ROTY   0.00000000      0.00000000    
     73787  ROTY   0.00000000      0.00000000    
     73789  ROTY   0.00000000      0.00000000    
     73791  ROTY   0.00000000      0.00000000    
     73793  ROTY   0.00000000      0.00000000    
     73795  ROTY   0.00000000      0.00000000    
     73797  ROTY   0.00000000      0.00000000    
     73799  ROTY   0.00000000      0.00000000    
     73801  ROTY   0.00000000      0.00000000    
     73803  ROTY   0.00000000      0.00000000    
     73805  ROTY   0.00000000      0.00000000    
     73807  ROTY   0.00000000      0.00000000    
     73809  ROTY   0.00000000      0.00000000    
     73811  ROTY   0.00000000      0.00000000    
     73813  ROTY   0.00000000      0.00000000    
     73815  ROTY   0.00000000      0.00000000    
     73817  ROTY   0.00000000      0.00000000    
     73819  ROTY   0.00000000      0.00000000    
     73821  ROTY   0.00000000      0.00000000    
     73823  ROTY   0.00000000      0.00000000    
     73825  ROTY   0.00000000      0.00000000    
     73827  ROTY   0.00000000      0.00000000    
     73829  ROTY   0.00000000      0.00000000    
     73831  ROTY   0.00000000      0.00000000    
     73833  ROTY   0.00000000      0.00000000    
     73835  ROTY   0.00000000      0.00000000    
     73837  ROTY   0.00000000      0.00000000    
     73839  ROTY   0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.421

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
     73841  ROTY   0.00000000      0.00000000    
     73843  ROTY   0.00000000      0.00000000    
     73845  ROTY   0.00000000      0.00000000    
     73847  ROTY   0.00000000      0.00000000    
     73849  ROTY   0.00000000      0.00000000    
     73851  ROTY   0.00000000      0.00000000    
     73853  ROTY   0.00000000      0.00000000    
     73855  ROTY   0.00000000      0.00000000    
     73857  ROTY   0.00000000      0.00000000    
     73859  ROTY   0.00000000      0.00000000    
     73861  ROTY   0.00000000      0.00000000    
     73863  ROTY   0.00000000      0.00000000    
     73865  ROTY   0.00000000      0.00000000    
     73867  ROTY   0.00000000      0.00000000    
     73869  ROTY   0.00000000      0.00000000    
     73871  ROTY   0.00000000      0.00000000    
     73873  ROTY   0.00000000      0.00000000    
     73875  ROTY   0.00000000      0.00000000    
     73877  ROTY   0.00000000      0.00000000    
     73879  ROTY   0.00000000      0.00000000    
     73881  ROTY   0.00000000      0.00000000    
     73883  ROTY   0.00000000      0.00000000    
     73885  ROTY   0.00000000      0.00000000    
     73887  ROTY   0.00000000      0.00000000    
     73889  ROTY   0.00000000      0.00000000    
     73891  ROTY   0.00000000      0.00000000    
     73893  ROTY   0.00000000      0.00000000    
     73895  ROTY   0.00000000      0.00000000    
     73897  ROTY   0.00000000      0.00000000    
     73899  ROTY   0.00000000      0.00000000    
     73901  ROTY   0.00000000      0.00000000    
     73903  ROTY   0.00000000      0.00000000    
     73905  ROTY   0.00000000      0.00000000    
     73907  ROTY   0.00000000      0.00000000    
     73909  ROTY   0.00000000      0.00000000    
     73911  ROTY   0.00000000      0.00000000    
     73913  ROTY   0.00000000      0.00000000    
     73915  ROTY   0.00000000      0.00000000    
     73917  ROTY   0.00000000      0.00000000    
     73919  ROTY   0.00000000      0.00000000    
     73921  ROTY   0.00000000      0.00000000    
     73923  ROTY   0.00000000      0.00000000    
     73925  ROTY   0.00000000      0.00000000    
     73927  ROTY   0.00000000      0.00000000    
     73929  ROTY   0.00000000      0.00000000    
     73931  ROTY   0.00000000      0.00000000    
     73933  ROTY   0.00000000      0.00000000    
     73935  ROTY   0.00000000      0.00000000    
     73937  ROTY   0.00000000      0.00000000    
     73939  ROTY   0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.422

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
     73941  ROTY   0.00000000      0.00000000    
     73943  ROTY   0.00000000      0.00000000    
     73945  ROTY   0.00000000      0.00000000    
     73947  ROTY   0.00000000      0.00000000    
     73949  ROTY   0.00000000      0.00000000    
     73951  ROTY   0.00000000      0.00000000    
     73953  ROTY   0.00000000      0.00000000    
     73955  ROTY   0.00000000      0.00000000    
     73957  ROTY   0.00000000      0.00000000    
     73959  ROTY   0.00000000      0.00000000    
     73961  ROTY   0.00000000      0.00000000    
     73963  ROTY   0.00000000      0.00000000    
     73965  ROTY   0.00000000      0.00000000    
     73967  ROTY   0.00000000      0.00000000    
     73969  ROTY   0.00000000      0.00000000    
     73971  ROTY   0.00000000      0.00000000    
     73973  ROTY   0.00000000      0.00000000    
     73975  ROTY   0.00000000      0.00000000    
     73977  ROTY   0.00000000      0.00000000    
     73979  ROTY   0.00000000      0.00000000    
     73981  ROTY   0.00000000      0.00000000    
     73983  ROTY   0.00000000      0.00000000    
     73985  ROTY   0.00000000      0.00000000    
     73987  ROTY   0.00000000      0.00000000    
     73989  ROTY   0.00000000      0.00000000    
     73991  ROTY   0.00000000      0.00000000    
     73993  ROTY   0.00000000      0.00000000    
     73995  ROTY   0.00000000      0.00000000    
     73997  ROTY   0.00000000      0.00000000    
     73999  ROTY   0.00000000      0.00000000    
     74001  ROTY   0.00000000      0.00000000    
     74003  ROTY   0.00000000      0.00000000    
     74005  ROTY   0.00000000      0.00000000    
     74007  ROTY   0.00000000      0.00000000    
     74009  ROTY   0.00000000      0.00000000    
     74011  ROTY   0.00000000      0.00000000    
     74013  ROTY   0.00000000      0.00000000    
     74015  ROTY   0.00000000      0.00000000    
     74017  ROTY   0.00000000      0.00000000    
     74019  ROTY   0.00000000      0.00000000    
     74021  ROTY   0.00000000      0.00000000    
     74023  ROTY   0.00000000      0.00000000    
     74025  ROTY   0.00000000      0.00000000    
     74027  ROTY   0.00000000      0.00000000    
     74029  ROTY   0.00000000      0.00000000    
     74031  ROTY   0.00000000      0.00000000    
     74033  ROTY   0.00000000      0.00000000    
     74035  ROTY   0.00000000      0.00000000    
     74037  ROTY   0.00000000      0.00000000    
     74039  ROTY   0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.422

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
     74041  ROTY   0.00000000      0.00000000    
     74043  ROTY   0.00000000      0.00000000    
     74045  ROTY   0.00000000      0.00000000    
     74047  ROTY   0.00000000      0.00000000    
     74049  ROTY   0.00000000      0.00000000    
     74051  ROTY   0.00000000      0.00000000    
     74053  ROTY   0.00000000      0.00000000    
     74055  ROTY   0.00000000      0.00000000    
     74057  ROTY   0.00000000      0.00000000    
     74059  ROTY   0.00000000      0.00000000    
     74061  ROTY   0.00000000      0.00000000    
     74063  ROTY   0.00000000      0.00000000    
     74065  ROTY   0.00000000      0.00000000    
     74067  ROTY   0.00000000      0.00000000    
     74069  ROTY   0.00000000      0.00000000    
     74071  ROTY   0.00000000      0.00000000    
     74073  ROTY   0.00000000      0.00000000    
     74075  ROTY   0.00000000      0.00000000    
     74077  ROTY   0.00000000      0.00000000    
     74079  ROTY   0.00000000      0.00000000    
     74081  ROTY   0.00000000      0.00000000    
     74083  ROTY   0.00000000      0.00000000    
     74085  ROTY   0.00000000      0.00000000    
     74087  ROTY   0.00000000      0.00000000    
     74089  ROTY   0.00000000      0.00000000    
     74091  ROTY   0.00000000      0.00000000    
     74093  ROTY   0.00000000      0.00000000    
     74095  ROTY   0.00000000      0.00000000    
     74097  ROTY   0.00000000      0.00000000    
     74099  ROTY   0.00000000      0.00000000    
     74101  ROTY   0.00000000      0.00000000    
     74103  ROTY   0.00000000      0.00000000    
     74105  ROTY   0.00000000      0.00000000    
     74107  ROTY   0.00000000      0.00000000    
     74109  ROTY   0.00000000      0.00000000    
     74111  ROTY   0.00000000      0.00000000    
     74113  ROTY   0.00000000      0.00000000    
     74115  ROTY   0.00000000      0.00000000    
     74117  ROTY   0.00000000      0.00000000    
     74119  ROTY   0.00000000      0.00000000    
     74121  ROTY   0.00000000      0.00000000    
     74123  ROTY   0.00000000      0.00000000    
     74125  ROTY   0.00000000      0.00000000    
     74127  ROTY   0.00000000      0.00000000    
     74129  ROTY   0.00000000      0.00000000    
     74131  ROTY   0.00000000      0.00000000    
     74133  ROTY   0.00000000      0.00000000    
     74135  ROTY   0.00000000      0.00000000    
     74137  ROTY   0.00000000      0.00000000    
     74139  ROTY   0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.422

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
     74141  ROTY   0.00000000      0.00000000    
     74143  ROTY   0.00000000      0.00000000    
     74145  ROTY   0.00000000      0.00000000    
     74147  ROTY   0.00000000      0.00000000    
     74149  ROTY   0.00000000      0.00000000    
     74151  ROTY   0.00000000      0.00000000    
     74153  ROTY   0.00000000      0.00000000    
     74155  ROTY   0.00000000      0.00000000    
     74157  ROTY   0.00000000      0.00000000    
     74159  ROTY   0.00000000      0.00000000    
     74161  ROTY   0.00000000      0.00000000    
     74163  ROTY   0.00000000      0.00000000    
     74165  ROTY   0.00000000      0.00000000    
     74167  ROTY   0.00000000      0.00000000    
     74169  ROTY   0.00000000      0.00000000    
     74171  ROTY   0.00000000      0.00000000    
     74173  ROTY   0.00000000      0.00000000    
     74175  ROTY   0.00000000      0.00000000    
     74177  ROTY   0.00000000      0.00000000    
     74179  ROTY   0.00000000      0.00000000    
     74181  ROTY   0.00000000      0.00000000    
     74183  ROTY   0.00000000      0.00000000    
     74185  ROTY   0.00000000      0.00000000    
     74187  ROTY   0.00000000      0.00000000    
     74189  ROTY   0.00000000      0.00000000    
     74191  ROTY   0.00000000      0.00000000    
     74193  ROTY   0.00000000      0.00000000    
     74195  ROTY   0.00000000      0.00000000    
     74197  ROTY   0.00000000      0.00000000    
     74199  ROTY   0.00000000      0.00000000    
     74201  ROTY   0.00000000      0.00000000    
     74203  ROTY   0.00000000      0.00000000    
     74205  ROTY   0.00000000      0.00000000    
     74207  ROTY   0.00000000      0.00000000    
     74209  ROTY   0.00000000      0.00000000    
     74211  ROTY   0.00000000      0.00000000    
     74213  ROTY   0.00000000      0.00000000    
     74215  ROTY   0.00000000      0.00000000    
     74217  ROTY   0.00000000      0.00000000    
     74219  ROTY   0.00000000      0.00000000    
     74221  ROTY   0.00000000      0.00000000    
     74223  ROTY   0.00000000      0.00000000    
     74225  ROTY   0.00000000      0.00000000    
     74227  ROTY   0.00000000      0.00000000    
     74229  ROTY   0.00000000      0.00000000    
     74231  ROTY   0.00000000      0.00000000    
     74233  ROTY   0.00000000      0.00000000    
     74235  ROTY   0.00000000      0.00000000    
     74237  ROTY   0.00000000      0.00000000    
     74239  ROTY   0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.422

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
     74241  ROTY   0.00000000      0.00000000    
     74243  ROTY   0.00000000      0.00000000    
     74245  ROTY   0.00000000      0.00000000    
     74247  ROTY   0.00000000      0.00000000    
     74249  ROTY   0.00000000      0.00000000    
     74251  ROTY   0.00000000      0.00000000    
     74253  ROTY   0.00000000      0.00000000    
     74255  ROTY   0.00000000      0.00000000    
     74257  ROTY   0.00000000      0.00000000    
     74259  ROTY   0.00000000      0.00000000    
     74261  ROTY   0.00000000      0.00000000    
     74263  ROTY   0.00000000      0.00000000    
     74265  ROTY   0.00000000      0.00000000    
     74267  ROTY   0.00000000      0.00000000    
     74269  ROTY   0.00000000      0.00000000    
     74271  ROTY   0.00000000      0.00000000    
     74273  ROTY   0.00000000      0.00000000    
     74275  ROTY   0.00000000      0.00000000    
     74277  ROTY   0.00000000      0.00000000    
     74279  ROTY   0.00000000      0.00000000    
     74281  ROTY   0.00000000      0.00000000    
     74283  ROTY   0.00000000      0.00000000    
     74285  ROTY   0.00000000      0.00000000    
     74287  ROTY   0.00000000      0.00000000    
     74289  ROTY   0.00000000      0.00000000    
     74291  ROTY   0.00000000      0.00000000    
     74293  ROTY   0.00000000      0.00000000    
     74295  ROTY   0.00000000      0.00000000    
     74297  ROTY   0.00000000      0.00000000    
     74299  ROTY   0.00000000      0.00000000    
     74301  ROTY   0.00000000      0.00000000    
     74303  ROTY   0.00000000      0.00000000    
     74305  ROTY   0.00000000      0.00000000    
     74307  ROTY   0.00000000      0.00000000    
     74309  ROTY   0.00000000      0.00000000    
     74311  ROTY   0.00000000      0.00000000    
     74313  ROTY   0.00000000      0.00000000    
     74315  ROTY   0.00000000      0.00000000    
     74317  ROTY   0.00000000      0.00000000    
     74319  ROTY   0.00000000      0.00000000    
     74321  ROTY   0.00000000      0.00000000    
     74323  ROTY   0.00000000      0.00000000    
     74325  ROTY   0.00000000      0.00000000    
     74327  ROTY   0.00000000      0.00000000    
     74329  ROTY   0.00000000      0.00000000    
     74331  ROTY   0.00000000      0.00000000    
     74333  ROTY   0.00000000      0.00000000    
     74335  ROTY   0.00000000      0.00000000    
     74337  ROTY   0.00000000      0.00000000    
     74339  ROTY   0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.422

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
     74341  ROTY   0.00000000      0.00000000    
     74343  ROTY   0.00000000      0.00000000    
