
 LIST CONSTRAINTS FOR SELECTED NODES         1 TO  2029626 BY        1
 CURRENTLY SELECTED DOF SET= UX   UY   UZ   ROTX ROTY ROTZ

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.408

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
      3640  UY     0.00000000      0.00000000    
      3640  UZ     0.00000000      0.00000000    
      3641  UX     0.00000000      0.00000000    
      3641  UY     0.00000000      0.00000000    
      3641  UZ     0.00000000      0.00000000    
      3643  UY     0.00000000      0.00000000    
      3643  UZ     0.00000000      0.00000000    
      3646  UY     0.00000000      0.00000000    
      3646  UZ     0.00000000      0.00000000    
      3794  UX     0.00000000      0.00000000    
      3794  UY     0.00000000      0.00000000    
      3794  UZ     0.00000000      0.00000000    
      3797  UY     0.00000000      0.00000000    
      3797  UZ     0.00000000      0.00000000    
      4087  UY     0.00000000      0.00000000    
      4087  UZ     0.00000000      0.00000000    
      4090  UX     0.00000000      0.00000000    
      4090  UY     0.00000000      0.00000000    
      4090  UZ     0.00000000      0.00000000    
      4248  UY     0.00000000      0.00000000    
      4248  UZ     0.00000000      0.00000000    
      4363  UY     0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.409

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
      4363  UZ     0.00000000      0.00000000    
      4366  UY     0.00000000      0.00000000    
      4366  UZ     0.00000000      0.00000000    
      4368  UX     0.00000000      0.00000000    
      4368  UY     0.00000000      0.00000000    
      4368  UZ     0.00000000      0.00000000    
      4369  UX     0.00000000      0.00000000    
      4369  UY     0.00000000      0.00000000    
      4369  UZ     0.00000000      0.00000000    
      4371  UY     0.00000000      0.00000000    
      4371  UZ     0.00000000      0.00000000    
      4374  UY     0.00000000      0.00000000    
      4374  UZ     0.00000000      0.00000000    
      4522  UX     0.00000000      0.00000000    
      4522  UY     0.00000000      0.00000000    
