      1.,  0.5325422306672562E-06,  0.3764589432149632E-07,  0.7069090891501199E-01
      2.,  0.1128348127221193E-03,  0.1069878318762782E-05,  0.9481810559632816E-02
      3.,  0.4060161365048469E-03,  0.2150135393696136E-04,  0.5295689506839263E-01
      4.,  0.3557142686569876E-03,  0.1852460995287004E-04,  0.5207721923219551E-01
      5.,  0.2774865567799446E-01,  0.2028674744644940E-05,  0.7310893789545781E-04
      6.,  0.3054462970802475E-01,  0.2548799138931935E-04,  0.8344508227128088E-03
      7.,  0.1142297252177757E-03,  0.9552388267258763E-06,  0.8362436527836702E-02
      8.,  0.1041751305492671E-03,  0.2771589669509337E-05,  0.2660509907591219E-01
      9.,  0.1325442377553859E-03,  0.4294559408154322E-05,  0.3240095141729248E-01
     10.,  0.4852260837012384E-01,  0.4739899297603548E-06,  0.9768434667502296E-05
     11.,  0.5139527092001027E-01,  0.5571531592925692E-04,  0.1084055301818921E-02
     12.,  0.2915474387930727E+00,  0.1215676553514343E-05,  0.4169738408771192E-05
     13.,  0.3428559133481030E-03,  0.4249531979765811E-05,  0.1239451272188280E-01
     14.,  0.2207074243104046E-03,  0.2820443169158139E-05,  0.1277910418270047E-01
     15.,  0.2941402515850717E+00,  0.7436854982151003E-04,  0.2528336377654897E-03
     16.,  0.9008232356462100E-03,  0.4621885118993539E-04,  0.5130734794688113E-01
     17.,  0.2340057713743779E+00,  0.1551364704969534E-05,  0.6629600184038017E-05
     18.,  0.4966982319826210E-03,  0.1076591358404194E-04,  0.2167495853784039E-01
     19.,  0.2359950258407614E+00,  0.9644520266491277E-04,  0.4086747266020326E-03
     20.,  0.4679764963762848E-03,  0.4845389817790727E-05,  0.1035391703495875E-01
     21.,  0.5681845778218600E-01,  0.5925869572290862E-05,  0.1042947979159823E-03
     22.,  0.5321270312090268E-01,  0.5832093639352454E-04,  0.1095996500328420E-02
     23.,  0.2599332062083524E+00,  0.8461860446118402E-06,  0.3255398019187938E-05
     24.,  0.2579580178817667E+00,  0.6542967460231458E-04,  0.2536446633432570E-03
     25.,  0.2705248143708239E-03,  0.1031973428053088E-04,  0.3814708940668574E-01
     26.,  0.1010338583500280E-02,  0.1165125800794244E-04,  0.1153203312059716E-01
     27.,  0.1205020805964682E-02,  0.5585978157730636E-04,  0.4635586481229897E-01
     28.,  0.1308242241557588E-02,  0.2401551415062348E-05,  0.1835708509307168E-02
     29.,  0.9063611300734115E-03,  0.3443403644234783E-04,  0.3799151938428650E-01
     30.,  0.1770798681708072E-02,  0.6896354717917167E-04,  0.3894488283255950E-01
     31.,  0.1506042790594533E-02,  0.5619720359684339E-05,  0.3731448000535143E-02
     32.,  0.1319840071346317E-02,  0.5219425220601839E-04,  0.3954589145999869E-01
     33.,  0.2249367887331109E-02,  0.1056677997051955E-03,  0.4697666411098769E-01
     34.,  0.6535239812620453E-03,  0.1825427923923751E-04,  0.2793207252163260E-01
     35.,  0.1262878848570148E-01,  0.1496581631202066E-04,  0.1185055583832543E-02
     36.,  0.1198331016885283E-01,  0.6892391191547875E-04,  0.5751658844200382E-02
     37.,  0.9406823053715508E-03,  0.3417512572072524E-04,  0.3633014624127191E-01
     38.,  0.2721744420177398E-02,  0.2251097995294434E-04,  0.8270791256541683E-02
     39.,  0.8821817502172611E+00,  0.2848050181990917E-01,  0.3228416572083369E-01
     40.,  0.9795501922659736E+00,  0.3255585944231004E-01,  0.3323551942448118E-01
     41.,  0.9925866720812948E+00,  0.3317548746370225E-01,  0.3342326508791276E-01
     42.,  0.1802968853755743E-02,  0.7133739354659993E-04,  0.3956662556760083E-01
     43.,  0.9229182355377563E+00,  0.3027725652220845E-01,  0.3280600096125180E-01
     44.,  0.1146448253257862E+01,  0.3957330246983177E-01,  0.3451817590316555E-01
     45.,  0.2775398606578642E-02,  0.9689412909604533E-04,  0.3491178847837323E-01
     46.,  0.7821517928425562E-02,  0.2851431905070699E-04,  0.3645624712701617E-02
     47.,  0.4430014706358806E-02,  0.6025008917443467E-05,  0.1360042644733260E-02
     48.,  0.6608071989213643E-02,  0.2357182992835603E-03,  0.3567126684883629E-01
     49.,  0.9971795518005859E+00,  0.3530387416499379E-01,  0.3540372854742792E-01
     50.,  0.1046973355792428E+01,  0.3570908679710898E-01,  0.3410696805181033E-01
     51.,  0.9812361495949815E+00,  0.3229261149862591E-01,  0.3291013229787256E-01
     52.,  0.5163621541408523E+00,  0.1899214266281576E-01,  0.3678066355272645E-01
     53.,  0.6414081769896331E+00,  0.2345547580282278E-01,  0.3656871964574577E-01
     54.,  0.3676052755170736E-02,  0.9509880248443862E-04,  0.2586981439552864E-01
     55.,  0.1110967735202909E+01,  0.4065957031905542E-01,  0.3659833587483013E-01
     56.,  0.1054558705099648E+01,  0.3803698201794141E-01,  0.3606909869882226E-01
     57.,  0.8540883144827423E-02,  0.2785247273085278E-03,  0.3261076431858331E-01
     58.,  0.2876686431412871E-01,  0.7378035066662988E-05,  0.2564768612281214E-03
     59.,  0.1069771344429048E+01,  0.3681329511922429E-01,  0.3441230250831973E-01
     60.,  0.2813376072954085E-01,  0.1621202695945869E-03,  0.5762481281941035E-02
     61.,  0.8039856579887004E+00,  0.2619568978641067E-01,  0.3258228492774785E-01
     62.,  0.9090618711457601E-02,  0.3397010945239682E-03,  0.3736831400659418E-01
     63.,  0.6427821660250965E-02,  0.4181695878324219E-04,  0.6505619009599202E-02
     64.,  0.9423842039481815E-02,  0.3042998260425451E-03,  0.3229042090982220E-01
     65.,  0.1020441409088725E+01,  0.3489316150610584E-01,  0.3419418419845009E-01
     66.,  0.3455907971032041E-01,  0.1617548931645239E-04,  0.4680532425063939E-03
     67.,  0.1107447066824874E+01,  0.4026226070705038E-01,  0.3635592337833807E-01
     68.,  0.1163521111850679E+01,  0.4390102202083897E-01,  0.3773117786492990E-01
     69.,  0.4550243570953570E+00,  0.1727598688142919E-01,  0.3796716947574028E-01
     70.,  0.7184171362401020E+00,  0.2722283261699784E-01,  0.3789279409379193E-01
     71.,  0.3323302143605018E-01,  0.1661422761599131E-03,  0.4999313001967583E-02
     72.,  0.8753580118942931E+00,  0.2899785401786970E-01,  0.3312685052726910E-01
     73.,  0.8570635622850398E+00,  0.3080181414825642E-01,  0.3593877455965448E-01
     74.,  0.1302983862465603E+01,  0.5073334574000619E-01,  0.3893628094825733E-01
     75.,  0.9860929013330365E+00,  0.3369203456061445E-01,  0.3416720119886101E-01
     76.,  0.9090327428083276E-02,  0.3382557844857603E-03,  0.3721051713063350E-01
     77.,  0.9781568427625686E-02,  0.4426932004539779E-04,  0.4525789537020438E-02
     78.,  0.1179833627373147E+01,  0.4536360565788251E-01,  0.3844915469894072E-01
     79.,  0.9235578624331949E+00,  0.3375162058155065E-01,  0.3654521492852545E-01
     80.,  0.6638403565395890E-02,  0.2050939129874705E-03,  0.3089506550288185E-01
