station,response,mean,sigma_multiseed,raw_rms,mean_plus_3p5sigma,mean_minus_3p5sigma,seed_count,sigma_seed_min,sigma_seed_max
L/4,lateral_common_m,16.170540547199387,4.495089356094556,16.783688805143345,31.90335329353033,0.43772780086844243,5,3.5202714633925445,5.145981062243674
L/2,lateral_common_m,21.50648627624103,6.212563955437475,22.385819235635417,43.250460120272194,-0.23748756779013291,5,4.763475406027096,7.133002845675926
3L/4,lateral_common_m,16.170153031478588,4.492778756349351,16.782696744413283,31.894878678701314,0.44542738425586137,5,3.4389384583143654,5.090041634528279
L/4,vertical_common_m,-0.07921344804171063,0.5713375075265624,0.5768026680393578,1.920467828301258,-2.0788947243846794,5,0.4113146701962278,0.6716278573669857
L/2,vertical_common_m,-0.10827943446988782,0.43556566224784077,0.4488227735515644,1.4162003833975547,-1.6327592523373304,5,0.3135101120636328,0.5910065588538407
3L/4,vertical_common_m,-0.07921515025611821,0.5697083447042283,0.5751892193493643,1.9147640562086807,-2.0731943567209172,5,0.4049266892191963,0.6733625851681317
L/4,local_roll_L_deg,2.3424513685771524,0.4479950818558845,2.3849062890428283,3.910434155072748,0.7744685820815567,5,0.4093369504129454,0.4889247707205879
L/2,local_roll_L_deg,1.617125701156466,0.2826776612939294,1.6416461840285188,2.606497515685219,0.627753886627713,5,0.27451198440444485,0.2911027547886773
3L/4,local_roll_L_deg,2.3278545446027814,0.45566213307482767,2.3720317789494567,3.9226720103646784,0.7330370788408846,5,0.4162856816704927,0.47092875639543375
L/4,local_roll_R_deg,2.3424502762074346,0.4479953563342573,2.384905267678644,3.910434023377335,0.7744665290375341,5,0.4093377432159785,0.4889250816225135
L/2,local_roll_R_deg,1.6171242073135437,0.28267770104611334,1.6416447193434311,2.6064961609749404,0.6277522536521469,5,0.274512316377248,0.29110237598037364
3L/4,local_roll_R_deg,2.3278534598971037,0.45566227717476254,2.372030742126882,3.922671430008773,0.7330354897854348,5,0.4162863843053981,0.47092839169879674
L/4,system_roll_deg,0.2207020288904278,0.1706768376352085,0.2789981513585826,0.8180709606136575,-0.3766669028328019,5,0.11480873538496159,0.23364179478216954
L/2,system_roll_deg,0.3255522661188598,0.08783230200572544,0.337192513633903,0.6329653231388987,0.018139209098820774,5,0.0734594897042363,0.0989585449931697
3L/4,system_roll_deg,0.221180116187394,0.17188856585166926,0.28011840865464865,0.8227900966682363,-0.3804298642934484,5,0.11381798881277495,0.23332802464363894
