source,rel,target,contract,note
event:site_gb50009_100yr,DRIVES,channel:Tcw,,
event:site_gb50009_100yr,DRIVES,channel:Tg,,
event:site_sutong_100yr_obs,DRIVES,channel:L,,
event:site_sutong_100yr_obs,DRIVES,channel:V,,
event:site_sutong_100yr_obs,DRIVES,channel:Tcw,,
event:site_sutong_100yr_obs,DRIVES,channel:Tg,,
event:hko_t10,DRIVES,channel:L,,
event:hko_t10,DRIVES,channel:V,,
event:hko_t10,DRIVES,channel:Tcw,,
event:hko_t10,DRIVES,channel:Tg,,
event:asce7_risk4_fl,DRIVES,channel:L,,
event:asce7_risk4_fl,DRIVES,channel:V,,
event:asce7_risk4_fl,DRIVES,channel:Tcw,,
event:asce7_risk4_fl,DRIVES,channel:Tg,,
event:ss_cat1,DRIVES,channel:L,,
event:ss_cat1,DRIVES,channel:V,,
event:ss_cat1,DRIVES,channel:Tcw,,
event:ss_cat1,DRIVES,channel:Tg,,
event:ss_cat2,DRIVES,channel:L,,
event:ss_cat2,DRIVES,channel:V,,
event:ss_cat2,DRIVES,channel:Tcw,,
event:ss_cat2,DRIVES,channel:Tg,,
event:ss_cat3,DRIVES,channel:L,,
event:ss_cat3,DRIVES,channel:V,,
event:ss_cat3,DRIVES,channel:Tcw,,
event:ss_cat3,DRIVES,channel:Tg,,
event:ss_cat4,DRIVES,channel:L,,
event:ss_cat4,DRIVES,channel:V,,
event:ss_cat4,DRIVES,channel:Tcw,,
event:ss_cat4,DRIVES,channel:Tg,,
event:ss_cat5,DRIVES,channel:L,,
event:ss_cat5,DRIVES,channel:V,,
event:ss_cat5,DRIVES,channel:Tcw,,
event:ss_cat5,DRIVES,channel:Tg,,
event:infa_2021_zhoushan,DRIVES,channel:L,,
event:infa_2021_zhoushan,DRIVES,channel:V,,
event:infa_2021_zhoushan,DRIVES,channel:Tcw,,
event:infa_2021_zhoushan,DRIVES,channel:Tg,,
event:doksuri_2023_jinjiang,DRIVES,channel:L,,
event:doksuri_2023_jinjiang,DRIVES,channel:V,,
event:doksuri_2023_jinjiang,DRIVES,channel:Tcw,,
event:doksuri_2023_jinjiang,DRIVES,channel:Tg,,
event:haiyan_2013_peak,DRIVES,channel:L,,
event:haiyan_2013_peak,DRIVES,channel:V,,
event:haiyan_2013_peak,DRIVES,channel:Tcw,,
event:haiyan_2013_peak,DRIVES,channel:Tg,,
event:meranti_2016_peak,DRIVES,channel:L,,
event:meranti_2016_peak,DRIVES,channel:V,,
event:meranti_2016_peak,DRIVES,channel:Tcw,,
event:meranti_2016_peak,DRIVES,channel:Tg,,
event:goni_2020_landfall,DRIVES,channel:L,,
event:goni_2020_landfall,DRIVES,channel:V,,
event:goni_2020_landfall,DRIVES,channel:Tcw,,
event:goni_2020_landfall,DRIVES,channel:Tg,,
event:tip_1979_peak,DRIVES,channel:L,,
event:tip_1979_peak,DRIVES,channel:V,,
event:tip_1979_peak,DRIVES,channel:Tcw,,
event:tip_1979_peak,DRIVES,channel:Tg,,
event:mangkhut_2018_peak,DRIVES,channel:L,,
event:mangkhut_2018_peak,DRIVES,channel:V,,
event:mangkhut_2018_peak,DRIVES,channel:Tcw,,
event:mangkhut_2018_peak,DRIVES,channel:Tg,,
event:lanyu_ryan_1995_gust,DRIVES,channel:L,,
event:lanyu_ryan_1995_gust,DRIVES,channel:V,,
event:lanyu_ryan_1995_gust,DRIVES,channel:Tcw,,
event:lanyu_ryan_1995_gust,DRIVES,channel:Tg,,
event:patricia_2015_peak,DRIVES,channel:L,,
event:patricia_2015_peak,DRIVES,channel:V,,
event:patricia_2015_peak,DRIVES,channel:Tcw,,
event:patricia_2015_peak,DRIVES,channel:Tg,,
event:dorian_2019_landfall,DRIVES,channel:L,,
event:dorian_2019_landfall,DRIVES,channel:V,,
event:dorian_2019_landfall,DRIVES,channel:Tcw,,
event:dorian_2019_landfall,DRIVES,channel:Tg,,
event:gustav_2008_cuba_gust,DRIVES,channel:L,,
event:gustav_2008_cuba_gust,DRIVES,channel:V,,
event:gustav_2008_cuba_gust,DRIVES,channel:Tcw,,
event:gustav_2008_cuba_gust,DRIVES,channel:Tg,,
event:amphan_2020_peak,DRIVES,channel:L,,
event:amphan_2020_peak,DRIVES,channel:V,,
event:amphan_2020_peak,DRIVES,channel:Tcw,,
event:amphan_2020_peak,DRIVES,channel:Tg,,
event:nargis_2008_peak,DRIVES,channel:L,,
event:nargis_2008_peak,DRIVES,channel:V,,
event:nargis_2008_peak,DRIVES,channel:Tcw,,
event:nargis_2008_peak,DRIVES,channel:Tg,,
event:bhola_1970_peak,DRIVES,channel:L,,
event:bhola_1970_peak,DRIVES,channel:V,,
event:bhola_1970_peak,DRIVES,channel:Tcw,,
event:bhola_1970_peak,DRIVES,channel:Tg,,
event:ef3_anchor,DRIVES,channel:L,,
event:ef3_anchor,DRIVES,channel:V,,
event:ef3_anchor,DRIVES,channel:Tcw,,
event:ef3_anchor,DRIVES,channel:Tg,,
event:ef4_anchor,DRIVES,channel:L,,
event:ef4_anchor,DRIVES,channel:V,,
event:ef4_anchor,DRIVES,channel:Tcw,,
event:ef4_anchor,DRIVES,channel:Tg,,
event:ef5_anchor,DRIVES,channel:L,,
event:ef5_anchor,DRIVES,channel:V,,
event:ef5_anchor,DRIVES,channel:Tcw,,
event:ef5_anchor,DRIVES,channel:Tg,,
event:funing_2016_ef4,DRIVES,channel:L,,
event:funing_2016_ef4,DRIVES,channel:V,,
event:funing_2016_ef4,DRIVES,channel:Tcw,,
event:funing_2016_ef4,DRIVES,channel:Tg,,
event:bridge_creek_1999_ref,DRIVES,channel:L,,
event:bridge_creek_1999_ref,DRIVES,channel:V,,
event:bridge_creek_1999_ref,DRIVES,channel:Tcw,,
event:bridge_creek_1999_ref,DRIVES,channel:Tg,,
event:dongfangzhixing_2015_downburst,DRIVES,channel:L,,
event:dongfangzhixing_2015_downburst,DRIVES,channel:V,,
event:dongfangzhixing_2015_downburst,DRIVES,channel:Tcw,,
event:dongfangzhixing_2015_downburst,DRIVES,channel:Tg,,
event:andrews_afb_1983_microburst,DRIVES,channel:L,,
event:andrews_afb_1983_microburst,DRIVES,channel:V,,
event:andrews_afb_1983_microburst,DRIVES,channel:Tcw,,
event:andrews_afb_1983_microburst,DRIVES,channel:Tg,,
event:midwest_derecho_2020,DRIVES,channel:L,,
event:midwest_derecho_2020,DRIVES,channel:V,,
event:midwest_derecho_2020,DRIVES,channel:Tcw,,
event:midwest_derecho_2020,DRIVES,channel:Tg,,
event:great_storm_1987,DRIVES,channel:L,,
event:great_storm_1987,DRIVES,channel:V,,
event:great_storm_1987,DRIVES,channel:Tcw,,
