id,type,label,mass_t,sha,coarsen,nodes,elements,n_ropes,y_eq_m,A_eq_mm2,n,n_stations,note,pass,rel,uy_frac,verdict,n_modes,reference_hz,matched_hz,rel_pct,usage,f_hz,family,parity,half_waves,category,confidence,U10,rms_L_max_mm,stationarity
s10,source,S10 V2.0 APDL,4108.46690758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deck,model,true3d_ccx.inp,,f089dee33377f1ea65ef7ec543525c85e39b323b091d3a5e27e8adfc14f4f242,4.0,5422.0,7477.0,,,,,,,,,,,,,,,,,,,,,,,,
line:MIB,rope_line,MIB,,,,,,8.0,-19.69,11149.35,,,,,,,,,,,,,,,,,,,,,
line:MIG,rope_line,MIG,,,,,,3.0,-19.5,4201.49,,,,,,,,,,,,,,,,,,,,,
line:MOB,rope_line,MOB,,,,,,8.0,-23.21,11149.35,,,,,,,,,,,,,,,,,,,,,
line:MOG,rope_line,MOG,,,,,,3.0,-23.4,4201.49,,,,,,,,,,,,,,,,,,,,,
line:PIB,rope_line,PIB,,,,,,8.0,19.69,11149.35,,,,,,,,,,,,,,,,,,,,,
line:PIG,rope_line,PIG,,,,,,3.0,19.5,4201.49,,,,,,,,,,,,,,,,,,,,,
line:POB,rope_line,POB,,,,,,8.0,23.21,11149.35,,,,,,,,,,,,,,,,,,,,,
line:POG,rope_line,POG,,,,,,3.0,23.4,4201.49,,,,,,,,,,,,,,,,,,,,,
portals,component,142 parametric portals,,,,,,,,,142.0,,,,,,,,,,,,,,,,,,,,
passages,component,passage stations,,,,,,,,,,63.0,63 x-stations = 21 clusters of 3,,,,,,,,,,,,,,,,,,
gate:G-P1,gate,G-P1,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
gate:G-P2,gate,G-P2,,,,,,,,,,,,True,2.3765418143813977e-07,,,,,,,,,,,,,,,,
gate:UY,gate,UY,,,,,,,,,,,,True,,0.01549243821468093,,,,,,,,,,,,,,,
gate:G-P3,gate,G-P3,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
gate:G-P4,gate,G-P4,,,,,,,,,,,,,,,FAIL_resid_over_W_and_residual_RB,,,,,,,,,,,,,,
family:L,mode_family,L family,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,
family:V,mode_family,V family,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,
family:T,mode_family,T family,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,
mode:15,mode,mode 15,,,,,,,,,,,,,,,,,,,,,0.1436809,T,A,2.0,,,,,
mode:16,mode,mode 16,,,,,,,,,,,,,,,,,,,,,0.1485789,V,A,4.0,,,,,
mode:17,mode,mode 17,,,,,,,,,,,,,,,,,,,,,0.1491797,V,S,1.0,,,,,
mode:18,mode,mode 18,,,,,,,,,,,,,,,,,,,,,0.151007,T,S,1.0,,,,,
mode:19,mode,mode 19,,,,,,,,,,,,,,,,,,,,,0.1553435,T,A,4.0,,,,,
mode:20,mode,mode 20,,,,,,,,,,,,,,,,,,,,,0.1683183,L,A,4.0,,,,,
mode:21,mode,mode 21,,,,,,,,,,,,,,,,,,,,,0.1689786,V,S,1.0,,,,,
mode:22,mode,mode 22,,,,,,,,,,,,,,,,,,,,,0.1699455,T,S,1.0,,,,,
mode:23,mode,mode 23,,,,,,,,,,,,,,,,,,,,,0.1819262,L,S,3.0,,,,,
mode:24,mode,mode 24,,,,,,,,,,,,,,,,,,,,,0.1905501,V,S,5.0,,,,,
mode:25,mode,mode 25,,,,,,,,,,,,,,,,,,,,,0.1932622,T,S,5.0,,,,,
mode:26,mode,mode 26,,,,,,,,,,,,,,,,,,,,,0.20061,V,S,1.0,,,,,
mode:27,mode,mode 27,,,,,,,,,,,,,,,,,,,,,0.2019636,T,S,1.0,,,,,
mode:28,mode,mode 28,,,,,,,,,,,,,,,,,,,,,0.2085326,L,S,5.0,,,,,
mode:29,mode,mode 29,,,,,,,,,,,,,,,,,,,,,0.2244597,V,A,6.0,,,,,
mode:30,mode,mode 30,,,,,,,,,,,,,,,,,,,,,0.2287947,T,A,6.0,,,,,
mode:31,mode,mode 31,,,,,,,,,,,,,,,,,,,,,0.2342753,V,A,2.0,,,,,
mode:32,mode,mode 32,,,,,,,,,,,,,,,,,,,,,0.2374167,T,A,2.0,,,,,
mode:33,mode,mode 33,,,,,,,,,,,,,,,,,,,,,0.2509946,L,A,6.0,,,,,
mode:34,mode,mode 34,,,,,,,,,,,,,,,,,,,,,0.2520066,V,A,2.0,,,,,
mode:35,mode,mode 35,,,,,,,,,,,,,,,,,,,,,0.2551038,T,A,2.0,,,,,
mode:36,mode,mode 36,,,,,,,,,,,,,,,,,,,,,0.2574442,L,A,4.0,,,,,
mode:37,mode,mode 37,,,,,,,,,,,,,,,,,,,,,0.2628033,V,S,7.0,,,,,
