id,category,stationarity,U10,Iu,truth_L_mm,pred_L_mm,rel_L_mm,truth_V_mm,pred_V_mm,rel_V_mm,truth_Tcw_rad,pred_Tcw_rad,rel_Tcw_rad,truth_Tg_rad,pred_Tg_rad,rel_Tg_rad,rel_max_abs
site_gb50009_50yr,design_code,stationary_ok,26.8,0.12,3719.881254407012,3747.4489217485184,0.007410899826129261,390.8854734487762,393.79221500746104,0.007436299776092164,0.0133865766889936,0.013485633361691368,0.00739970158160088,0.0130464310377967,0.013125486070373553,0.006059514080733864,0.007436299776092164
site_gb50009_100yr,design_code,stationary_ok,28.3,0.12,4195.8198044692135,4252.191685203368,0.013435248261641202,439.7975400916817,445.8331691731605,0.013723653570733045,0.015093068458293,0.015295741083721622,0.01342819228499963,0.0146088857280304,0.014769845391379762,0.011017928837688493,0.013723653570733045
site_sutong_100yr_obs,design_code,stationary_ok,38.9,0.11,7705.516894451661,7709.648275627782,0.0005361588628915808,803.6527155362743,804.0853083060958,0.0005382832179356057,0.0277149284447779,0.027730065724866013,0.0005461778520653728,0.0263219751816591,0.026340961959318232,0.0007213279979218059,0.0007213279979218059
hko_t10,design_code,stationary_ok,32.8,0.12,5802.386118377836,5834.997928570001,0.005620413658593608,605.8941432493164,609.3293334001281,0.005669620987569498,0.0208554780604769,0.020976940980791416,0.0058240295409338295,0.0198042795008123,0.019974878168491587,0.008614232478000045,0.008614232478000045
asce7_risk4_fl,design_code,stationary_ok,58.3,0.12,19842.54313027674,19863.22857955308,0.00104247974367653,2077.225163144908,2079.399447154018,0.0010467252408103268,0.0717558996852161,0.07183350779706159,0.0010815572264572099,0.0699247942591944,0.07001009992809837,0.001219963101897163,0.001219963101897163
ss_cat1,hurricane,stationary_ok,28.9,0.12,4394.549008092804,4454.088790585308,0.01354855353367505,460.20913936042666,466.6495508394403,0.013994531894703675,0.0158056432515259,0.016019784172533722,0.013548383801915191,0.0152578772178495,0.015427589119782245,0.011122903894796499,0.013994531894703675
ss_cat2,hurricane,stationary_ok,37.7,0.12,7855.40176811567,7903.864251326941,0.00616931948763907,819.4122995624124,824.4912567701957,0.0061982926183749365,0.0282488267121906,0.028426579516670176,0.0062923960095966885,0.0267819421165938,0.027012175186766046,0.008596578589033557,0.008596578589033557
ss_cat3,hurricane,stationary_ok,43.9,0.12,10900.438664797592,11028.584700044983,0.011756043879337853,1136.973747383538,1151.222382116598,0.012532070125497383,0.0392439313493331,0.03972412647678315,0.012236162661063607,0.0375446376654392,0.0380464324704544,0.013365285596486528,0.013365285596486528
ss_cat4,hurricane,stationary_ok,50.9,0.12,14926.503417238726,15053.345266925255,0.008497760402482355,1560.0597261218688,1573.4804559145434,0.008602702555521384,0.0538509220843588,0.05432624524090303,0.008826648423951278,0.0520014724333568,0.052511352267944816,0.00980510379281006,0.00980510379281006
ss_cat5,hurricane,stationary_ok,61.4,0.12,22098.47673913948,22269.966436568982,0.0077602496974720665,2314.61559559331,2332.595077368791,0.007767804645277285,0.0799937393925354,0.08063834160126289,0.008058158221162477,0.0782377190403572,0.07894025116463078,0.008979455598791136,0.008979455598791136
