case_index,github_scenario_id,i08_case_id,category,confidence,stationarity,stationarity_interpretation,station,response,unit,mean,sigma,raw_rms_convention,mean_plus_3p5sigma,mean_minus_3p5sigma,sample_max,sample_min,first_half_sigma,second_half_sigma,half_sigma_relative_difference,half_mean_difference_over_sigma,stationarity_metric_is_solver_gate
1,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/4,lateral_common_m,m,19.10779998522893,14.513354269494275,23.99469675631185,69.90453992845889,-31.688939958001036,48.228150071066345,-7.369859436797835,14.161436836505528,14.846425515085832,0.047197130715680685,0.05742602484521147,False
1,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/2,lateral_common_m,m,25.41298090512228,20.43486922826364,32.609867814211476,96.93502320404502,-46.10906139380046,66.70270021068454,-12.014157729062998,19.964476052568603,20.880982685745447,0.04485013449017899,0.05543046096924501,False
1,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,3L/4,lateral_common_m,m,19.10734208013524,14.480565558556272,23.974513556336298,69.7893215350822,-31.574637374811715,50.64551826897577,-6.939149987673275,14.175563682788534,14.765690105820795,0.040752995499099665,0.06450398955587199,False
1,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/4,vertical_common_m,m,-0.09360198670554752,0.9914280240341826,0.9958367631070613,3.3763960974140916,-3.5636000708251867,2.6454098434995337,-2.3716740335871678,1.0474164305707339,0.9321703578924624,0.11624250059961791,0.0005476291339144768,False
1,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/2,vertical_common_m,m,-0.12794759521644541,0.5923239782842836,0.6059853813188829,1.9451863287785474,-2.201081519211438,1.5769348194187711,-1.945374842644538,0.6238691501624346,0.5576295925775221,0.11182994444489817,0.09520770634639329,False
1,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,3L/4,vertical_common_m,m,-0.09360399811475993,0.9960678326783661,1.000456313768695,3.392633416259521,-3.579841412489041,2.4134167291088904,-2.854042336497679,1.0470747793601638,0.9422949205810078,0.10519349721133878,0.019169847646632075,False
1,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/4,local_roll_L_deg,deg,2.7679403848778095,1.731044501226381,3.26466063159153,8.826596139170142,-3.290715369414524,6.699141118240773,-1.728625804353587,1.9549873703410663,1.4725867085001758,0.27867606032030223,0.045058711911451305,False
1,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/2,local_roll_L_deg,deg,1.9108646590060607,0.5580000846189659,1.9906701985695978,3.863864955172441,-0.04213563716031987,3.5931569333245097,0.3615266765141252,0.5356747469800274,0.5781012149330287,0.07603308515978544,0.10236630175946276,False
1,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,3L/4,local_roll_L_deg,deg,2.750692155475292,1.7463418036018847,3.2582229864146486,8.862888468081888,-3.3615041571313045,6.319423333457273,-2.1914588539032884,1.9913213438732336,1.454315076368431,0.3075035290326386,0.11317570036347652,False
1,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/4,local_roll_R_deg,deg,2.767939094087017,1.736351657310866,3.267476687969089,8.845169894675047,-3.3092917065010137,6.462261767905131,-1.9176913428379918,1.9557886780402554,1.4842691093407558,0.2715576460068892,0.03796027588913971,False
1,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/2,local_roll_R_deg,deg,1.9108628938176264,0.5590791934305483,1.9909712563209008,3.8676400708245455,-0.04591428318929269,3.736666745992072,0.3064413919573843,0.537662338569473,0.5782696156891245,0.07263242416603355,0.10473545206606578,False
1,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,3L/4,local_roll_R_deg,deg,2.7506908737407687,1.7402866320633028,3.254980467624804,8.84169408596233,-3.3403123384807913,6.558796534796311,-2.3769973675188543,1.981458685351129,1.4524660296293486,0.3039686945676304,0.12014942191826661,False
1,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/4,system_roll_deg,deg,0.26079092483409394,1.6656737199163048,1.6859658500976948,6.090648944541161,-5.569067094872973,3.4615818240427547,-3.442261819805858,1.9185239609974152,1.3666632238955247,0.3313138284547227,0.025437954576448284,False
1,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/2,system_roll_deg,deg,0.38468643441938527,0.43918142609121186,0.5838355743270622,1.9218214257386268,-1.1524485568998564,1.5474459898280206,-0.8777747644972063,0.386665462725508,0.4860713247359808,0.22634350203559744,0.013388253784339992,False
1,site_gb50009_50yr,I08-site_gb50009_50yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,3L/4,system_roll_deg,deg,0.26135585316294857,1.679588475017823,1.699801261146499,6.1399155157253285,-5.617203809399432,3.4915128258447874,-3.4601625684008246,1.944003594339019,1.3640424388588837,0.34529955647259436,0.04409807291534656,False
2,site_gb50009_100yr,I08-site_gb50009_100yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/4,lateral_common_m,m,21.306591014382384,16.546945667140776,26.97725396635968,79.2209008493751,-36.60771882061033,54.43644816602091,-8.878407608705501,16.148209206082342,16.92564630990196,0.046983722522487475,0.05447334788792502,False
2,site_gb50009_100yr,I08-site_gb50009_100yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/2,lateral_common_m,m,28.3373277415674,23.294824113699757,36.683142913621964,109.86921213951655,-53.19455665638176,75.28639938334449,-14.27161203825819,22.759353943595983,23.804312510937276,0.044857971978708784,0.052733527782362094,False
2,site_gb50009_100yr,I08-site_gb50009_100yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,3L/4,lateral_common_m,m,21.306080416795925,16.50810212932371,26.953042474629036,79.08443786942891,-36.47227703583707,57.17944769918816,-8.320448265925151,16.160822569790128,16.834340130024444,0.04079921210554737,0.061359932634864174,False
2,site_gb50009_100yr,I08-site_gb50009_100yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/4,vertical_common_m,m,-0.10437304401398685,1.1323078961682094,1.1371081320796286,3.858704592574746,-4.06745068060272,3.0062073731883148,-2.7135993361954815,1.1959347391806177,1.0649858054255243,0.11564781469618955,0.0014775647660671752,False
2,site_gb50009_100yr,I08-site_gb50009_100yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/2,vertical_common_m,m,-0.14267090322580062,0.6789260591009867,0.6937546975362849,2.2335703036276526,-2.518912110079254,1.8135236391461016,-2.224643775799158,0.715262626482243,0.6390883865178761,0.11219813843238617,0.09134712099333621,False
2,site_gb50009_100yr,I08-site_gb50009_100yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,3L/4,vertical_common_m,m,-0.10437528688200338,1.137739080713975,1.1425167028519019,3.8777114956169085,-4.086462069380915,2.7706111511588483,-3.242932570766007,1.1956183865134289,1.0767622609615155,0.10446694463314612,0.017396887718462508,False
2,site_gb50009_100yr,I08-site_gb50009_100yr-S20260805,design_code,B,stationary_ok,STATIONARY_SPECTRAL_MAPPING,L/4,local_roll_L_deg,deg,3.0864554673156435,1.9116087019027839,3.6304896613147206,9.777085923975386,-3.6041749893441,7.493698533659677,-1.9500488605307118,2.153846999048827,1.6329728245645279,0.2724794953935026,0.04343522026090545,False
