category,event_count,station,response,unit,category_aggregation,maximum_sigma,maximum_sigma_case_id,maximum_mean_plus_3p5sigma,maximum_mean_plus_case_id,minimum_mean_minus_3p5sigma,minimum_mean_minus_case_id,reference_only_event_count
hurricane,8,3L/4,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,13.26390466310548,I08-patricia_2015_peak-S20260805,45.501908560362864,I08-patricia_2015_peak-S20260805,-47.3454240813755,I08-patricia_2015_peak-S20260805,0
hurricane,8,L/4,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,14.767809936898157,I08-patricia_2015_peak-S20260805,78.94440265835887,I08-patricia_2015_peak-S20260805,-24.430266899928228,I08-patricia_2015_peak-S20260805,0
hurricane,8,L/2,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,7.9580640008071635,I08-patricia_2015_peak-S20260805,46.670308360232966,I08-patricia_2015_peak-S20260805,-9.036139645417176,I08-patricia_2015_peak-S20260805,0
hurricane,8,3L/4,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,14.40606131947951,I08-patricia_2015_peak-S20260805,77.5084319608036,I08-patricia_2015_peak-S20260805,-23.33399727555297,I08-patricia_2015_peak-S20260805,0
hurricane,8,L/4,local_roll_R_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,14.84634945381206,I08-patricia_2015_peak-S20260805,79.21927825660016,I08-patricia_2015_peak-S20260805,-24.705167920084268,I08-patricia_2015_peak-S20260805,0
hurricane,8,L/2,local_roll_R_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,7.981608834870674,I08-patricia_2015_peak-S20260805,46.75269789690567,I08-patricia_2015_peak-S20260805,-9.118563947189042,I08-patricia_2015_peak-S20260805,0
hurricane,8,3L/4,local_roll_R_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,14.256723852085797,I08-patricia_2015_peak-S20260805,76.98573820314908,I08-patricia_2015_peak-S20260805,-22.8113287614515,I08-patricia_2015_peak-S20260805,0
hurricane,8,L/4,system_roll_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,8.939728566309542,I08-patricia_2015_peak-S20260805,33.85716740951131,I08-patricia_2015_peak-S20260805,-28.720932554655484,I08-patricia_2015_peak-S20260805,0
hurricane,8,L/2,system_roll_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,4.325320349507419,I08-patricia_2015_peak-S20260805,18.92678960741744,I08-patricia_2015_peak-S20260805,-11.350452839134496,I08-patricia_2015_peak-S20260805,0
hurricane,8,3L/4,system_roll_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,9.041225116719737,I08-patricia_2015_peak-S20260805,34.21796842173114,I08-patricia_2015_peak-S20260805,-29.070607395307015,I08-patricia_2015_peak-S20260805,0
