mode,freq,family,symmetry,order_hint,local_gate,share_L,share_V,share_T,side_ratio,r_gate,r_toppost,r_cable_t4,effm_x,effm_y,effm_z,effm_rx,effm_ry,effm_rz
1,0.03682119593414085,L,S,LS,False,0.9999995914251744,4.3148781911438624e-08,3.6542604361962107e-07,0.0,0.9088082586740095,0.8066333801212475,0.09046072081610491,3.809883742508645e-13,1753.732907100857,2.314754884353568e-13,43788870093781.49,1.685546619568753,6033948424495375.0
2,0.07153589097424329,V,A,VA,False,3.3205255752434393e-13,0.9999999207480712,7.925159665939093e-08,0.0,0.08690307261866152,0.03396797529389921,0.9126455619489259,239.3837135610451,3.142731268657841e-13,1.755000698167951e-08,8.414753691560625,618709853905054.4,673.4318682733648
3,0.07335658939599751,T,A,TA,False,0.5086814117029185,0.007268962819968273,0.4840496254771132,0.0,0.8372441425942594,0.02419061882059323,0.156704636157484,1.07911710021072e-08,5.766468625012552e-08,1.212663851550412e-10,422956.2447192371,26179.15566604106,269129687969398.1
4,0.07378852229735794,L,A,LA,False,0.5501219382116846,0.006438789561872836,0.4434392722264425,0.0,0.8484248252543243,0.0970469007468451,0.146045085131983,5.707111598903726e-09,4.05356867470761e-09,1.314302265113558e-10,435340.6917233425,13038.03456191585,309211824030572.3
5,0.1012856826803289,V,S,VS,False,1.9952510379768414e-13,0.9999996264552908,3.7354450975483547e-07,0.0,0.001167818621080008,0.000327412335291108,0.9988284198248383,2.060844577602817e-07,1.825795332546018e-10,139.6016281782117,266.5490298967906,480310622838592.1,559.6579543366157
6,0.1033801414634735,T,S,TS,False,0.012560169593436268,0.014946267955167594,0.9724935624513962,0.0,0.01554333448106844,0.005216711981047697,0.9843695170195397,2.921723322336179e-09,0.3486263866760057,6.13438061887818e-08,198106835050.4272,281070.3032398212,1199993415921.288
7,0.1102662828577342,L,S,LS,False,0.9985835360622247,2.346957923965793e-05,0.001392994358535512,0.0,0.3140767216033105,0.282397718381394,0.685803680277055,1.987847211672834e-12,197.4721795371059,9.285688650168777e-12,20186307364975.7,11.90685317559067,679483661847085.8
8,0.1162246851128233,SIDE,NA,SIDE,False,0.8513905242555907,0.06769251601384223,0.015558348262972714,1.0,0.8019495015150433,0.7308123584163809,0.1976076337830722,6.272194573408482e-11,553.1835540605051,2.118624430997245e-12,26207485997646.38,5.457146397240368,6266928753477737.0
9,0.1248567292060132,SIDE,NA,SIDE,False,0.4037989330335033,0.351751697366319,0.027471429175954083,1.0,0.852167567273715,0.7762261819222382,0.1472199279525409,1.017158985027176e-10,526.4937135094468,4.546127129048734e-11,18436781415590.14,19.89548452641206,74453817743500.92
10,0.135484864822033,SIDE,NA,SIDE,False,0.023091050342964433,0.1674264121616395,0.403784753526889,1.0,0.001451769729600182,0.0001994155261665451,0.9985477571921508,57.79881476226574,9.481462859868362e-11,132.3028650832039,15.71668704668413,1026594724943589.0,1094.218222780374
