master_node,slave_node,reason,mz,sz
2003504,2003519,top_pin_rotx,281782.671991,281702.671991
2003561,2003580,top_pin_rotx,260548.189389,260468.189389
2003568,2003583,top_pin_rotx,260548.189389,260468.189389
2003625,2003644,top_pin_rotx,240525.871111,240445.871111
2003632,2003647,top_pin_rotx,240525.871111,240445.871111
2003689,2003708,top_pin_rotx,221710.525991,221630.525991
2003696,2003711,top_pin_rotx,221710.525991,221630.525991
2003753,2003772,top_pin_rotx,204163.263390,204083.263390
2003760,2003775,top_pin_rotx,204163.263390,204083.263390
2003817,2003836,top_pin_rotx,187813.261691,187733.261691
2003824,2003839,top_pin_rotx,187813.261691,187733.261691
2003881,2003900,top_pin_rotx,172656.260274,172576.260274
2003888,2003903,top_pin_rotx,172656.260274,172576.260274
2003945,2003964,top_pin_rotx,158754.324301,158674.324301
2003952,2003967,top_pin_rotx,158754.324301,158674.324301
2004009,2004028,top_pin_rotx,146037.588773,145957.588773
2004016,2004031,top_pin_rotx,146037.588773,145957.588773
2004073,2004092,top_pin_rotx,122644.322679,122564.322679
2004080,2004095,top_pin_rotx,122644.322679,122564.322679
2004137,2004156,top_pin_rotx,110270.775850,110190.775850
2004144,2004159,top_pin_rotx,110270.775850,110190.775850
2004201,2004220,top_pin_rotx,98981.254973,98901.254973
2004208,2004223,top_pin_rotx,98981.254973,98901.254973
2004265,2004284,top_pin_rotx,88835.795062,88755.795062
2004272,2004287,top_pin_rotx,88835.795062,88755.795062
2004329,2004348,top_pin_rotx,79769.063544,79689.063544
2004336,2004351,top_pin_rotx,79769.063544,79689.063544
2004393,2004412,top_pin_rotx,71778.879421,71698.879421
2004400,2004415,top_pin_rotx,71778.879421,71698.879421
2004457,2004476,top_pin_rotx,64926.086466,64846.086466
2004464,2004479,top_pin_rotx,64926.086466,64846.086466
2004521,2004540,top_pin_rotx,59146.161482,59066.161482
2004528,2004543,top_pin_rotx,59146.161482,59066.161482
2004585,2004604,top_pin_rotx,81309.225927,81229.225927
2004592,2004607,top_pin_rotx,81309.225927,81229.225927
2004649,2004668,top_pin_rotx,100859.026597,100779.026597
2004656,2004671,top_pin_rotx,100859.026597,100779.026597
2004713,2004732,top_pin_rotx,121521.541763,121441.541763
2004720,2004735,top_pin_rotx,121521.541763,121441.541763
2004777,2004796,top_pin_rotx,143364.627106,143284.627106
2004784,2004799,top_pin_rotx,143364.627106,143284.627106
2004841,2004860,top_pin_rotx,166330.768180,166250.768180
2004848,2004863,top_pin_rotx,166330.768180,166250.768180
2004905,2004924,top_pin_rotx,190425.383196,190345.383196
2004912,2004927,top_pin_rotx,190425.383196,190345.383196
2004969,2004988,top_pin_rotx,215717.124846,215637.124846
2004976,2004991,top_pin_rotx,215717.124846,215637.124846
2005033,2005052,top_pin_rotx,242149.411112,242069.411112
2005040,2005055,top_pin_rotx,242149.411112,242069.411112
2005097,2005116,top_pin_rotx,269728.777314,269648.777314
2005104,2005119,top_pin_rotx,269728.777314,269648.777314
2005161,2005180,top_pin_rotx,298524.102581,298444.102581
2005168,2005183,top_pin_rotx,298524.102581,298444.102581
2005225,2005244,top_pin_rotx,328479.474810,328399.474810
2005232,2005247,top_pin_rotx,328479.474810,328399.474810
2005289,2005308,top_pin_rotx,325707.590843,325627.590843
2005296,2005311,top_pin_rotx,325707.590843,325627.590843
2005353,2005372,top_pin_rotx,304865.926958,304785.926958
2005360,2005375,top_pin_rotx,304865.926958,304785.926958
2005417,2005436,top_pin_rotx,285134.591256,285054.591256
2005424,2005439,top_pin_rotx,285134.591256,285054.591256
2005481,2005500,top_pin_rotx,266578.030817,266498.030817
2005488,2005503,top_pin_rotx,266578.030817,266498.030817
2005545,2005564,top_pin_rotx,249125.603532,249045.603532
2005552,2005567,top_pin_rotx,249125.603532,249045.603532
2005609,2005628,top_pin_rotx,232773.153448,232693.153448
2005616,2005631,top_pin_rotx,232773.153448,232693.153448
2005673,2005692,top_pin_rotx,217579.491916,217499.491916
2005680,2005695,top_pin_rotx,217579.491916,217499.491916
2005737,2005756,top_pin_rotx,203478.061519,203398.061519
2005744,2005759,top_pin_rotx,203478.061519,203398.061519
2005801,2005820,top_pin_rotx,190465.488463,190385.488463
2005808,2005823,top_pin_rotx,190465.488463,190385.488463
2005865,2005884,top_pin_rotx,178601.388687,178521.388687
2005872,2005887,top_pin_rotx,178601.388687,178521.388687
2005929,2005948,top_pin_rotx,167820.010162,167740.010162
2005936,2005951,top_pin_rotx,167820.010162,167740.010162
2005993,2006012,top_pin_rotx,158118.763593,158038.763593
2006000,2006015,top_pin_rotx,158118.763593,158038.763593
2006057,2006076,top_pin_rotx,150424.124552,150344.124552
2006064,2006079,top_pin_rotx,150424.124552,150344.124552
2006121,2006140,top_pin_rotx,143621.913674,143541.913674
2006128,2006143,top_pin_rotx,143621.913674,143541.913674
2006185,2006204,top_pin_rotx,137931.398326,137851.398326
2006192,2006207,top_pin_rotx,137931.398326,137851.398326
2006249,2006268,top_pin_rotx,132943.060272,132863.060272
2006256,2006271,top_pin_rotx,132943.060272,132863.060272
2006313,2006332,top_pin_rotx,128843.571087,128763.571087
2006320,2006335,top_pin_rotx,128843.571087,128763.571087
2006377,2006396,top_pin_rotx,125405.265167,125325.265167
2006384,2006399,top_pin_rotx,125405.265167,125325.265167
2006441,2006460,top_pin_rotx,123183.324608,123103.324608
2006448,2006463,top_pin_rotx,123183.324608,123103.324608
2006505,2006524,top_pin_rotx,121848.342722,121768.342722
2006512,2006527,top_pin_rotx,121848.342722,121768.342722
2006569,2006588,top_pin_rotx,121407.000000,121327.000000
2006576,2006591,top_pin_rotx,121407.000000,121327.000000
2006633,2006652,top_pin_rotx,121878.226346,121798.226346
2006640,2006655,top_pin_rotx,121878.226346,121798.226346
2006697,2006716,top_pin_rotx,123236.638201,123156.638201
2006704,2006719,top_pin_rotx,123236.638201,123156.638201
2006761,2006780,top_pin_rotx,125382.852353,125302.852353
2006768,2006783,top_pin_rotx,125382.852353,125302.852353
2006825,2006844,top_pin_rotx,128548.256815,128468.256815
2006832,2006847,top_pin_rotx,128548.256815,128468.256815
2006889,2006908,top_pin_rotx,132601.651787,132521.651787
2006896,2006911,top_pin_rotx,132601.651787,132521.651787
2006953,2006972,top_pin_rotx,137956.620262,137876.620262
2006960,2006975,top_pin_rotx,137956.620262,137876.620262
2007017,2007036,top_pin_rotx,143891.391914,143811.391914
2007024,2007039,top_pin_rotx,143891.391914,143811.391914
2007081,2007100,top_pin_rotx,150717.266461,150637.266461
2007088,2007103,top_pin_rotx,150717.266461,150637.266461
2007145,2007164,top_pin_rotx,158121.687301,158041.687301
2007152,2007167,top_pin_rotx,158121.687301,158041.687301
2007209,2007228,top_pin_rotx,167823.282074,167743.282074
2007216,2007231,top_pin_rotx,167823.282074,167743.282074
2007273,2007292,top_pin_rotx,178605.009594,178525.009594
2007280,2007295,top_pin_rotx,178605.009594,178525.009594
2007337,2007356,top_pin_rotx,190469.459247,190389.459247
2007344,2007359,top_pin_rotx,190469.459247,190389.459247
2007401,2007420,top_pin_rotx,203482.383138,203402.383138
2007408,2007423,top_pin_rotx,203482.383138,203402.383138
2007465,2007484,top_pin_rotx,217584.165419,217504.165419
2007472,2007487,top_pin_rotx,217584.165419,217504.165419
2007529,2007548,top_pin_rotx,232778.179963,232698.179963
2007536,2007551,top_pin_rotx,232778.179963,232698.179963
2007593,2007612,top_pin_rotx,249130.984276,249050.984276
2007600,2007615,top_pin_rotx,249130.984276,249050.984276
2007657,2007676,top_pin_rotx,266583.767085,266503.767085
2007664,2007679,top_pin_rotx,266583.767085,266503.767085
2007721,2007740,top_pin_rotx,285140.684433,285060.684433
2007728,2007743,top_pin_rotx,285140.684433,285060.684433
2007785,2007804,top_pin_rotx,304869.096078,304789.096078
2007792,2007807,top_pin_rotx,304869.096078,304789.096078
2007849,2007868,top_pin_rotx,325710.992158,325630.992158
2007856,2007871,top_pin_rotx,325710.992158,325630.992158
2007913,2007932,top_pin_rotx,328043.298174,327963.298174
2007920,2007935,top_pin_rotx,328043.298174,327963.298174
2007977,2007996,top_pin_rotx,304301.093862,304221.093862
2007984,2007999,top_pin_rotx,304301.093862,304221.093862
2008041,2008060,top_pin_rotx,281782.671991,281702.671991
2008048,2008063,top_pin_rotx,281782.671991,281702.671991
2008105,2008124,top_pin_rotx,260548.189389,260468.189389
2008112,2008127,top_pin_rotx,260548.189389,260468.189389
2008169,2008188,top_pin_rotx,240525.871111,240445.871111
2008176,2008191,top_pin_rotx,240525.871111,240445.871111
2008233,2008252,top_pin_rotx,221710.525991,221630.525991
2008240,2008255,top_pin_rotx,221710.525991,221630.525991
2008297,2008316,top_pin_rotx,204163.263390,204083.263390
2008304,2008319,top_pin_rotx,204163.263390,204083.263390
2008361,2008380,top_pin_rotx,187813.261691,187733.261691
2008368,2008383,top_pin_rotx,187813.261691,187733.261691
2008425,2008444,top_pin_rotx,172656.260274,172576.260274
2008432,2008447,top_pin_rotx,172656.260274,172576.260274
2008489,2008508,top_pin_rotx,158754.324301,158674.324301
2008496,2008511,top_pin_rotx,158754.324301,158674.324301
2008553,2008572,top_pin_rotx,146037.588773,145957.588773
2008560,2008575,top_pin_rotx,146037.588773,145957.588773
2008617,2008636,top_pin_rotx,122644.322679,122564.322679
2008624,2008639,top_pin_rotx,122644.322679,122564.322679
2008681,2008700,top_pin_rotx,110270.775850,110190.775850
2008688,2008703,top_pin_rotx,110270.775850,110190.775850
2008745,2008764,top_pin_rotx,98981.254973,98901.254973
2008752,2008767,top_pin_rotx,98981.254973,98901.254973
2008809,2008828,top_pin_rotx,88835.795062,88755.795062
2008816,2008831,top_pin_rotx,88835.795062,88755.795062
2008873,2008892,top_pin_rotx,79769.063544,79689.063544
2008880,2008895,top_pin_rotx,79769.063544,79689.063544
2008937,2008956,top_pin_rotx,71778.879421,71698.879421
2008944,2008959,top_pin_rotx,71778.879421,71698.879421
2009001,2009020,top_pin_rotx,64926.086466,64846.086466
2009008,2009023,top_pin_rotx,64926.086466,64846.086466
2009065,2009084,top_pin_rotx,59146.161482,59066.161482
2009072,2009087,top_pin_rotx,59146.161482,59066.161482
