mode_count,highest_frequency_hz,mid_lateral_mean_m,mid_lateral_sigma_m,mid_vertical_mean_m,mid_vertical_sigma_m,mid_local_roll_mean_deg,mid_local_roll_sigma_deg,mid_system_roll_mean_deg,mid_system_roll_sigma_deg
30,0.23206190853179348,47.8643236926976,17.950907691847934,-0.2497731826153553,1.400851613348588,0.9189505752926825,0.25452179423404697,0.8582729281592468,0.24775251115211544
50,0.324927606772004,47.75764122712939,17.945840189813445,-0.237936121308277,1.4014295985417935,2.069063406893136,0.3645671633335185,0.7959529470195869,0.2447416826622843
100,0.4766489250607221,47.85141359974733,17.95204593067497,-0.2405079434665684,1.4025028826468402,3.6318995702953916,0.7026286697735429,0.7222147632442402,0.2380692188804999
150,0.5790844284596351,47.85520181649726,17.952517889484355,-0.2409382045293372,1.4023976123509032,3.5983488912782775,0.7047898084889732,0.7244032891669873,0.23828294365976835
