passage_index,passage_id,span,gate_index,catwalk,gate_name,subsystem,mct_node,family,rope_index,ansys_rope_node,rope_x_mm,rope_y_mm,rope_z_mm,beam_axis_x_mm,beam_axis_y_mm,beam_axis_z_mm,rigid_offset_z_mm,surface_gap_mm,original_mass21_element_id,original_mass21_real_id,original_combined_mass_tonne
1,H01,north_side,3,2,CW2_GATE_03,bottom,42,BOTTOM_PHI50,7,18428,20340.0,203909.0,112301.044092026,20340.0,203913.65000000002,112413.544092026,112.5,0.0,515706,200013,0.4469202529063838
1,H01,north_side,3,2,CW2_GATE_03,bottom,42,BOTTOM_PHI50,8,19156,20600.0,203909.0,112301.044092026,20600.0,203913.65000000002,112413.544092026,112.5,0.0,516399,200013,0.4469202529063838
1,H01,north_side,3,2,CW2_GATE_03,bottom,42,BOTTOM_PHI50,9,19884,22300.0,203909.0,112301.044092026,22300.0,203913.65000000002,112413.544092026,112.5,0.0,517092,200013,0.4469202529063838
1,H01,north_side,3,2,CW2_GATE_03,bottom,42,BOTTOM_PHI50,10,20612,22560.0,203909.0,112301.044092026,22560.0,203913.65000000002,112413.544092026,112.5,0.0,517785,200013,0.4469202529063838
1,H01,north_side,3,2,CW2_GATE_03,bottom,42,BOTTOM_PHI50,11,21340,22820.0,203909.0,112301.044092026,22820.0,203913.65000000002,112413.544092026,112.5,0.0,518478,200013,0.4469202529063838
1,H01,north_side,3,2,CW2_GATE_03,bottom,42,BOTTOM_PHI50,12,22068,23080.0,203909.0,112301.044092026,23080.0,203913.65000000002,112413.544092026,112.5,0.0,519171,200013,0.4469202529063838
1,H01,north_side,3,2,CW2_GATE_03,bottom,42,BOTTOM_PHI50,13,22796,23340.0,203909.0,112301.044092026,23340.0,203913.65000000002,112413.544092026,112.5,0.0,519864,200013,0.4469202529063838
1,H01,north_side,3,2,CW2_GATE_03,bottom,42,BOTTOM_PHI50,14,23524,23600.0,203909.0,112301.044092026,23600.0,203913.65000000002,112413.544092026,112.5,0.0,520557,200013,0.4469202529063838
1,H01,north_side,3,2,CW2_GATE_03,bottom,42,BOTTOM_PHI50,15,24252,23860.0,203909.0,112301.044092026,23860.0,203913.65000000002,112413.544092026,112.5,0.0,521250,200013,0.4469202529063838
1,H01,north_side,3,2,CW2_GATE_03,bottom,42,BOTTOM_PHI50,16,24980,24120.0,203909.0,112301.044092026,24120.0,203913.65000000002,112413.544092026,112.5,0.0,521943,200013,0.4469202529063838
1,H01,north_side,3,2,CW2_GATE_03,gate,1018,GANTRY_PHI54,1,25684,19240.0,203918.30000000005,121414.541763406,19240.0,203913.65000000002,121521.541763406,107.0,0.0,522604,200006,0.3663743286423279
1,H01,north_side,3,2,CW2_GATE_03,gate,1018,GANTRY_PHI54,2,26079,19500.0,203918.30000000005,121414.541763406,19500.0,203913.65000000002,121521.541763406,107.0,0.0,522675,200006,0.3663743286423279
1,H01,north_side,3,2,CW2_GATE_03,gate,1018,GANTRY_PHI54,3,26474,19760.0,203918.30000000005,121414.541763406,19760.0,203913.65000000002,121521.541763406,107.0,0.0,522746,200006,0.3663743286423279
1,H01,north_side,3,2,CW2_GATE_03,gate,1018,GANTRY_PHI54,4,26869,23140.0,203918.30000000005,121414.541763406,23140.0,203913.65000000002,121521.541763406,107.0,0.0,522817,200006,0.3663743286423279
1,H01,north_side,3,2,CW2_GATE_03,gate,1018,GANTRY_PHI54,5,27264,23400.0,203918.30000000005,121414.541763406,23400.0,203913.65000000002,121521.541763406,107.0,0.0,522888,200006,0.3663743286423279
1,H01,north_side,3,2,CW2_GATE_03,gate,1018,GANTRY_PHI54,6,27659,23660.0,203918.30000000005,121414.541763406,23660.0,203913.65000000002,121521.541763406,107.0,0.0,522959,200006,0.3663743286423279
2,H02,north_side,6,1,CW1_GATE_06,bottom,81,BOTTOM_PHI50,1,81,-24120.0,374909.0,181248.47221642,-24120.0,374913.6499999999,181360.97221642,112.5,0.0,500073,200012,0.4385070365082602
2,H02,north_side,6,1,CW1_GATE_06,bottom,81,BOTTOM_PHI50,2,809,-23860.0,374909.0,181248.47221642,-23860.0,374913.6499999999,181360.97221642,112.5,0.0,500766,200012,0.4385070365082602
2,H02,north_side,6,1,CW1_GATE_06,bottom,81,BOTTOM_PHI50,3,1537,-23600.0,374909.0,181248.47221642,-23600.0,374913.6499999999,181360.97221642,112.5,0.0,501459,200012,0.4385070365082602
2,H02,north_side,6,1,CW1_GATE_06,bottom,81,BOTTOM_PHI50,4,2265,-23340.0,374909.0,181248.47221642,-23340.0,374913.6499999999,181360.97221642,112.5,0.0,502152,200012,0.4385070365082602
2,H02,north_side,6,1,CW1_GATE_06,bottom,81,BOTTOM_PHI50,5,2993,-23080.0,374909.0,181248.47221642,-23080.0,374913.6499999999,181360.97221642,112.5,0.0,502845,200012,0.4385070365082602
2,H02,north_side,6,1,CW1_GATE_06,bottom,81,BOTTOM_PHI50,6,3721,-22820.0,374909.0,181248.47221642,-22820.0,374913.6499999999,181360.97221642,112.5,0.0,503538,200012,0.4385070365082602
2,H02,north_side,6,1,CW1_GATE_06,bottom,81,BOTTOM_PHI50,7,4449,-22560.0,374909.0,181248.47221642,-22560.0,374913.6499999999,181360.97221642,112.5,0.0,504231,200012,0.4385070365082602
2,H02,north_side,6,1,CW1_GATE_06,bottom,81,BOTTOM_PHI50,8,5177,-22300.0,374909.0,181248.47221642,-22300.0,374913.6499999999,181360.97221642,112.5,0.0,504924,200012,0.4385070365082602
2,H02,north_side,6,1,CW1_GATE_06,bottom,81,BOTTOM_PHI50,9,5905,-20600.0,374909.0,181248.47221642,-20600.0,374913.6499999999,181360.97221642,112.5,0.0,505617,200012,0.4385070365082602
2,H02,north_side,6,1,CW1_GATE_06,bottom,81,BOTTOM_PHI50,10,6633,-20340.0,374909.0,181248.47221642,-20340.0,374913.6499999999,181360.97221642,112.5,0.0,506310,200012,0.4385070365082602
2,H02,north_side,6,1,CW1_GATE_06,bottom,81,BOTTOM_PHI50,11,7361,-20080.0,374909.0,181248.47221642,-20080.0,374913.6499999999,181360.97221642,112.5,0.0,507003,200012,0.4385070365082602
2,H02,north_side,6,1,CW1_GATE_06,bottom,81,BOTTOM_PHI50,12,8089,-19820.0,374909.0,181248.47221642,-19820.0,374913.6499999999,181360.97221642,112.5,0.0,507696,200012,0.4385070365082602
2,H02,north_side,6,1,CW1_GATE_06,bottom,81,BOTTOM_PHI50,13,8817,-19560.0,374909.0,181248.47221642,-19560.0,374913.6499999999,181360.97221642,112.5,0.0,508389,200012,0.4385070365082602
2,H02,north_side,6,1,CW1_GATE_06,bottom,81,BOTTOM_PHI50,14,9545,-19300.0,374909.0,181248.47221642,-19300.0,374913.6499999999,181360.97221642,112.5,0.0,509082,200012,0.4385070365082602
2,H02,north_side,6,1,CW1_GATE_06,bottom,81,BOTTOM_PHI50,15,10273,-19040.0,374909.0,181248.47221642,-19040.0,374913.6499999999,181360.97221642,112.5,0.0,509775,200012,0.4385070365082602
2,H02,north_side,6,1,CW1_GATE_06,bottom,81,BOTTOM_PHI50,16,11001,-18780.0,374909.0,181248.47221642,-18780.0,374913.6499999999,181360.97221642,112.5,0.0,510468,200012,0.4385070365082602
2,H02,north_side,6,1,CW1_GATE_06,gate,1033,GANTRY_PHI54,1,11681,-23660.0,374918.30000000005,190318.383196477,-23660.0,374913.6499999999,190425.383196477,107.0,0.0,511093,200006,0.3663743286423279
2,H02,north_side,6,1,CW1_GATE_06,gate,1033,GANTRY_PHI54,2,12076,-23400.0,374918.30000000005,190318.383196477,-23400.0,374913.6499999999,190425.383196477,107.0,0.0,511164,200006,0.3663743286423279
