station,response,mean,sigma_multiseed,raw_rms,mean_plus_3p5sigma,mean_minus_3p5sigma,seed_count,sigma_seed_min,sigma_seed_max
L/4,lateral_common_m,35.981911290779905,13.772244599299539,38.52755716938838,84.18476738832828,-12.220944806768479,5,9.028884559355536,18.09947676398731
L/2,lateral_common_m,47.85520181649735,19.193668150827524,51.5608110679204,115.03304034439367,-19.322636711398978,5,12.319008147342519,25.35748382556277
3L/4,lateral_common_m,35.9810490093832,13.777490854065809,38.52862756509116,84.20226699861354,-12.240168979847134,5,8.949615357824575,17.928475697654797
L/4,vertical_common_m,-0.1762619655263427,1.4125275845377452,1.423482510454992,4.7675845803557655,-5.120108511408451,5,1.0026849649755627,1.823164255095924
L/2,vertical_common_m,-0.2409382045293587,1.037604636711143,1.0652110591456954,3.3906780239596417,-3.872554433018359,5,0.917958459252738,1.123870534767116
3L/4,vertical_common_m,-0.176265753212327,1.4122451080552534,1.4232026774080715,4.766592124981059,-5.119123631405714,5,1.0199152648784162,1.8384418730719907
L/4,local_roll_L_deg,5.212310442009692,2.3573317732139225,5.720593783243761,13.46297164825842,-3.038350764239037,5,1.9053003750639916,3.1087110621846223
L/2,local_roll_L_deg,3.5983505532924065,1.7274464931838225,3.9915157636157286,9.644413279435785,-2.447712172850972,5,1.2348034020213996,1.9996224206414057
3L/4,local_roll_L_deg,5.179830289361821,2.3502728098528216,5.688094945350652,13.405785123846696,-3.046124545123055,5,1.9568747602051724,3.1049265462756486
L/4,local_roll_R_deg,5.212308011320918,2.3615294117973504,5.722322602550835,13.477660952611645,-3.0530449299698095,5,1.907852020802897,3.102674552796496
L/2,local_roll_R_deg,3.598347229264694,1.7278742387042307,3.991697905294766,9.645907064729501,-2.4492126062001134,5,1.2370914465966667,2.0008287561083087
3L/4,local_roll_R_deg,5.179827875726735,2.3469114334567,5.68670467833925,13.394017892825184,-3.034362141371714,5,1.9649698852178032,3.08844975975461
L/4,system_roll_deg,0.4910955698759516,2.1952413720661332,2.249502064987402,8.174440372107417,-7.192249232355515,5,1.705382560107966,3.052170979999423
L/2,system_roll_deg,0.7244032891671138,1.5750458643493421,1.7336463307607177,6.237063814389812,-4.788257236055584,5,1.0516628248472661,1.8548061528666486
3L/4,system_roll_deg,0.49215938680033344,2.1999111064615287,2.2542914049315956,8.191848259415684,-7.207529485815018,5,1.7290117581669553,3.0680622744466155
