
                        S T E P       1


     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

     17   0.6832365E+00   0.1274985E-29   0.4896087E-04   0.2848418E+05   0.1266668E+13   0.3974895E+09
     18   0.2707954E-26   0.1032378E-09   0.7905347E-29   0.1603171E+04   0.5011056E-14   0.1248537E+13
     19   0.1278327E+00   0.8642217E-29   0.2394574E-01   0.1393102E+08   0.1437045E+13   0.7436977E+08
     20   0.4416594E-27   0.2095790E-03   0.1930200E-27   0.3155707E+11   0.6027569E-14   0.2804238E+12
TOTAL     0.9549560E+01   0.6643537E+02   0.6004863E+02   0.2313021E+13   0.3506522E+15   0.3833280E+15

     T O T A L   E F F E C T I V E   M A S S

           X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.7692148E+02   0.7682389E+02   0.7682389E+02   0.3055811E+13   0.4621011E+15   0.4591345E+15


     F R A C T I O N   O F   T O T A L S

           X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.1241468E+00   0.8647748E+00   0.7816401E+00   0.7569252E+00   0.7588213E+00   0.8348927E+00

